ModelConditionID,ModelID,ParentModelConditionID,CellFormat,PassageNumber,GrowthMedia,FormulationID,PlateCoating
MC-000001-ztiA,ACH-000001,,adherent,,MF-001-041,RPMI + 20% FBS + 0.01 mg/ml insulin,None
MC-000001-ZU8p,ACH-000001,,adherent,,,,None
MC-000002-8QnY,ACH-000002,,suspension,,MF-005-001,IMDM + 10% FBS,None
MC-000002-UPDL,ACH-000002,,suspension,,,,None
MC-000003-DWgN,ACH-000003,,adherent,,MF-015-009,EMEM + 20% FBS,None
MC-000004-pA3k,ACH-000004,,suspension,,MF-001-001,RPMI + 10% FBS,None
MC-000005-Aycs,ACH-000005,,mixed,,MF-001-001,RPMI + 10% FBS,None
MC-000006-DkL3,ACH-000006,,mixed,,MF-001-001,RPMI + 10% FBS,None
MC-000006-kr0r,ACH-000006,,mixed,,,,None
MC-000007-nTml,ACH-000007,,adherent,,,,None
MC-000007-SSIv,ACH-000007,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000008-LaE3,ACH-000008,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000008-OGcy,ACH-000008,,,,,,None
MC-000009-Kmv4,ACH-000009,,adherent,,,,None
MC-000009-l0XO,ACH-000009,,adherent,,MF-002-021,DMEM + 10% FBS + 0.01 mg/ml Transferrin,None
MC-000011-bxAg,ACH-000011,,monolayer,,MF-002-001,DMEM + 10% FBS,None
MC-000012-7IbT,ACH-000012,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000012-qY6Z,ACH-000012,,adherent,,,,None
MC-000013-MIEW,ACH-000013,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000014-aXo5,ACH-000014,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000015-jbp5,ACH-000015,,mixed,,,,None
MC-000015-qgxP,ACH-000015,,mixed,,MF-007-008,DMEM:F12 + 5% FBS,None
MC-000016-0Cgg,ACH-000016,,adherent,,MF-001-001,RPMI + 10% FBS,None
