"id","cell"
"ENSG00000099194","7316_158_S"
"ENSG00000068366","7316_158_S"
"ENSG00000099797","7316_158_S"
"ENSG00000084754 and ENSG00000138029 and ENSG00000167315","7316_158_S"
"ENSG00000110090","7316_158_S"
"ENSG00000101986","7316_158_S"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835","7316_158_S"
"ENSG00000169710","7316_158_S"
"ENSG00000084754 and ENSG00000113790 and ENSG00000127884","7316_158_S"
"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721","7316_158_S"
"ENSG00000149084","7316_158_S"
"ENSG00000134824","7316_158_S"
"ENSG00000197375","7316_158_S"
"ENSG00000089597","7316_158_S"
"ENSG00000115275","7316_158_S"
"ENSG00000118705 and ENSG00000129562 and ENSG00000134910 and ENSG00000163902 and ENSG00000244038","7316_158_S"
"ENSG00000139133","7316_158_S"
"ENSG00000155380","7316_158_S"
"ENSG00000127125","7316_158_S"
"ENSG00000163344","7316_158_S"
"ENSG00000110921","7316_158_S"
"ENSG00000124370","7316_158_S"
"ENSG00000113161","7316_158_S"
"ENSG00000124767","7316_158_S"
"ENSG00000151093","7316_158_S"
"ENSG00000149313","7316_158_S"
"ENSG00000138814 and ENSG00000221823","7316_158_S"
"ENSG00000055609 and ENSG00000272333","7316_158_S"
"ENSG00000141736 and ENSG00000146648","7316_158_S"
"ENSG00000072062","7316_158_S"
"ENSG00000157326","7316_158_S"
"ENSG00000100714","7316_158_S"
"ENSG00000065911","7316_158_S"
"ENSG00000136877","7316_158_S"
"ENSG00000116745","7316_158_S"
"ENSG00000135437","7316_158_S"
"ENSG00000132196","7316_158_S"
"ENSG00000072506 and ENSG00000084754 and ENSG00000138796","7316_158_S"
"ENSG00000151151","7316_158_S"
"ENSG00000100605","7316_158_S"
"ENSG00000068383","7316_158_S"
"ENSG00000105655","7316_158_S"
"ENSG00000040933","7316_158_S"
"ENSG00000145725","7316_158_S"
"ENSG00000007168","7316_158_S"
"ENSG00000078142","7316_158_S"
"ENSG00000131979","7316_158_S"
"ENSG00000119723","7316_158_S"
"ENSG00000023330","7316_158_S"
"ENSG00000093010","7316_158_S"
"ENSG00000072506","7316_158_S"
"ENSG00000111716","7316_158_S"
"ENSG00000070614","7316_158_S"
"ENSG00000117528","7316_158_S"
"ENSG00000105953","7316_158_S"
"ENSG00000173085","7316_158_S"
"ENSG00000167186","7316_158_S"
"ENSG00000092621","7316_158_S"
"ENSG00000135069","7316_158_S"
"ENSG00000146701","7316_158_S"
"ENSG00000001630","7316_158_S"
"ENSG00000052802","7316_158_S"
"ENSG00000143149","7316_158_S"
"ENSG00000099377","7316_158_S"
"ENSG00000125166","7316_158_S"
"ENSG00000182199","7316_158_S"
"ENSG00000176974","7316_158_S"
"ENSG00000128039","7316_158_S"
"ENSG00000150540","7316_158_S"
"ENSG00000102172","7316_158_S"
"ENSG00000116649","7316_158_S"
"ENSG00000128059","7316_158_S"
"ENSG00000178921","7316_158_S"
