,preds,preds_raw,gene_name,cell
1,0.0,0.012041526,ENSG00000068366,7316_158_S
3,0.0,0.035872433,ENSG00000123983,7316_158_S
4,0.0,0.00084910524,ENSG00000140284,7316_158_S
9,0.0,0.0018837326,ENSG00000130304,7316_158_S
10,0.0,0.001310137,ENSG00000143554,7316_158_S
14,0.0,0.30638227,ENSG00000099194,7316_158_S
19,0.0,0.0020275551,ENSG00000184227,7316_158_S
20,0.0,0.0019811569,ENSG00000110090,7316_158_S
24,0.0,0.020945078,ENSG00000099797,7316_158_S
26,0.0,0.017608093,ENSG00000066322,7316_158_S
27,0.0,0.0004393541,ENSG00000118402,7316_158_S
31,0.0,0.0018890279,ENSG00000084754 and ENSG00000138029 and ENSG00000167315,7316_158_S
34,0.0,0.018469257,ENSG00000177646,7316_158_S
35,0.0,0.0019073461,ENSG00000157184,7316_158_S
38,0.0,0.017690104,ENSG00000161533,7316_158_S
39,0.0,0.0010023343,ENSG00000178537,7316_158_S
40,0.0,0.0011736131,ENSG00000197119,7316_158_S
42,0.0,0.0011606567,ENSG00000197375,7316_158_S
44,0.0,0.013914386,ENSG00000067840,7316_158_S
45,0.0,0.0021866092,ENSG00000101986,7316_158_S
46,0.0,0.0042137387,ENSG00000130821,7316_158_S
50,0.0,0.013910703,ENSG00000185825,7316_158_S
53,0.0,0.005048584,ENSG00000084754 and ENSG00000113790 and ENSG00000127884,7316_158_S
54,0.0,0.004624996,ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721,7316_158_S
58,0.0,0.0008969846,ENSG00000084207,7316_158_S
60,0.0,0.0008977973,ENSG00000134202,7316_158_S
63,0.0,0.00089904026,ENSG00000168765,7316_158_S
66,0.0,0.0008986181,ENSG00000213366,7316_158_S
68,0.0,0.004625007,ENSG00000060971 and ENSG00000113790 and ENSG00000133835,7316_158_S
69,0.0,0.050895147,ENSG00000072506 and ENSG00000084754 and ENSG00000138796,7316_158_S
71,0.0,0.024363264,ENSG00000169710,7316_158_S
72,0.0,0.00077086635,ENSG00000167969,7316_158_S
80,0.0,0.091186166,ENSG00000149084,7316_158_S
81,0.0,0.08059136,ENSG00000146066,7316_158_S
84,0.0,0.00065290957,ENSG00000206527,7316_158_S
87,0.0,0.0015123578,ENSG00000134824,7316_158_S
90,0.0,0.009902874,ENSG00000089597,7316_158_S
94,0.0,0.009902874,ENSG00000198162,7316_158_S
95,0.0,0.009902874,ENSG00000115275,7316_158_S
96,1.0,0.75485814,ENSG00000118705 and ENSG00000129562 and ENSG00000134910 and ENSG00000163902 and ENSG00000244038,7316_158_S
101,0.0,0.042164568,ENSG00000131446,7316_158_S
102,0.0,0.0015931178,ENSG00000139133,7316_158_S
103,1.0,0.76652676,ENSG00000104723 and ENSG00000118705 and ENSG00000129562 and ENSG00000163527 and ENSG00000163902 and ENSG00000244038,7316_158_S
104,0.0,0.0011914598,ENSG00000108932,7316_158_S
106,0.0,0.0011607618,ENSG00000141526,7316_158_S
107,0.0,0.008059513,ENSG00000155380,7316_158_S
108,0.0,0.0012132723,ENSG00000168679,7316_158_S
109,0.0,0.0012323152,ENSG00000170190,7316_158_S
111,0.0,0.001564578,ENSG00000164039,7316_158_S
112,0.0,0.06671275,ENSG00000127125,7316_158_S
113,0.0,0.016004423,ENSG00000138621,7316_158_S
118,0.0,0.048433654,ENSG00000163344,7316_158_S
119,0.0,0.08591721,ENSG00000167508,7316_158_S
120,0.0,0.24645953,ENSG00000110921,7316_158_S
122,0.0,0.0006702036,ENSG00000124370,7316_158_S
123,0.0,0.24661204,ENSG00000113161,7316_158_S
124,0.0,0.0026966378,ENSG00000124767,7316_158_S
128,0.0,0.06402383,ENSG00000072506,7316_158_S
130,0.0,0.018006358,ENSG00000100294,7316_158_S
132,0.0,0.017633514,ENSG00000151093,7316_158_S
133,0.0,0.115339644,ENSG00000149313,7316_158_S
135,0.0,0.008087427,ENSG00000116237,7316_158_S
136,0.0,0.0027628765,ENSG00000138814 and ENSG00000221823,7316_158_S
137,0.0,0.027162073,ENSG00000106799 and ENSG00000163513,7316_158_S
138,0.0,0.009877547,ENSG00000104365 and ENSG00000213341,7316_158_S
139,0.0,0.0013639169,ENSG00000070770 and ENSG00000101266,7316_158_S
140,0.0,0.0011264628,ENSG00000132964 and ENSG00000155111,7316_158_S
141,0.0,0.040024146,ENSG00000132155 and ENSG00000157764,7316_158_S
155,0.0,0.0016645454,ENSG00000034152,7316_158_S
157,0.0,0.011120334,ENSG00000038382,7316_158_S
161,1.0,0.8095399,ENSG00000058729,7316_158_S
163,0.0,0.13213451,ENSG00000060237,7316_158_S
165,0.0,0.035533234,ENSG00000065243,7316_158_S
168,0.0,0.0036151614,ENSG00000065883,7316_158_S
170,0.0,0.0010179839,ENSG00000067900,7316_158_S
172,0.0,0.0033605061,ENSG00000069956,7316_158_S
177,0.0,0.0033412105,ENSG00000072062,7316_158_S
180,0.0,0.031706415,ENSG00000072518,7316_158_S
185,0.0,0.0026209273,ENSG00000076984,7316_158_S
193,0.0,0.0130774425,ENSG00000086015,7316_158_S
