cell,cell_index
7316_158_S,0
7316_1746_S,1
7316_195_S,2
7316_2141_S,3
7316_2187_S,4
7316_2189_A,5
7316_3058_S,6
7316_388_A,7
7316_4509_S,8
7316_4906_S,9
7316_5335_S1,10
7316_5335_S2,11
7316_6349_S,12
7316_6475_S1,13
7316_913_A,14
7316_913_S,15
BAH1,16
BT_12,17
BT_16,18
BT_37,19
CHLA_200,20
CHLA_259,21
CHLA_266,22
CNMC_760_XD,23
CNMC_D_874,24
D283,25
D425,26
DUB_D003_2D,27
G401,28
GBM39,29
GBM6,30
GBML1,31
HDMB03,32
HGG080318,33
HGG300519,34
HSJD_DIPG_007,35
HSJD_GBM_002,36
ICR_B169_2D,37
ICR_B181_2D,38
ICR_B184_2D,39
ICR_B194_2D,40
ICR_B301_2D,41
JC_ATRT,42
JHH_DIPG_1,43
JHH_DIPG_2J,44
KNS_42,45
OPBG_DIPG_004_2D,46
OPBG_GBM_001,47
OSL1,48
P000901,49
P001003,50
P001401,51
P002306,52
P003302,53
P005306,54
P005401,55
P007401,56
PB17SH009,57
PB19SH009,58
PB19SH058,59
PPMP017_210220_MED,60
PPMP020_280220_GG,61
PPMP032_101120_CPC,62
QCTB1593,63
RA002,64
RA055,65
RCH4065,66
RN1,67
RR2,68
SF188,69
SF7761,70
SF8628,71
SJGBM2,72
SJSC,73
STM91_01,74
SUPSCG1,75
SUPSCGBM2,76
SU_13808,77
SU_DIPG_13,78
SU_DIPG_17,79
SU_DIPG_19,80
SU_DIPG_21,81
SU_DIPG_24,82
SU_DIPG_25,83
SU_DIPG_27,84
SU_DIPG_29,85
SU_DIPG_33,86
SU_DIPG_35,87
SU_DIPG_36,88
SU_DIPG_38,89
SU_DIPG_4,90
SU_DIPG_6,91
UON_JUMP4,92
WK1,93
