,preds,preds_raw,label,genes
0,0.0,0.4829152,0.0,ENSG00000072506 and ENSG00000084754 and ENSG00000138796
1,0.0,0.26052177,0.0,ENSG00000169710
2,0.0,0.27080166,0.0,ENSG00000110090
3,0.0,0.27187115,0.0,ENSG00000113273
4,0.0,0.27499455,0.0,ENSG00000131471
5,0.0,0.269447,0.0,ENSG00000131480
6,0.0,0.2567725,0.0,ENSG00000072506
7,0.0,0.25678313,0.0,ENSG00000084754
8,0.0,0.25682732,0.0,ENSG00000127884
9,0.0,0.2559797,0.0,ENSG00000130304
10,0.0,0.25605908,0.0,ENSG00000133835
11,0.0,0.2757519,0.0,ENSG00000140284
12,0.0,0.2559797,0.0,ENSG00000143554
13,0.0,0.24756327,0.0,ENSG00000161533
14,0.0,0.25605908,0.0,ENSG00000167107
15,0.0,0.2559797,0.0,ENSG00000184227
16,0.0,0.2866953,0.0,ENSG00000197375
17,0.0,0.22822629,0.0,ENSG00000100714
18,0.0,0.2829058,0.0,ENSG00000113161
19,0.0,0.29142296,0.0,ENSG00000084754 and ENSG00000138029 and ENSG00000167315
20,0.0,0.35502073,0.0,ENSG00000059573
21,0.0,0.22647446,0.0,ENSG00000178700
22,1.0,0.56463194,0.0,ENSG00000084754 and ENSG00000113790 and ENSG00000127884
23,0.0,0.21383747,0.0,ENSG00000104522
24,0.0,0.2454633,1.0,ENSG00000153574
25,0.0,0.27015236,0.0,ENSG00000162066
26,0.0,0.20918569,0.0,ENSG00000117308
27,0.0,0.21537937,1.0,ENSG00000176974
28,0.0,0.29097354,0.0,ENSG00000068366
29,0.0,0.2909529,0.0,ENSG00000123983
30,0.0,0.28951547,0.0,ENSG00000171302
31,0.0,0.30509463,0.0,ENSG00000147224
32,0.0,0.30647203,1.0,ENSG00000117450
33,0.0,0.27083808,0.0,ENSG00000117592
34,0.0,0.3061542,0.0,ENSG00000126432
35,0.0,0.27568266,0.0,ENSG00000164294
36,0.0,0.30545357,0.0,ENSG00000165672
37,0.0,0.27642605,0.0,ENSG00000167468
38,0.0,0.30638355,0.0,ENSG00000167815
39,0.0,0.27652928,0.0,ENSG00000176153
40,0.0,0.26576552,0.0,ENSG00000099377
41,0.0,0.27657866,0.0,ENSG00000121039
42,0.0,0.26575246,1.0,ENSG00000159692
43,0.0,0.26671663,0.0,ENSG00000164039
44,0.0,0.26589176,1.0,ENSG00000167733
45,0.0,0.26546678,0.0,ENSG00000176387
46,0.0,0.26558545,0.0,ENSG00000187134
47,0.0,0.27405298,0.0,ENSG00000197894
48,0.0,0.26586983,0.0,ENSG00000227471
49,0.0,0.27674866,0.0,ENSG00000066322
50,0.0,0.27564225,0.0,ENSG00000118402
51,0.0,0.2745167,0.0,ENSG00000060971 and ENSG00000113790 and ENSG00000133835
52,0.0,0.29880282,1.0,ENSG00000156110
53,0.0,0.26459828,0.0,ENSG00000117143
54,0.0,0.25833523,0.0,ENSG00000132196
55,0.0,0.27648264,0.0,ENSG00000149084
56,0.0,0.35225767,0.0,ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721
57,0.0,0.26973993,1.0,ENSG00000139514
58,0.0,0.3111293,0.0,ENSG00000132155 and ENSG00000157764
59,0.0,0.22418174,0.0,ENSG00000001630
60,0.0,0.27126622,0.0,ENSG00000083807
61,0.0,0.27262712,1.0,ENSG00000155380
62,0.0,0.42938578,0.0,ENSG00000151348 and ENSG00000182197
63,0.0,0.2597447,1.0,ENSG00000012232
64,0.0,0.26879537,0.0,ENSG00000136877
65,0.0,0.24665014,0.0,ENSG00000103064
66,0.0,0.24128564,0.0,ENSG00000103257
67,0.0,0.25859937,1.0,ENSG00000177646
68,0.0,0.2658237,0.0,ENSG00000131979
69,0.0,0.23672917,0.0,ENSG00000131473
70,0.0,0.26163945,0.0,ENSG00000278540
71,0.0,0.27265128,0.0,ENSG00000141526
72,0.0,0.29463825,1.0,ENSG00000160209
73,0.0,0.26559877,0.0,ENSG00000178537
74,0.0,0.26559877,0.0,ENSG00000197119
75,0.0,0.27356404,0.0,ENSG00000176393
76,0.0,0.2989321,0.0,ENSG00000068903
77,0.0,0.236323,0.0,ENSG00000096717
78,0.0,0.29878175,1.0,ENSG00000124523
79,0.0,0.30052242,0.0,ENSG00000124596
80,0.0,0.24319685,0.0,ENSG00000133315
81,0.0,0.24262154,0.0,ENSG00000157045
82,0.0,0.29893813,0.0,ENSG00000187531
83,0.0,0.25362775,0.0,ENSG00000196502
84,0.0,0.21580234,0.0,ENSG00000196517
85,0.0,0.26791078,0.0,ENSG00000131067
86,0.0,0.2610027,0.0,ENSG00000074800
87,0.0,0.24894127,0.0,ENSG00000099797
88,0.0,0.30509564,1.0,ENSG00000146066
89,0.0,0.29202563,0.0,ENSG00000206527
90,0.0,0.17769268,0.0,ENSG00000167969
91,1.0,0.73282033,1.0,ENSG00000114902 and ENSG00000118363 and ENSG00000129128 and ENSG00000140612 and ENSG00000166562
92,0.0,0.26381433,0.0,ENSG00000105220
93,1.0,0.51152456,0.0,ENSG00000055609 and ENSG00000272333
94,0.0,0.26750442,0.0,ENSG00000163931
95,0.0,0.22764179,0.0,ENSG00000125166
96,0.0,0.26278353,1.0,ENSG00000156515
97,0.0,0.2629364,1.0,ENSG00000159399
98,0.0,0.27078763,0.0,ENSG00000083123
99,0.0,0.2767347,1.0,ENSG00000064763
