,preds,label,genes
0,1,1,ENSG00000099194
1,0,0,ENSG00000068366
2,0,1,ENSG00000099797
3,0,0,ENSG00000084754 and ENSG00000138029 and ENSG00000167315
4,0,0,ENSG00000110090
5,0,0,ENSG00000101986
6,0,0,ENSG00000060971 and ENSG00000113790 and ENSG00000133835
7,0,0,ENSG00000169710
8,0,0,ENSG00000084754 and ENSG00000113790 and ENSG00000127884
9,0,0,ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721
10,0,1,ENSG00000149084
11,0,0,ENSG00000134824
12,0,0,ENSG00000197375
13,0,0,ENSG00000089597
14,0,0,ENSG00000115275
15,1,1,ENSG00000118705 and ENSG00000129562 and ENSG00000134910 and ENSG00000163902 and ENSG00000244038
16,0,0,ENSG00000139133
17,0,0,ENSG00000155380
18,0,0,ENSG00000127125
19,0,1,ENSG00000163344
20,0,1,ENSG00000110921
21,0,0,ENSG00000124370
22,1,1,ENSG00000113161
23,0,0,ENSG00000124767
24,0,0,ENSG00000151093
25,0,1,ENSG00000149313
26,0,0,ENSG00000138814 and ENSG00000221823
27,0,0,ENSG00000055609 and ENSG00000272333
28,0,0,ENSG00000141736 and ENSG00000146648
29,0,0,ENSG00000072062
30,0,0,ENSG00000157326
31,0,0,ENSG00000100714
32,0,0,ENSG00000065911
33,0,0,ENSG00000136877
34,0,0,ENSG00000135437
35,0,0,ENSG00000132196
36,0,0,ENSG00000072506 and ENSG00000084754 and ENSG00000138796
37,0,0,ENSG00000151151
38,0,0,ENSG00000100605
39,0,0,ENSG00000068383
40,0,1,ENSG00000105655
41,0,0,ENSG00000040933
42,0,0,ENSG00000145725
43,0,1,ENSG00000007168
44,0,0,ENSG00000078142
45,0,0,ENSG00000119723
46,0,0,ENSG00000083807
47,0,0,ENSG00000023330
48,0,0,ENSG00000093010
49,0,0,ENSG00000072506
50,0,0,ENSG00000083123 and ENSG00000142046 and ENSG00000248098
51,0,0,ENSG00000111716
52,0,0,ENSG00000070614
53,0,0,ENSG00000196502
54,0,0,ENSG00000117528
55,0,0,ENSG00000105953
56,0,0,ENSG00000173085
57,0,1,ENSG00000090054 and ENSG00000100596 and ENSG00000172296
58,0,0,ENSG00000167186
59,0,0,ENSG00000092621
60,0,0,ENSG00000135069
61,0,0,ENSG00000146701
62,0,0,ENSG00000001630
63,0,0,ENSG00000052802
64,0,0,ENSG00000143149
65,0,0,ENSG00000099377
66,0,1,ENSG00000125166
67,0,0,ENSG00000182199
68,0,0,ENSG00000176974
69,0,0,ENSG00000128039
70,0,0,ENSG00000150540
71,0,1,ENSG00000102172
72,0,0,ENSG00000116649
73,0,0,ENSG00000128059
74,0,0,ENSG00000178921
75,0,0,ENSG00000116096
76,0,0,ENSG00000110871
77,0,0,ENSG00000109929
78,0,0,ENSG00000023697
79,0,0,ENSG00000162066
80,0,0,ENSG00000068903
81,0,0,ENSG00000117305
82,0,0,ENSG00000131473
83,0,1,ENSG00000169359
84,1,0,ENSG00000091140 and ENSG00000131828 and ENSG00000150768 and ENSG00000168291
85,0,0,ENSG00000198931
86,0,1,ENSG00000101444
87,0,0,ENSG00000067057
88,0,0,ENSG00000125454
89,0,0,ENSG00000156110
90,0,0,ENSG00000033627
91,0,0,ENSG00000121879 and ENSG00000145675
92,0,1,ENSG00000167508
93,0,0,ENSG00000159921
94,1,0,ENSG00000128050
95,0,0,ENSG00000167900
96,1,0,ENSG00000001084 and ENSG00000023909
97,0,0,ENSG00000159131
98,0,0,ENSG00000160209
99,0,0,ENSG00000135002
100,0,0,ENSG00000068120
101,0,0,ENSG00000127080
102,0,0,ENSG00000084774
103,0,0,ENSG00000114268
104,0,0,ENSG00000067177 and ENSG00000102893 and ENSG00000164776
105,0,0,ENSG00000106799 and ENSG00000163513
106,0,0,ENSG00000196511
107,0,0,ENSG00000059573
108,0,1,ENSG00000005022
109,1,1,ENSG00000168393
110,0,0,ENSG00000173599
111,0,0,ENSG00000100075
112,0,1,ENSG00000183048
113,0,0,ENSG00000103064
114,0,0,ENSG00000196517
115,0,0,ENSG00000092068 and ENSG00000168003
116,0,0,ENSG00000103257
117,0,1,ENSG00000119523
118,0,1,ENSG00000070669
119,0,0,ENSG00000131389
120,0,0,ENSG00000159322
121,0,1,ENSG00000033011
122,0,0,ENSG00000101290
123,0,0,ENSG00000185813
124,0,0,ENSG00000101558
125,0,0,ENSG00000117592
126,0,0,ENSG00000113504
127,0,0,ENSG00000156471
128,0,0,ENSG00000113273
129,0,0,ENSG00000064601 and ENSG00000141012 and ENSG00000170266 and ENSG00000204386
130,0,0,ENSG00000100412
131,0,0,ENSG00000062485
132,0,0,ENSG00000111726
133,0,0,ENSG00000164414
134,0,0,ENSG00000126088
135,0,0,ENSG00000130821
136,1,0,ENSG00000151012 and ENSG00000168003
137,1,1,ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848
138,1,1,ENSG00000067225
139,0,1,ENSG00000162368
140,1,1,ENSG00000113456 and ENSG00000172613
141,0,0,ENSG00000173614
142,0,0,ENSG00000125458
143,0,0,ENSG00000100299
144,0,1,ENSG00000143774
145,0,0,ENSG00000109107
146,0,0,ENSG00000132570
147,1,1,ENSG00000176890
148,0,1,ENSG00000178700
149,0,0,ENSG00000119689
150,0,0,ENSG00000067064
151,0,1,ENSG00000152904
152,0,1,ENSG00000115350 and ENSG00000148229
153,0,0,ENSG00000120697
154,0,1,ENSG00000175283
155,0,0,ENSG00000060642
156,0,1,ENSG00000086848
157,0,0,ENSG00000182858
158,0,1,ENSG00000159063
159,0,1,ENSG00000167130
160,0,0,ENSG00000069943
161,0,1,ENSG00000000419 and ENSG00000136908 and ENSG00000179085
162,0,1,ENSG00000088035
163,1,1,ENSG00000128951
164,0,0,ENSG00000125877
165,0,0,ENSG00000087111 and ENSG00000101464 and ENSG00000124155 and ENSG00000142892 and ENSG00000197858
166,0,0,ENSG00000138363
167,0,0,ENSG00000147454
168,0,1,ENSG00000090857
169,0,0,ENSG00000173638
170,0,0,ENSG00000197894
171,0,1,ENSG00000105220
172,0,0,ENSG00000091483
173,0,1,ENSG00000253710
174,0,0,ENSG00000176022
175,0,0,ENSG00000027847
176,1,1,ENSG00000111669
177,0,0,ENSG00000008513
178,0,0,ENSG00000104522
179,0,0,ENSG00000181830
180,0,1,ENSG00000160211
181,0,1,ENSG00000117394
182,0,0,ENSG00000277161
183,0,0,ENSG00000162688
184,0,0,ENSG00000148154
185,0,0,ENSG00000115652
186,0,0,ENSG00000172890
187,0,1,ENSG00000163655
188,0,0,ENSG00000115419
189,0,0,ENSG00000177542
190,0,0,ENSG00000091140 and ENSG00000105953 and ENSG00000119689
191,0,0,ENSG00000111371
192,0,0,ENSG00000144659
193,0,0,ENSG00000123453
194,1,1,ENSG00000106105
195,0,0,ENSG00000033867
196,0,1,ENSG00000066926
197,0,0,ENSG00000108784
198,0,1,ENSG00000012232
199,0,0,ENSG00000153936
200,0,0,ENSG00000136720
201,0,1,ENSG00000151348 and ENSG00000182197
202,0,0,ENSG00000064763
203,0,0,ENSG00000134294
204,1,1,ENSG00000112972
205,0,0,ENSG00000256269
206,0,0,ENSG00000151229
207,0,0,ENSG00000198743
208,0,1,ENSG00000090861
209,0,0,ENSG00000160285
210,0,1,ENSG00000113643
211,0,1,ENSG00000134440
212,0,1,ENSG00000115866
213,0,0,ENSG00000178537
214,0,1,ENSG00000110619
215,1,0,ENSG00000103257 and ENSG00000168003
216,0,1,ENSG00000172053
217,0,1,ENSG00000136628
218,0,1,ENSG00000170445
219,0,0,ENSG00000121897
220,0,1,ENSG00000196305
221,0,1,ENSG00000133706
222,0,1,ENSG00000065427
223,1,1,ENSG00000166986
224,0,1,ENSG00000116120 and ENSG00000179115
225,1,1,ENSG00000031698
226,0,1,ENSG00000113407
227,1,1,ENSG00000140105
228,0,1,ENSG00000134684
229,0,1,ENSG00000204394
230,0,0,ENSG00000100294
231,0,1,ENSG00000100413
232,0,0,ENSG00000178802
233,0,0,ENSG00000116984
234,0,0,ENSG00000184470
235,0,1,ENSG00000101901
236,0,0,ENSG00000168282
237,1,1,ENSG00000114902 and ENSG00000118363 and ENSG00000129128 and ENSG00000140612 and ENSG00000166562
238,0,0,ENSG00000144136
239,0,1,ENSG00000172269
240,0,0,ENSG00000007541 and ENSG00000100564 and ENSG00000135845 and ENSG00000165195
241,0,0,ENSG00000111261
242,0,0,ENSG00000013375
243,0,0,ENSG00000100522
244,0,0,ENSG00000095380
245,0,0,ENSG00000105835
246,0,0,ENSG00000147813
247,0,0,ENSG00000170340
248,0,0,ENSG00000131446
249,0,0,ENSG00000134255
250,0,1,ENSG00000157593
251,0,1,ENSG00000241878
252,1,1,ENSG00000074800
253,0,0,ENSG00000171862
254,0,0,ENSG00000138621
255,0,1,ENSG00000103502
256,0,0,ENSG00000079459
257,0,1,ENSG00000163684
258,0,1,ENSG00000110958
259,0,0,ENSG00000143224
260,0,0,ENSG00000080819
261,0,0,ENSG00000114491
262,0,0,ENSG00000082212
263,0,0,ENSG00000101187
264,0,0,ENSG00000006695
265,0,0,ENSG00000131828 and ENSG00000168291
266,1,1,ENSG00000123505
267,0,0,ENSG00000116237
268,0,0,ENSG00000144741
269,0,1,ENSG00000111237
270,0,0,ENSG00000011009
271,0,1,ENSG00000119537
272,0,0,ENSG00000104549
273,0,0,ENSG00000073578 and ENSG00000117118 and ENSG00000143252 and ENSG00000204370
274,0,0,ENSG00000163541 and ENSG00000172340
275,0,0,ENSG00000139531
276,0,0,ENSG00000117479
277,0,0,ENSG00000167969
278,0,0,ENSG00000132423
279,0,0,ENSG00000102967
280,0,0,ENSG00000158470
281,0,0,ENSG00000015532
282,0,0,ENSG00000102100
283,0,0,ENSG00000169764
284,0,0,ENSG00000117308
285,0,0,ENSG00000109814
286,0,0,ENSG00000116704
287,0,0,ENSG00000117143
288,0,0,ENSG00000130958
289,0,0,ENSG00000171302
290,0,0,ENSG00000188690
291,1,1,ENSG00000030066 and ENSG00000069248 and ENSG00000075188 and ENSG00000110713 and ENSG00000111581 and ENSG00000120253 and ENSG00000125450
292,0,1,ENSG00000106348
293,0,0,ENSG00000170385
294,0,0,ENSG00000161533
295,0,0,ENSG00000067840
296,0,0,ENSG00000177646
297,0,0,ENSG00000146066
298,1,1,ENSG00000104723 and ENSG00000118705 and ENSG00000129562 and ENSG00000163527 and ENSG00000163902 and ENSG00000244038
299,0,0,ENSG00000175548
300,1,1,ENSG00000105568 and ENSG00000113575
301,0,0,ENSG00000060656
302,0,0,ENSG00000055609 and ENSG00000167548
303,0,0,ENSG00000126934 and ENSG00000169032
304,0,0,ENSG00000005882
305,1,1,ENSG00000111640
306,0,0,ENSG00000149809
307,0,1,ENSG00000132376
308,0,1,ENSG00000143398
309,0,0,ENSG00000143393
310,0,0,ENSG00000111684
311,0,0,ENSG00000141526
312,0,0,ENSG00000151116
313,0,0,ENSG00000066322
314,0,1,ENSG00000102144
315,0,0,ENSG00000163738
316,0,0,ENSG00000187134
317,0,1,ENSG00000130313
318,0,1,ENSG00000205923
319,0,0,ENSG00000164039
320,0,0,ENSG00000141504
321,0,0,ENSG00000157184
322,0,0,ENSG00000164638
323,0,0,ENSG00000162813
324,0,0,ENSG00000141959
325,0,0,ENSG00000143179
326,0,1,ENSG00000047249
327,0,1,ENSG00000278540
328,0,1,ENSG00000051382
329,0,0,ENSG00000110721
330,0,1,ENSG00000103024
331,0,0,ENSG00000156515
332,1,1,ENSG00000171793
333,0,0,ENSG00000206527
334,0,0,ENSG00000104365 and ENSG00000213341
335,0,0,ENSG00000130304
336,0,0,ENSG00000105281
337,0,0,ENSG00000116353
338,0,0,ENSG00000161217
339,0,0,ENSG00000113163
340,0,0,ENSG00000008300
341,0,0,ENSG00000100997
342,0,0,ENSG00000141279
343,1,1,ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848
344,1,0,ENSG00000239672
345,0,0,ENSG00000179163
346,0,0,ENSG00000166228
347,1,1,ENSG00000228716
348,0,1,ENSG00000160752
349,1,1,ENSG00000062822 and ENSG00000077514 and ENSG00000106628 and ENSG00000175482
350,0,0,ENSG00000165282
351,0,0,ENSG00000155287
