,preds,preds_raw,label,genes
0,0.0,0.16051333,0.0,ENSG00000169710
1,0.0,0.044507302,0.0,ENSG00000084754 and ENSG00000113790 and ENSG00000127884
2,1.0,0.6067641,0.0,ENSG00000072506 and ENSG00000084754 and ENSG00000138796
3,0.0,0.05654756,0.0,ENSG00000198743
4,0.0,0.007393591,0.0,ENSG00000142973
5,0.0,0.1053052,0.0,ENSG00000171903
6,1.0,0.99997425,1.0,ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848
7,1.0,0.99997425,1.0,ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848
8,0.0,0.007565374,0.0,ENSG00000113273
9,0.0,0.0058408743,0.0,ENSG00000187134
10,1.0,0.9850374,1.0,ENSG00000128951
11,0.0,0.015247016,0.0,ENSG00000110090
12,0.0,0.017948678,0.0,ENSG00000197375
13,0.0,0.20549862,0.0,ENSG00000100714
14,1.0,0.9815161,1.0,ENSG00000113161
15,1.0,0.74014395,1.0,ENSG00000178700
16,0.0,0.06108138,0.0,ENSG00000059573
17,0.0,0.046908595,0.0,ENSG00000084754 and ENSG00000138029 and ENSG00000167315
18,0.0,0.05120707,0.0,ENSG00000161533
19,0.0,0.021864675,0.0,ENSG00000162066
20,0.0,0.2853522,1.0,ENSG00000153574
21,0.0,0.014879565,0.0,ENSG00000176974
22,0.0,0.016087515,0.0,ENSG00000104522
23,0.0,0.019095417,0.0,ENSG00000117308
24,0.0,0.046256043,0.0,ENSG00000068366
25,0.0,0.20220959,1.0,ENSG00000123983
26,0.0,0.065472424,0.0,ENSG00000146701
27,0.0,0.05300471,0.0,ENSG00000117450
28,0.0,0.011850747,0.0,ENSG00000117592
29,0.0,0.011242647,0.0,ENSG00000126432
30,0.0,0.05392876,1.0,ENSG00000164294
31,0.0,0.0114055835,0.0,ENSG00000165672
32,0.0,0.3780503,1.0,ENSG00000167468
33,0.0,0.32703802,0.0,ENSG00000167815
34,0.0,0.0033732364,0.0,ENSG00000176153
35,0.0,0.011124221,0.0,ENSG00000171302
36,0.0,0.01291079,0.0,ENSG00000147224
37,0.0,0.036242332,0.0,ENSG00000060971 and ENSG00000113790 and ENSG00000133835
38,0.0,0.065498956,0.0,ENSG00000066322
39,0.0,0.0033868751,0.0,ENSG00000118402
40,0.0,0.008199682,0.0,ENSG00000099377
41,0.0,0.00907207,0.0,ENSG00000121039
42,0.0,0.0069894907,0.0,ENSG00000159692
43,0.0,0.007283941,1.0,ENSG00000164039
44,0.0,0.015700607,0.0,ENSG00000167733
45,0.0,0.011620566,0.0,ENSG00000176387
46,0.0,0.10899025,0.0,ENSG00000197894
47,0.0,0.4034141,1.0,ENSG00000227471
48,0.0,0.0063816626,0.0,ENSG00000156110
49,0.0,0.015067292,0.0,ENSG00000132196
50,0.0,0.27129313,0.0,ENSG00000149084
