,preds,preds_raw,label,genes
0,0.0,0.2557951,1,ENSG00000070669
1,0.0,0.010696911,0,ENSG00000140284
2,1.0,0.96280336,1,ENSG00000058729
3,0.0,0.3185251,1,ENSG00000136877
4,0.0,0.017271899,0,ENSG00000197444
5,0.0,0.09245613,0,ENSG00000161533
6,1.0,0.6191064,1,ENSG00000085231
7,0.0,0.15453944,0,ENSG00000110871
8,1.0,0.9588207,1,ENSG00000149923
9,0.0,0.056995105,0,ENSG00000132600
10,0.0,0.07731216,0,ENSG00000167123
11,0.0,0.34936067,0,ENSG00000278540
12,0.0,0.020668982,0,ENSG00000181409
13,1.0,0.5857958,1,ENSG00000035687
14,1.0,0.8438389,1,ENSG00000102144
15,0.0,0.124970384,0,ENSG00000130175
16,0.0,0.018524032,0,ENSG00000092621
17,0.0,0.048703782,0,ENSG00000130821
18,1.0,0.69857365,1,ENSG00000138363
19,0.0,0.12911974,0,ENSG00000105655
20,0.0,0.13903621,1,ENSG00000117143
21,1.0,0.9968713,1,ENSG00000111641
22,0.0,0.25815636,0,ENSG00000090857
23,1.0,0.58568084,1,ENSG00000067225
24,0.0,0.058751263,0,ENSG00000113163
25,0.0,0.35604396,1,ENSG00000108784
26,0.0,0.06928523,0,ENSG00000132570
27,0.0,0.018275075,0,ENSG00000065911
28,0.0,0.0030479769,0,ENSG00000171862
29,0.0,0.0620552,0,ENSG00000136169
30,1.0,0.9662779,1,ENSG00000168906
31,0.0,0.007662353,0,ENSG00000164294
32,1.0,0.95157635,1,ENSG00000163684
33,1.0,0.94478935,1,ENSG00000156970
34,0.0,0.11517127,0,ENSG00000185825
35,0.0,0.0731212,0,ENSG00000138382
36,0.0,0.14544919,0,ENSG00000087111 and ENSG00000101464 and ENSG00000124155 and ENSG00000142892 and ENSG00000197858
37,0.0,0.010498132,0,ENSG00000133315
38,1.0,0.99450463,1,ENSG00000106636
39,0.0,0.1851091,0,ENSG00000091483
40,0.0,0.046077203,0,ENSG00000162066
41,0.0,0.08568643,0,ENSG00000084112
42,0.0,0.043535743,0,ENSG00000206527
43,1.0,0.9999684,1,ENSG00000100462 and ENSG00000126457
44,0.0,0.055633143,0,ENSG00000131238
45,1.0,0.9963515,1,ENSG00000128951
46,0.0,0.16831914,0,ENSG00000071073
47,0.0,0.06944135,0,ENSG00000105613
48,0.0,0.18859711,0,ENSG00000124596
49,0.0,0.04227628,0,ENSG00000071073
50,0.0,0.25720182,0,ENSG00000091140
51,0.0,0.018004265,0,ENSG00000052802
52,0.0,0.118976116,0,ENSG00000134910
53,0.0,0.010704871,0,ENSG00000157045
54,0.0,0.23630531,1,ENSG00000163002
55,0.0,0.017442435,0,ENSG00000178537
56,0.0,0.17410834,0,ENSG00000148334
57,0.0,0.29545572,0,ENSG00000177646
58,0.0,0.20302105,1,ENSG00000146066
59,1.0,0.96301866,1,ENSG00000143398
60,0.0,0.3489278,0,ENSG00000068120
61,0.0,0.23366211,1,ENSG00000134294
62,0.0,0.042590253,0,ENSG00000134255
63,1.0,0.58771,1,ENSG00000068120
64,0.0,0.042433035,0,ENSG00000125877
65,0.0,0.026798766,0,ENSG00000096717
66,0.0,0.077048406,0,ENSG00000100605
67,0.0,0.29779002,1,ENSG00000123983
68,0.0,0.22224419,1,ENSG00000109107
69,0.0,0.32217035,0,ENSG00000114491
70,0.0,0.15302575,0,ENSG00000132376
71,0.0,0.38644943,0,ENSG00000181555
72,0.0,0.060737375,0,ENSG00000136169
73,0.0,0.10400676,0,ENSG00000001630
74,0.0,0.021489484,0,ENSG00000168765
75,1.0,0.9999989,1,ENSG00000030066 and ENSG00000047410 and ENSG00000058804 and ENSG00000069248 and ENSG00000075188 and ENSG00000085415 and ENSG00000093000 and ENSG00000094914 and ENSG00000095319 and ENSG00000101146 and ENSG00000102900 and ENSG00000108559 and ENSG00000110713 and ENSG00000111581 and ENSG00000113569 and ENSG00000119392 and ENSG00000120253 and ENSG00000124789 and ENSG00000125450 and ENSG00000126883 and ENSG00000132182 and ENSG00000136243 and ENSG00000138750 and ENSG00000139496 and ENSG00000153201 and ENSG00000153207 and ENSG00000155561 and ENSG00000157020 and ENSG00000157349 and ENSG00000163002 and ENSG00000196313 and ENSG00000213024
76,1.0,0.9066326,1,ENSG00000101901
77,0.0,0.005641336,0,ENSG00000136169
78,0.0,0.3472667,0,ENSG00000167815
79,0.0,0.12238059,0,ENSG00000130669
80,0.0,0.10579946,0,ENSG00000181038
81,0.0,0.09427715,0,ENSG00000110090
82,0.0,0.040397756,0,ENSG00000188690
83,0.0,0.04501064,0,ENSG00000250799
84,0.0,0.1287257,0,ENSG00000198586
85,1.0,0.98360544,1,ENSG00000127564
86,0.0,0.049933046,0,ENSG00000143179
87,0.0,0.01084739,0,ENSG00000124523
88,0.0,0.41636363,1,ENSG00000126088
89,0.0,0.17464054,0,ENSG00000137601
90,1.0,0.7655892,1,ENSG00000142657
91,0.0,0.07686526,0,ENSG00000181090
92,0.0,0.27080765,1,ENSG00000156239
93,0.0,0.17522635,0,ENSG00000173085
94,0.0,0.4592885,1,ENSG00000136877
95,0.0,0.017274536,0,ENSG00000005483
96,1.0,0.7856852,1,ENSG00000067225
97,1.0,0.9973756,1,ENSG00000196305
98,1.0,0.67485476,0,ENSG00000156239
99,0.0,0.10007749,0,ENSG00000213366
100,1.0,0.620378,1,ENSG00000100749
101,0.0,0.15289377,1,ENSG00000181038
102,1.0,0.73979944,1,ENSG00000145388
103,1.0,0.6837665,0,ENSG00000125166
104,1.0,0.9999603,1,ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848
105,0.0,0.036805388,0,ENSG00000040933
106,0.0,0.048768263,0,ENSG00000166228
107,0.0,0.02364477,0,ENSG00000139908
108,0.0,0.11962838,0,ENSG00000185825
109,0.0,0.078753054,1,ENSG00000033867
110,1.0,0.62076914,0,ENSG00000167468
111,0.0,0.26957473,1,ENSG00000117481
112,0.0,0.1004141,0,ENSG00000099904
113,1.0,0.507408,0,ENSG00000177646
114,1.0,0.5509938,0,ENSG00000163931
115,0.0,0.15641122,0,ENSG00000137770
116,0.0,0.21490502,0,ENSG00000197601
117,1.0,0.53861856,0,ENSG00000172113
118,0.0,0.1465359,1,ENSG00000136877
119,1.0,0.99935967,1,ENSG00000100462 and ENSG00000126457
120,0.0,0.19778706,0,ENSG00000101558
121,1.0,0.9824719,1,ENSG00000111641
122,0.0,0.021765206,0,ENSG00000111716
123,0.0,0.13307346,0,ENSG00000091140
124,0.0,0.4241058,0,ENSG00000167815
125,0.0,0.3384365,0,ENSG00000168003
126,0.0,0.012379755,0,ENSG00000160209
127,0.0,0.31467107,0,ENSG00000164494
128,1.0,0.6278709,0,ENSG00000165792
129,0.0,0.056545556,0,ENSG00000177465
130,0.0,0.0075542945,0,ENSG00000083123
131,0.0,0.010124904,0,ENSG00000113448
132,0.0,0.3336784,1,ENSG00000181555
133,0.0,0.44469288,1,ENSG00000135446
134,0.0,0.08422359,0,ENSG00000101247
135,1.0,0.57984644,0,ENSG00000167468
136,1.0,0.79261154,1,ENSG00000060237
