,preds,preds_raw,label,genes
0,0.0,0.33932292,1.0,ENSG00000072506 and ENSG00000084754 and ENSG00000138796
1,0.0,0.01235367,0.0,ENSG00000169710
2,0.0,0.033958063,1.0,ENSG00000008513
3,0.0,0.44738302,1.0,ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848
4,0.0,0.39605948,1.0,ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848
5,0.0,0.00071498705,0.0,ENSG00000113273
6,0.0,0.18915503,0.0,ENSG00000187134
7,0.0,0.038681697,0.0,ENSG00000131480
8,0.0,0.020996414,1.0,ENSG00000128951
9,0.0,0.027825462,0.0,ENSG00000110090
10,0.0,0.017611036,0.0,ENSG00000197375
11,1.0,0.9773138,1.0,ENSG00000113161
12,1.0,0.7757882,1.0,ENSG00000178700
13,0.0,0.034361772,0.0,ENSG00000100714
14,0.0,0.014540635,0.0,ENSG00000084754 and ENSG00000138029 and ENSG00000167315
15,0.0,0.020634392,0.0,ENSG00000059573
16,0.0,0.07449914,0.0,ENSG00000084754 and ENSG00000113790 and ENSG00000127884
17,0.0,0.23919612,0.0,ENSG00000161533
18,0.0,0.0069843424,0.0,ENSG00000162066
19,0.0,0.06699115,0.0,ENSG00000176974
20,0.0,0.008749151,0.0,ENSG00000104522
21,0.0,0.098130055,0.0,ENSG00000153574
22,0.0,0.03523615,0.0,ENSG00000117308
23,0.0,0.051061004,0.0,ENSG00000146701
24,0.0,0.4118401,0.0,ENSG00000068366
25,0.0,0.42629662,1.0,ENSG00000123983
26,0.0,0.30803522,0.0,ENSG00000140284
27,0.0,0.0807838,0.0,ENSG00000147224
28,0.0,1.3957726e-05,1.0,ENSG00000117450
29,0.0,0.048360404,0.0,ENSG00000117592
30,0.0,0.0003318077,0.0,ENSG00000126432
31,0.0,0.04549172,0.0,ENSG00000164294
32,0.0,0.00012615648,0.0,ENSG00000165672
33,0.0,0.037956234,0.0,ENSG00000167468
34,0.0,0.04004222,0.0,ENSG00000176153
35,1.0,0.5773062,0.0,ENSG00000171302
36,0.0,0.2231567,0.0,ENSG00000156110
37,0.0,0.1141281,0.0,ENSG00000066322
38,0.0,0.20089795,0.0,ENSG00000099377
39,0.0,0.19108734,0.0,ENSG00000121039
40,0.0,0.20055255,0.0,ENSG00000159692
41,0.0,0.19818206,0.0,ENSG00000164039
42,0.0,0.11075681,0.0,ENSG00000197894
43,0.0,0.19957842,1.0,ENSG00000227471
44,0.0,0.09733097,0.0,ENSG00000060971 and ENSG00000113790 and ENSG00000133835
45,0.0,0.04186283,0.0,ENSG00000132196
46,0.0,0.051586583,0.0,ENSG00000149084
47,0.0,0.08752339,0.0,ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721
48,0.0,0.0037188332,0.0,ENSG00000117143
49,1.0,0.57288396,0.0,ENSG00000139514
50,0.0,0.2905026,0.0,ENSG00000132155 and ENSG00000157764
51,0.0,0.26180032,0.0,ENSG00000001630
52,0.0,0.0637413,0.0,ENSG00000125454
53,0.0,0.15638873,0.0,ENSG00000083807
54,0.0,0.36735803,0.0,ENSG00000155380
55,0.0,0.2905934,0.0,ENSG00000103064
56,0.0,0.08970878,0.0,ENSG00000103257
57,0.0,0.25643757,1.0,ENSG00000072506
58,0.0,0.2857061,0.0,ENSG00000084754
59,0.0,0.28890568,0.0,ENSG00000127884
60,0.0,0.021319589,0.0,ENSG00000177646
61,0.0,0.0026898214,0.0,ENSG00000123739
62,0.0,0.07310056,0.0,ENSG00000178537
63,0.0,0.073051624,0.0,ENSG00000197119
64,0.0,0.007688415,0.0,ENSG00000157184
65,1.0,0.6003401,0.0,ENSG00000131979
66,1.0,0.85546774,1.0,ENSG00000131473
67,1.0,0.85131794,0.0,ENSG00000278540
68,0.0,0.050887983,0.0,ENSG00000141526
69,0.0,0.07985514,0.0,ENSG00000176393
70,1.0,0.99878174,1.0,ENSG00000110619
71,0.0,0.0007520355,0.0,ENSG00000068903
72,0.0,0.0023411068,0.0,ENSG00000096717
73,0.0,0.01791086,0.0,ENSG00000124523
74,0.0,0.0009482558,0.0,ENSG00000124596
75,0.0,0.00071494246,0.0,ENSG00000133315
76,0.0,0.00092030084,0.0,ENSG00000157045
77,0.0,0.0044273688,0.0,ENSG00000187531
78,0.0,0.16898075,0.0,ENSG00000071073
79,0.0,4.44167e-05,0.0,ENSG00000196502
80,0.0,0.005346414,0.0,ENSG00000074800
81,0.0,0.108992524,0.0,ENSG00000099797
82,0.0,0.06739398,0.0,ENSG00000167969
83,0.0,0.13017885,0.0,ENSG00000146066
84,0.0,0.19744812,0.0,ENSG00000206527
85,0.0,0.038134173,1.0,ENSG00000114902 and ENSG00000118363 and ENSG00000129128 and ENSG00000140612 and ENSG00000166562
86,0.0,0.32095194,0.0,ENSG00000131067
87,0.0,0.010959282,0.0,ENSG00000125166
88,0.0,0.0030867485,0.0,ENSG00000119723
89,0.0,0.11104383,1.0,ENSG00000055609 and ENSG00000272333
90,0.0,0.067031145,0.0,ENSG00000163931
91,0.0,0.4587242,0.0,ENSG00000196517
92,0.0,0.22811756,0.0,ENSG00000111716
93,1.0,0.52373904,0.0,ENSG00000134333
94,0.0,0.1982783,0.0,ENSG00000151116
95,0.0,0.007496157,0.0,ENSG00000130313
96,0.0,0.2940042,0.0,ENSG00000101109 and ENSG00000104375
97,0.0,0.2961281,1.0,ENSG00000092439 and ENSG00000119121
98,0.0,0.3122084,0.0,ENSG00000070770 and ENSG00000101266
99,0.0,0.2977845,0.0,ENSG00000038382
100,0.0,0.29281062,1.0,ENSG00000058729
101,0.0,0.2941049,1.0,ENSG00000060237
102,0.0,0.30281076,0.0,ENSG00000067900
103,0.0,0.30223903,0.0,ENSG00000072518
104,0.0,0.29236746,0.0,ENSG00000086015
105,0.0,0.30789635,1.0,ENSG00000087586
106,0.0,0.29353762,0.0,ENSG00000089022
107,0.0,0.30188257,0.0,ENSG00000096063
108,0.0,0.2973963,1.0,ENSG00000097046
109,0.0,0.30232933,1.0,ENSG00000100749
110,0.0,0.29675964,0.0,ENSG00000105221
111,0.0,0.29218653,0.0,ENSG00000105613
112,0.0,0.3001392,0.0,ENSG00000108443
113,0.0,0.3051849,0.0,ENSG00000108946
114,0.0,0.3118195,1.0,ENSG00000112739
115,0.0,0.3083491,1.0,ENSG00000113712
116,0.0,0.28896832,0.0,ENSG00000114302
117,0.0,0.28072703,0.0,ENSG00000117676
118,0.0,0.29995677,0.0,ENSG00000118515
119,0.0,0.2989648,1.0,ENSG00000120539
120,0.0,0.29549676,0.0,ENSG00000122966
121,0.0,0.2898933,1.0,ENSG00000124784
122,0.0,0.29537377,1.0,ENSG00000125651
123,0.0,0.28897506,0.0,ENSG00000125834
124,0.0,0.3021743,1.0,ENSG00000127564
125,0.0,0.26680416,0.0,ENSG00000128829
126,0.0,0.30331656,0.0,ENSG00000130175
127,0.0,0.29100087,0.0,ENSG00000130669
128,0.0,0.3104351,0.0,ENSG00000134318
129,0.0,0.31354296,0.0,ENSG00000135250
130,0.0,0.3039497,0.0,ENSG00000137193
131,0.0,0.30326915,0.0,ENSG00000137601
132,0.0,0.28814965,0.0,ENSG00000139908
133,0.0,0.28668356,1.0,ENSG00000140992
134,0.0,0.30669317,0.0,ENSG00000141551
135,0.0,0.2918217,0.0,ENSG00000142208
136,0.0,0.29134133,1.0,ENSG00000146872
137,0.0,0.2921315,0.0,ENSG00000147133
138,0.0,0.3108826,0.0,ENSG00000149269
139,0.0,0.3089831,0.0,ENSG00000149311
140,0.0,0.31211796,1.0,ENSG00000149554
141,0.0,0.3071668,1.0,ENSG00000156970
142,0.0,0.31548247,1.0,ENSG00000157106
143,0.0,0.29086426,0.0,ENSG00000160584
144,0.0,0.2868509,0.0,ENSG00000162302
145,0.0,0.28634483,0.0,ENSG00000163349
146,0.0,0.3090769,0.0,ENSG00000165304
147,0.0,0.30646178,0.0,ENSG00000166333
148,0.0,0.30660364,1.0,ENSG00000166483
149,0.0,0.2884689,0.0,ENSG00000168067
150,0.0,0.3105231,1.0,ENSG00000169679
151,0.0,0.28457543,0.0,ENSG00000170145
152,0.0,0.29923162,0.0,ENSG00000172071
153,0.0,0.2921272,1.0,ENSG00000172315
154,0.0,0.30043107,0.0,ENSG00000172939
155,0.0,0.29600206,1.0,ENSG00000175054
156,0.0,0.28673854,0.0,ENSG00000178950
157,0.0,0.29658127,1.0,ENSG00000178999
158,0.0,0.29580694,0.0,ENSG00000180370
159,0.0,0.30115062,0.0,ENSG00000186716
160,0.0,0.28877077,1.0,ENSG00000196455
161,0.0,0.3025052,0.0,ENSG00000198586
162,0.0,0.29282153,0.0,ENSG00000198648
163,0.0,0.003925086,0.0,ENSG00000162688
164,0.0,0.0020500156,0.0,ENSG00000100522
165,0.0,0.30421397,0.0,ENSG00000143149
166,0.0,0.26684895,0.0,ENSG00000163541 and ENSG00000172340
167,0.0,0.27220365,0.0,ENSG00000136143 and ENSG00000163541
168,0.0,0.018124843,0.0,ENSG00000171862
169,0.0,0.038313136,0.0,ENSG00000143811
170,0.0,0.1486708,0.0,ENSG00000101187
171,1.0,0.92863786,0.0,ENSG00000135069
172,1.0,0.5626653,0.0,ENSG00000124767
173,0.0,0.039585028,0.0,ENSG00000150540
174,0.0,0.0026436336,0.0,ENSG00000091483
175,0.0,0.0996323,0.0,ENSG00000065989
176,1.0,0.74746597,0.0,ENSG00000070669
177,1.0,0.9566522,0.0,ENSG00000092621
178,0.0,0.06101618,0.0,ENSG00000171903
179,0.0,0.0499633,0.0,ENSG00000168679
180,0.0,0.049642675,0.0,ENSG00000170190
181,0.0,0.15105584,0.0,ENSG00000141504
182,1.0,0.9805824,1.0,ENSG00000100462 and ENSG00000126457
183,0.0,0.043846935,0.0,ENSG00000029639
184,0.0,0.2981027,0.0,ENSG00000066651
185,0.0,0.020292506,1.0,ENSG00000071462
186,0.0,0.032116827,0.0,ENSG00000100483
187,0.0,0.37264922,0.0,ENSG00000101247
188,0.0,0.03403421,1.0,ENSG00000105202
189,0.0,0.05029048,1.0,ENSG00000108592
190,0.0,0.065971136,0.0,ENSG00000110871
191,0.0,0.1346129,1.0,ENSG00000111641
192,0.0,0.018354882,0.0,ENSG00000117481
193,1.0,0.9427202,1.0,ENSG00000122687
194,0.0,0.016735584,0.0,ENSG00000123427
195,0.0,0.0813808,1.0,ENSG00000127804
196,0.0,0.055205144,0.0,ENSG00000130305
197,0.0,0.017252443,0.0,ENSG00000132600
198,0.0,0.1423945,1.0,ENSG00000137574
199,0.0,0.023887124,0.0,ENSG00000137760
200,0.0,0.03540095,0.0,ENSG00000138382
201,0.0,0.036061674,0.0,ENSG00000142453
202,0.0,0.018914042,0.0,ENSG00000145331
203,0.0,0.040142056,1.0,ENSG00000145388
204,0.0,0.11147853,1.0,ENSG00000146834
205,0.0,0.058967892,1.0,ENSG00000156239
206,1.0,0.63794094,0.0,ENSG00000160310
207,0.0,0.08113553,1.0,ENSG00000162851
208,0.0,0.026872678,0.0,ENSG00000165644
209,1.0,0.5180326,1.0,ENSG00000165792
210,0.0,0.052197456,0.0,ENSG00000168806
211,0.0,0.012950134,1.0,ENSG00000169519
212,0.0,0.16078928,0.0,ENSG00000170439
213,1.0,0.78209704,0.0,ENSG00000171861
214,0.0,0.03967745,1.0,ENSG00000174173
215,0.0,0.015918562,0.0,ENSG00000180917
216,0.0,0.017604835,0.0,ENSG00000181038
217,0.0,0.37873763,0.0,ENSG00000181090
218,0.0,0.39009073,1.0,ENSG00000183955
219,0.0,0.02339576,0.0,ENSG00000186666
220,0.0,0.033928752,0.0,ENSG00000203791
221,1.0,0.72123426,0.0,ENSG00000204371
222,0.0,0.05344663,0.0,ENSG00000205629
223,0.0,0.018239802,0.0,ENSG00000214756
224,0.0,0.040390205,0.0,ENSG00000278619
225,0.0,0.0014819863,0.0,ENSG00000013375
226,1.0,0.54345685,1.0,ENSG00000117682
227,0.0,0.11610756,0.0,ENSG00000116096
228,0.0,0.0040876213,0.0,ENSG00000110958
229,0.0,0.025073428,0.0,ENSG00000157326
230,0.0,0.04276658,0.0,ENSG00000183048
231,0.0,0.08154076,0.0,ENSG00000068383
232,0.0,0.08400086,0.0,ENSG00000132376
233,0.0,0.14321657,0.0,ENSG00000128039
234,0.0,0.19328968,0.0,ENSG00000100075
235,0.0,0.1479104,0.0,ENSG00000167130
236,0.0,0.13853392,0.0,ENSG00000134824
237,0.0,0.014606937,0.0,ENSG00000121897
238,0.0,0.15563917,1.0,ENSG00000000419 and ENSG00000136908 and ENSG00000179085
239,0.0,0.123332895,0.0,ENSG00000040933
240,0.0,0.22324544,0.0,ENSG00000136877
241,0.0,0.17088978,0.0,ENSG00000173085
242,0.0,0.15542103,0.0,ENSG00000064601 and ENSG00000141012 and ENSG00000170266 and ENSG00000204386
243,0.0,0.29388526,0.0,ENSG00000103174
