,preds,preds_raw,label,genes
0,0.0,0.027034633,0,ENSG00000101986
1,1.0,0.9701413,1,ENSG00000102030
2,0.0,0.008640799,0,ENSG00000273841
3,0.0,0.00050436554,0,ENSG00000171862
4,0.0,0.06075208,0,ENSG00000197894
5,0.0,0.25899833,0,ENSG00000165671
6,0.0,0.00959573,0,ENSG00000141458
7,0.0,0.10513851,0,ENSG00000161533
8,0.0,0.06772245,0,ENSG00000143036
9,0.0,0.03121138,0,ENSG00000130821
10,1.0,0.99997497,1,ENSG00000014138 and ENSG00000101868
11,0.0,0.25900298,0,ENSG00000139718
12,0.0,0.0074294345,0,ENSG00000204386
13,0.0,0.021776453,0,ENSG00000096717
14,0.0,0.006904937,0,ENSG00000149091
15,0.0,0.004736081,0,ENSG00000124181
16,0.0,0.011159763,0,ENSG00000154678
17,1.0,0.99083734,1,ENSG00000213024
18,0.0,0.027617693,0,ENSG00000196502
19,0.0,0.0034828202,0,ENSG00000120254
20,0.0,0.0034828365,0,ENSG00000163738
21,0.0,0.0065091155,0,ENSG00000065357
22,1.0,0.7042058,0,ENSG00000136720
23,0.0,0.062909655,0,ENSG00000121851 and ENSG00000090060
24,0.0,0.0005926456,0,ENSG00000176920
25,0.0,0.096170746,0,ENSG00000169692
26,0.0,0.019032087,0,ENSG00000133315
27,0.0,0.25898227,0,ENSG00000055609 and ENSG00000167548
28,1.0,0.62873477,0,ENSG00000163931
29,0.0,0.0046276203,0,ENSG00000166908
30,0.0,0.02998001,0,ENSG00000120992
31,0.0,0.030222202,0,ENSG00000141504
32,0.0,0.002946566,0,ENSG00000134824
33,1.0,0.98595214,1,ENSG00000172531
34,0.0,0.012854075,0,ENSG00000275183
35,0.0,0.0045049204,0,ENSG00000143179
36,0.0,0.0027827756,0,ENSG00000184470
37,0.0,0.05608827,0,ENSG00000132376
38,0.0,0.06675162,0,ENSG00000162813
39,0.0,0.16225122,0,ENSG00000105281
40,0.0,0.121144064,0,ENSG00000185825
41,0.0,0.000554932,0,ENSG00000117461
42,0.0,0.25898665,0,ENSG00000116539
43,0.0,0.10196313,1,ENSG00000204160
44,1.0,0.5947238,0,ENSG00000100714
45,0.0,0.049036346,0,ENSG00000198743
46,0.0,0.013859665,0,ENSG00000114268
47,1.0,0.54893905,0,ENSG00000121879
48,0.0,0.029132692,0,ENSG00000137770
49,0.0,0.013431786,0,ENSG00000177465
50,1.0,0.88537186,1,ENSG00000153201
51,0.0,0.2590407,0,ENSG00000104885
52,0.0,0.25897947,0,ENSG00000110066
53,0.0,0.34518367,1,ENSG00000139514
54,0.0,0.25906554,1,ENSG00000099381
55,0.0,0.3917823,0,ENSG00000140521
56,0.0,0.00574392,0,ENSG00000143315
57,1.0,0.99997795,1,ENSG00000062822 and ENSG00000077514 and ENSG00000106628 and ENSG00000175482
58,0.0,0.081909746,0,ENSG00000012232
59,0.0,0.005669322,0,ENSG00000137825
60,1.0,0.99390197,1,ENSG00000155561
61,0.0,0.25553793,0,ENSG00000060971 and ENSG00000113790 and ENSG00000161533
62,0.0,0.003451712,0,ENSG00000156599
63,0.0,0.2590023,0,ENSG00000118058
64,0.0,0.07001453,0,ENSG00000151093
65,0.0,0.005673221,0,ENSG00000237172
66,1.0,0.98327106,1,ENSG00000241973
67,1.0,0.95225924,1,ENSG00000161217
68,0.0,0.01453118,0,ENSG00000164535
69,0.0,0.008729715,0,ENSG00000179598
70,0.0,0.2595926,0,ENSG00000106462
71,0.0,0.014231922,1,ENSG00000198162
72,0.0,0.25902063,0,ENSG00000181090
73,0.0,0.004471728,0,ENSG00000186908
74,0.0,0.019936763,0,ENSG00000153936
75,0.0,0.016241385,0,ENSG00000110090
76,0.0,0.014072127,0,ENSG00000168000
77,0.0,0.042042937,0,ENSG00000084207
78,0.0,0.010180094,0,ENSG00000146733
79,0.0,0.012833835,0,ENSG00000124523
80,0.0,0.0075625787,0,ENSG00000117411
81,0.0,0.024645224,0,ENSG00000060642
82,0.0,0.01093495,0,ENSG00000205268
83,1.0,0.9928676,1,ENSG00000168906
84,0.0,0.12546629,0,ENSG00000149809
85,0.0,0.13531432,0,ENSG00000177646
86,0.0,0.3843092,0,ENSG00000164494
87,0.0,0.0050927997,0,ENSG00000136731
88,0.0,0.42140433,0,ENSG00000072310
89,0.0,0.0051993937,0,ENSG00000139624
90,0.0,0.28862914,0,ENSG00000178773
91,0.0,0.012587041,0,ENSG00000111684
92,1.0,0.9963833,1,ENSG00000105254
