"id","cell"
"ENSG00000099194","ACH-000002"
"ENSG00000068366","ACH-000002"
"ENSG00000099797","ACH-000002"
"ENSG00000110090","ACH-000002"
"ENSG00000101986","ACH-000002"
"ENSG00000169710","ACH-000002"
"ENSG00000149084","ACH-000002"
"ENSG00000012779","ACH-000002"
"ENSG00000134824","ACH-000002"
"ENSG00000197375","ACH-000002"
"ENSG00000089597","ACH-000002"
"ENSG00000115275","ACH-000002"
"ENSG00000118705 and ENSG00000129562 and ENSG00000134910 and ENSG00000163902 and ENSG00000244038","ACH-000002"
"ENSG00000139133","ACH-000002"
"ENSG00000155380","ACH-000002"
"ENSG00000127125","ACH-000002"
"ENSG00000163344","ACH-000002"
"ENSG00000110921","ACH-000002"
"ENSG00000124370","ACH-000002"
"ENSG00000113161","ACH-000002"
"ENSG00000124767","ACH-000002"
"ENSG00000149313","ACH-000002"
"ENSG00000151093","ACH-000002"
"ENSG00000138814 and ENSG00000221823","ACH-000002"
"ENSG00000055609 and ENSG00000272333","ACH-000002"
"ENSG00000072062","ACH-000002"
"ENSG00000157326","ACH-000002"
"ENSG00000100714","ACH-000002"
"ENSG00000065911","ACH-000002"
"ENSG00000136877","ACH-000002"
"ENSG00000135437","ACH-000002"
"ENSG00000132196","ACH-000002"
"ENSG00000072506 and ENSG00000084754 and ENSG00000138796","ACH-000002"
"ENSG00000151151","ACH-000002"
"ENSG00000100605","ACH-000002"
"ENSG00000068383","ACH-000002"
"ENSG00000040933","ACH-000002"
"ENSG00000145725","ACH-000002"
"ENSG00000007168","ACH-000002"
"ENSG00000078142","ACH-000002"
"ENSG00000119723","ACH-000002"
"ENSG00000083807","ACH-000002"
"ENSG00000023330","ACH-000002"
"ENSG00000005381","ACH-000002"
"ENSG00000093010","ACH-000002"
"ENSG00000072506","ACH-000002"
"ENSG00000083123 and ENSG00000142046 and ENSG00000248098","ACH-000002"
"ENSG00000111716","ACH-000002"
"ENSG00000070614","ACH-000002"
"ENSG00000117528","ACH-000002"
"ENSG00000105953","ACH-000002"
"ENSG00000173085","ACH-000002"
"ENSG00000167186","ACH-000002"
"ENSG00000092621","ACH-000002"
"ENSG00000135069","ACH-000002"
"ENSG00000146701","ACH-000002"
"ENSG00000001630","ACH-000002"
"ENSG00000052802","ACH-000002"
"ENSG00000143149","ACH-000002"
"ENSG00000182199","ACH-000002"
"ENSG00000176974","ACH-000002"
"ENSG00000128039","ACH-000002"
"ENSG00000116649","ACH-000002"
"ENSG00000102172","ACH-000002"
"ENSG00000128059","ACH-000002"
"ENSG00000178921","ACH-000002"
"ENSG00000110871","ACH-000002"
