,preds,preds_raw,gene_name,cell
0,0.0,0.13575481,ENSG00000068366,ACH-000002
1,0.0,0.20834559,ENSG00000123983,ACH-000002
2,0.0,0.025900627,ENSG00000140284,ACH-000002
7,0.0,0.018205436,ENSG00000143554,ACH-000002
10,1.0,0.56279165,ENSG00000099194,ACH-000002
13,0.0,0.020996494,ENSG00000110090,ACH-000002
16,0.0,0.20817555,ENSG00000099797,ACH-000002
18,0.0,0.21063982,ENSG00000066322,ACH-000002
20,0.0,0.01965101,ENSG00000157184,ACH-000002
23,0.0,0.21812278,ENSG00000177646,ACH-000002
25,0.0,0.1560279,ENSG00000161533,ACH-000002
26,0.0,0.019650884,ENSG00000197375,ACH-000002
27,0.0,0.0129087055,ENSG00000178537,ACH-000002
28,0.0,0.0130207725,ENSG00000197119,ACH-000002
31,0.0,0.008872152,ENSG00000101986,ACH-000002
33,0.0,0.23042616,ENSG00000185825,ACH-000002
34,0.0,0.031905416,ENSG00000012779,ACH-000002
37,0.0,0.0047245133,ENSG00000084207,ACH-000002
40,0.0,0.004731164,ENSG00000134202,ACH-000002
43,0.0,0.004774454,ENSG00000168765,ACH-000002
45,0.0,0.0047255517,ENSG00000213366,ACH-000002
46,1.0,0.63952166,ENSG00000072506 and ENSG00000084754 and ENSG00000138796,ACH-000002
47,0.0,0.1908136,ENSG00000169710,ACH-000002
48,0.0,0.021725647,ENSG00000167969,ACH-000002
56,0.0,0.47145748,ENSG00000149084,ACH-000002
57,0.0,0.44142777,ENSG00000146066,ACH-000002
58,0.0,0.038841747,ENSG00000206527,ACH-000002
60,0.0,0.029184332,ENSG00000134824,ACH-000002
61,0.0,0.1093277,ENSG00000089597,ACH-000002
63,0.0,0.10932776,ENSG00000198162,ACH-000002
64,0.0,0.10932776,ENSG00000115275,ACH-000002
65,1.0,0.9926456,ENSG00000118705 and ENSG00000129562 and ENSG00000134910 and ENSG00000163902 and ENSG00000244038,ACH-000002
70,0.0,0.23741212,ENSG00000131446,ACH-000002
71,0.0,0.054846518,ENSG00000139133,ACH-000002
73,0.0,0.030417863,ENSG00000141526,ACH-000002
74,0.0,0.15848221,ENSG00000155380,ACH-000002
76,0.0,0.03425205,ENSG00000164039,ACH-000002
77,0.0,0.4182979,ENSG00000127125,ACH-000002
78,0.0,0.4074647,ENSG00000138621,ACH-000002
83,1.0,0.5064973,ENSG00000163344,ACH-000002
84,1.0,0.6249822,ENSG00000167508,ACH-000002
85,1.0,0.83041316,ENSG00000110921,ACH-000002
88,0.0,0.04071067,ENSG00000124370,ACH-000002
89,1.0,0.83041364,ENSG00000113161,ACH-000002
92,0.0,0.024562312,ENSG00000124767,ACH-000002
93,1.0,0.50748986,ENSG00000072506,ACH-000002
95,0.0,0.17769876,ENSG00000100294,ACH-000002
96,0.0,0.48528177,ENSG00000149313,ACH-000002
97,0.0,0.17277347,ENSG00000151093,ACH-000002
99,0.0,0.20008306,ENSG00000116237,ACH-000002
100,0.0,0.04012984,ENSG00000138814 and ENSG00000221823,ACH-000002
101,0.0,0.061836362,ENSG00000106799 and ENSG00000163513,ACH-000002
102,0.0,0.055423778,ENSG00000104365 and ENSG00000213341,ACH-000002
103,0.0,0.05136034,ENSG00000070770 and ENSG00000101266,ACH-000002
104,0.0,0.041191235,ENSG00000132964 and ENSG00000155111,ACH-000002
105,0.0,0.1828719,ENSG00000132155 and ENSG00000157764,ACH-000002
115,0.0,0.04669137,ENSG00000034152,ACH-000002
116,0.0,0.062844366,ENSG00000038382,ACH-000002
120,1.0,0.90618354,ENSG00000058729,ACH-000002
122,1.0,0.59774876,ENSG00000060237,ACH-000002
123,0.0,0.062209275,ENSG00000065243,ACH-000002
126,0.0,0.203983,ENSG00000065883,ACH-000002
127,0.0,0.024513144,ENSG00000067900,ACH-000002
128,0.0,0.061945952,ENSG00000069956,ACH-000002
131,0.0,0.034618713,ENSG00000072062,ACH-000002
133,0.0,0.062126998,ENSG00000072518,ACH-000002
137,0.0,0.091523945,ENSG00000076984,ACH-000002
143,0.0,0.062099744,ENSG00000086015,ACH-000002
146,1.0,0.9601105,ENSG00000087586,ACH-000002
147,0.0,0.061911147,ENSG00000089022,ACH-000002
151,0.0,0.05880254,ENSG00000096063,ACH-000002
