cell,cell_index
GSM1233067,0
GSM1233069,1
GSM1233072,2
GSM1233085,3
GSM1233086,4
GSM1233098,5
GSM1233102,6
GSM1233103,7
GSM1233107,8
GSM1233108,9
GSM1233109,10
GSM1233110,11
GSM1233113,12
GSM1233114,13
GSM1233116,14
GSM1233119,15
GSM1233120,16
GSM1233121,17
GSM1233123,18
GSM1233124,19
GSM1233125,20
GSM1233126,21
GSM1233127,22
GSM1233128,23
GSM1233129,24
GSM1233130,25
GSM1233131,26
GSM1233132,27
GSM1233133,28
GSM1233134,29
GSM1233135,30
GSM1233136,31
GSM1233137,32
GSM1233138,33
GSM1233139,34
GSM1233140,35
GSM1233141,36
GSM1233142,37
GSM1233143,38
GSM1233144,39
GSM1233145,40
GSM1233147,41
GSM505470,42
GSM505489,43
GSM505490,44
GSM505491,45
GSM706705,46
GSM710798,47
GSM710799,48
GSM710936,49
GSM710940,50
GSM4171498,51
GSM4171506,52
GSM4171525,53
GSM4171534,54
GSM4171549,55
GSM4171554,56
GSM706687,57
GSM706689,58
GSM706703,59
GSM706711,60
GSM706712,61
GSM710497,62
GSM710510,63
GSM710528,64
GSM710745,65
GSM710790,66
GSM710791,67
GSM710800,68
GSM710937,69
GSM710938,70
GSM710939,71
GSM710978,72
GSM809184,73
GSM809187,74
GSM809188,75
GSM809189,76
GSM809190,77
GSM809191,78
GSM809192,79
GSM809193,80
GSM809194,81
GSM809195,82
GSM809196,83
GSM809197,84
GSM809198,85
GSM809199,86
GSM809201,87
GSM809205,88
GSM809206,89
GSM809207,90
GSM809210,91
GSM809212,92
GSM809213,93
GSM809215,94
GSM809216,95
GSM809217,96
GSM809218,97
GSM809219,98
GSM809222,99
GSM809223,100
GSM809228,101
GSM809229,102
GSM809233,103
GSM809234,104
GSM809235,105
GSM809240,106
GSM809241,107
GSM809242,108
GSM809243,109
GSM809244,110
GSM809249,111
GSM809250,112
GSM809252,113
GSM809253,114
GSM809254,115
GSM809257,116
GSM809258,117
GSM809259,118
GSM809260,119
GSM809261,120
GSM809262,121
GSM809263,122
GSM809265,123
GSM809268,124
GSM809269,125
GSM809270,126
GSM809271,127
GSM809275,128
GSM809279,129
GSM809283,130
GSM809284,131
GSM809285,132
GSM809286,133
GSM809287,134
GSM809288,135
GSM809289,136
GSM809290,137
GSM809291,138
GSM809292,139
GSM809293,140
GSM809296,141
GSM809297,142
GSM809298,143
GSM508100,144
GSM508102,145
GSM508103,146
GSM508104,147
GSM508105,148
GSM508106,149
GSM508107,150
GSM508108,151
GSM508109,152
GSM508111,153
GSM508112,154
GSM508113,155
GSM508114,156
GSM508115,157
GSM508116,158
GSM508117,159
GSM508118,160
GSM508119,161
GSM508120,162
GSM508121,163
GSM508122,164
GSM508123,165
GSM508124,166
GSM508126,167
GSM508127,168
GSM508128,169
GSM508130,170
GSM508131,171
GSM508132,172
GSM508134,173
GSM508135,174
GSM508136,175
GSM508137,176
GSM508138,177
GSM508139,178
GSM508140,179
GSM508141,180
GSM508142,181
GSM508143,182
GSM508144,183
GSM508145,184
GSM508146,185
GSM508147,186
GSM508148,187
GSM508149,188
GSM508151,189
GSM508152,190
GSM508153,191
GSM508154,192
GSM508155,193
GSM508156,194
GSM508157,195
GSM508158,196
GSM508160,197
GSM508161,198
GSM508162,199
GSM508163,200
GSM508164,201
GSM508165,202
GSM508166,203
GSM508168,204
GSM508169,205
GSM508170,206
GSM508171,207
GSM508172,208
GSM508173,209
GSM508174,210
GSM508175,211
GSM508176,212
GSM508177,213
GSM508178,214
GSM508179,215
GSM508180,216
GSM508181,217
GSM508182,218
GSM508183,219
GSM508184,220
GSM508186,221
GSM508189,222
GSM1050577,223
GSM1050578,224
GSM1050579,225
GSM1050580,226
GSM1050581,227
GSM1050582,228
GSM1050583,229
GSM1050584,230
GSM1050585,231
GSM1050586,232
GSM1050587,233
GSM1050588,234
GSM1050589,235
GSM1050590,236
GSM1050591,237
GSM1050592,238
GSM1050593,239
GSM1050594,240
GSM1050595,241
GSM1050596,242
GSM1050597,243
GSM1050598,244
GSM1050599,245
GSM1050600,246
GSM1050601,247
GSM1050602,248
GSM1050603,249
GSM1050604,250
GSM1050605,251
GSM1050606,252
GSM1050607,253
GSM1050608,254
GSM1050609,255
GSM1050610,256
GSM1050611,257
GSM1050612,258
GSM1050613,259
GSM1050614,260
GSM1050615,261
GSM1050616,262
GSM1050617,263
GSM1050618,264
GSM1050619,265
GSM1050620,266
GSM1050621,267
GSM1050622,268
GSM1050623,269
GSM1050624,270
GSM1050625,271
GSM1050626,272
GSM1050627,273
GSM1050628,274
GSM1050629,275
GSM1050630,276
GSM1050631,277
GSM1050632,278
GSM1050633,279
GSM1050634,280
GSM1050635,281
GSM1050636,282
GSM1050637,283
GSM1050638,284
GSM1050639,285
GSM1050640,286
GSM1050641,287
GSM1050642,288
GSM1519418,289
GSM1519419,290
GSM1519420,291
GSM1519421,292
GSM1519422,293
GSM1519423,294
GSM1519424,295
GSM1519425,296
GSM1519426,297
GSM1519427,298
GSM1519428,299
GSM1519429,300
GSM1519430,301
GSM1519431,302
GSM1519432,303
GSM1519433,304
GSM1519434,305
GSM1519435,306
GSM1519436,307
GSM1519437,308
GSM1519438,309
GSM4171523,310
GSM4171524,311
GSM4171543,312
GSM4171544,313
GSM4171546,314
GSM4171570,315
GSM4171571,316
GSM4171578,317
GSM4171582,318
GSM4171584,319
GSM1875897,320
GSM1875898,321
GSM1875899,322
GSM1875900,323
GSM1875902,324
GSM1875907,325
GSM1875914,326
GSM1875916,327
GSM1875917,328
GSM1875918,329
GSM1875919,330
GSM1875920,331
GSM1875923,332
GSM1875924,333
GSM1875929,334
GSM1875932,335
GSM1875935,336
GSM1875937,337
GSM1875938,338
GSM1875947,339
GSM1875948,340
GSM1875952,341
GSM1875954,342
GSM1875955,343
GSM1875956,344
GSM1875959,345
GSM1875969,346
GSM1875972,347
GSM1875981,348
GSM1875989,349
GSM1876008,350
GSM1876009,351
GSM508041,352
GSM508023,353
GSM1232994,354
GSM1232996,355
GSM1232997,356
GSM1232998,357
GSM1232999,358
GSM1233000,359
GSM1233001,360
GSM1233004,361
GSM1233006,362
GSM1233008,363
GSM1233009,364
GSM1233011,365
GSM1233012,366
GSM1233017,367
GSM1233020,368
GSM1233022,369
GSM1233023,370
GSM1233026,371
GSM1233027,372
GSM1233028,373
GSM1233033,374
GSM1233034,375
GSM1233036,376
GSM1233037,377
GSM1233040,378
GSM1233041,379
GSM1233045,380
GSM1233047,381
GSM1233048,382
GSM1233050,383
GSM1233052,384
GSM1233053,385
GSM1233055,386
GSM1233056,387
GSM1233058,388
GSM1233059,389
GSM1233061,390
GSM1233063,391
GSM1233065,392
GSM1233066,393
GSM1233070,394
GSM1233071,395
GSM1233074,396
GSM1233076,397
GSM1233077,398
GSM1233080,399
GSM1233081,400
GSM1233084,401
GSM1233087,402
GSM1233088,403
GSM1233089,404
GSM1233090,405
GSM1233092,406
GSM1233094,407
GSM1233097,408
GSM1233099,409
GSM1233100,410
GSM1233104,411
GSM1233106,412
GSM1233111,413
GSM1233112,414
GSM1233122,415
GSM1233146,416
GSM508022,417
GSM496015,418
GSM496016.2,419
GSM496017,420
