,preds,preds_raw,label,genes
0,0.0,0.4660265,0.0,ENSG00000072506 and ENSG00000084754 and ENSG00000138796
1,0.0,0.06427691,1.0,ENSG00000169710
2,0.0,0.06540157,1.0,ENSG00000008513
3,1.0,0.9999902,1.0,ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848
4,1.0,0.99999046,1.0,ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848
5,0.0,0.0012812945,0.0,ENSG00000113273
6,0.0,0.075787924,0.0,ENSG00000187134
7,0.0,0.043700244,0.0,ENSG00000131480
8,1.0,0.9934135,1.0,ENSG00000128951
9,0.0,0.025905536,0.0,ENSG00000110090
10,0.0,0.009786763,0.0,ENSG00000197375
11,1.0,0.99385554,1.0,ENSG00000113161
12,1.0,0.90370226,1.0,ENSG00000178700
13,0.0,0.4517667,1.0,ENSG00000100714
14,0.0,0.013430017,0.0,ENSG00000084754 and ENSG00000138029 and ENSG00000167315
15,1.0,0.6307375,1.0,ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445
16,0.0,0.07320377,0.0,ENSG00000059573
17,0.0,0.011107464,0.0,ENSG00000084754 and ENSG00000113790 and ENSG00000127884
18,0.0,0.14941347,0.0,ENSG00000161533
19,0.0,0.0055426345,0.0,ENSG00000162066
20,0.0,0.045253515,0.0,ENSG00000176974
21,0.0,0.015539097,0.0,ENSG00000104522
22,0.0,0.491072,0.0,ENSG00000153574
23,0.0,0.050808806,0.0,ENSG00000117308
24,0.0,0.039910894,0.0,ENSG00000146701
25,0.0,0.09411052,0.0,ENSG00000068366
26,0.0,0.3341221,0.0,ENSG00000123983
27,0.0,0.015824592,0.0,ENSG00000140284
28,0.0,0.023169767,0.0,ENSG00000147224
29,0.0,0.0520259,0.0,ENSG00000117450
30,0.0,0.049434256,0.0,ENSG00000117592
31,0.0,0.0076817204,0.0,ENSG00000126432
32,0.0,0.23996483,0.0,ENSG00000164294
33,0.0,0.0050033857,0.0,ENSG00000165672
34,0.0,0.42555597,1.0,ENSG00000167468
35,1.0,0.54672325,0.0,ENSG00000167815
36,0.0,0.0057601538,0.0,ENSG00000171302
37,0.0,0.005492881,0.0,ENSG00000156110
38,0.0,0.0688229,0.0,ENSG00000066322
39,0.0,0.07584721,0.0,ENSG00000099377
40,0.0,0.075778306,0.0,ENSG00000121039
41,0.0,0.07586022,0.0,ENSG00000159692
42,0.0,0.07584598,0.0,ENSG00000164039
43,0.0,0.07584881,0.0,ENSG00000167733
44,0.0,0.07585323,0.0,ENSG00000176387
45,0.0,0.077141866,0.0,ENSG00000197894
46,0.0,0.16197082,0.0,ENSG00000060971 and ENSG00000113790 and ENSG00000133835
47,0.0,0.039686363,0.0,ENSG00000132196
48,0.0,0.27907336,0.0,ENSG00000149084
49,0.0,0.062918805,0.0,ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721
50,0.0,0.4147993,1.0,ENSG00000117143
51,0.0,0.2652752,1.0,ENSG00000139514
