"from"	"to"	"Metabolite"
"20"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000160282"	"m1007"
"21"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"m1008"
"22"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848"	"m1008"
"28"	"ENSG00000107798"	"ENSG00000171298"	"m1016"
"29"	"ENSG00000107798"	"ENSG00000036565"	"m1016"
"30"	"ENSG00000107798"	"ENSG00000165646"	"m1016"
"31"	"ENSG00000107798"	"ENSG00000002726"	"m1016"
"32"	"ENSG00000107798"	"ENSG00000131471"	"m1016"
"33"	"ENSG00000107798"	"ENSG00000131480"	"m1016"
"34"	"ENSG00000107798"	"ENSG00000111817"	"m1016"
"35"	"ENSG00000107798"	"ENSG00000111962"	"m1016"
"36"	"ENSG00000107798"	"ENSG00000134538"	"m1016"
"38"	"ENSG00000107798"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"m1016"
"39"	"ENSG00000107798"	"ENSG00000006534"	"m1016"
"40"	"ENSG00000107798"	"ENSG00000108602"	"m1016"
"41"	"ENSG00000107798"	"ENSG00000132746"	"m1016"
"42"	"ENSG00000107798"	"ENSG00000184254"	"m1016"
"43"	"ENSG00000107798"	"ENSG00000113273"	"m1016"
"44"	"ENSG00000107798"	"ENSG00000033100"	"m1016"
"45"	"ENSG00000107798"	"ENSG00000123989"	"m1016"
"46"	"ENSG00000107798"	"ENSG00000131873"	"m1016"
"47"	"ENSG00000107798"	"ENSG00000198108"	"m1016"
"49"	"ENSG00000006534"	"ENSG00000171298"	"m1016"
"50"	"ENSG00000006534"	"ENSG00000036565"	"m1016"
"51"	"ENSG00000006534"	"ENSG00000165646"	"m1016"
"52"	"ENSG00000006534"	"ENSG00000002726"	"m1016"
"53"	"ENSG00000006534"	"ENSG00000131471"	"m1016"
"54"	"ENSG00000006534"	"ENSG00000131480"	"m1016"
"55"	"ENSG00000006534"	"ENSG00000111817"	"m1016"
"56"	"ENSG00000006534"	"ENSG00000111962"	"m1016"
"57"	"ENSG00000006534"	"ENSG00000134538"	"m1016"
"59"	"ENSG00000006534"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"m1016"
"60"	"ENSG00000006534"	"ENSG00000006534"	"m1016"
"61"	"ENSG00000006534"	"ENSG00000108602"	"m1016"
"62"	"ENSG00000006534"	"ENSG00000132746"	"m1016"
"63"	"ENSG00000006534"	"ENSG00000184254"	"m1016"
"64"	"ENSG00000006534"	"ENSG00000113273"	"m1016"
"65"	"ENSG00000006534"	"ENSG00000033100"	"m1016"
"66"	"ENSG00000006534"	"ENSG00000123989"	"m1016"
"67"	"ENSG00000006534"	"ENSG00000131873"	"m1016"
"68"	"ENSG00000006534"	"ENSG00000198108"	"m1016"
"70"	"ENSG00000110090"	"ENSG00000171298"	"m1016"
"71"	"ENSG00000110090"	"ENSG00000036565"	"m1016"
"72"	"ENSG00000110090"	"ENSG00000165646"	"m1016"
"73"	"ENSG00000110090"	"ENSG00000002726"	"m1016"
"74"	"ENSG00000110090"	"ENSG00000131471"	"m1016"
"75"	"ENSG00000110090"	"ENSG00000131480"	"m1016"
"76"	"ENSG00000110090"	"ENSG00000111817"	"m1016"
"77"	"ENSG00000110090"	"ENSG00000111962"	"m1016"
"78"	"ENSG00000110090"	"ENSG00000134538"	"m1016"
"80"	"ENSG00000110090"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"m1016"
"81"	"ENSG00000110090"	"ENSG00000006534"	"m1016"
"82"	"ENSG00000110090"	"ENSG00000108602"	"m1016"
"83"	"ENSG00000110090"	"ENSG00000132746"	"m1016"
"84"	"ENSG00000110090"	"ENSG00000184254"	"m1016"
"85"	"ENSG00000110090"	"ENSG00000113273"	"m1016"
"86"	"ENSG00000110090"	"ENSG00000033100"	"m1016"
"87"	"ENSG00000110090"	"ENSG00000123989"	"m1016"
"88"	"ENSG00000110090"	"ENSG00000131873"	"m1016"
"89"	"ENSG00000110090"	"ENSG00000198108"	"m1016"
"112"	"ENSG00000134538"	"ENSG00000197375"	"m1017"
"113"	"ENSG00000134538"	"ENSG00000060971"	"m1017"
"114"	"ENSG00000134538"	"ENSG00000072506"	"m1017"
"115"	"ENSG00000134538"	"ENSG00000084754"	"m1017"
"116"	"ENSG00000134538"	"ENSG00000087008"	"m1017"
"117"	"ENSG00000134538"	"ENSG00000097021"	"m1017"
"118"	"ENSG00000134538"	"ENSG00000101473"	"m1017"
"119"	"ENSG00000134538"	"ENSG00000119673"	"m1017"
"120"	"ENSG00000134538"	"ENSG00000127884"	"m1017"
"121"	"ENSG00000134538"	"ENSG00000130304"	"m1017"
"122"	"ENSG00000134538"	"ENSG00000133835"	"m1017"
"123"	"ENSG00000134538"	"ENSG00000136881"	"m1017"
"124"	"ENSG00000134538"	"ENSG00000138029"	"m1017"
"125"	"ENSG00000134538"	"ENSG00000138796"	"m1017"
"126"	"ENSG00000134538"	"ENSG00000140284"	"m1017"
"127"	"ENSG00000134538"	"ENSG00000143554"	"m1017"
"128"	"ENSG00000134538"	"ENSG00000157426"	"m1017"
"129"	"ENSG00000134538"	"ENSG00000161533"	"m1017"
"130"	"ENSG00000134538"	"ENSG00000167107"	"m1017"
"131"	"ENSG00000134538"	"ENSG00000167114"	"m1017"
"132"	"ENSG00000134538"	"ENSG00000167315"	"m1017"
"133"	"ENSG00000134538"	"ENSG00000176715"	"m1017"
"134"	"ENSG00000134538"	"ENSG00000177465"	"m1017"
"135"	"ENSG00000134538"	"ENSG00000184227"	"m1017"
"136"	"ENSG00000134538"	"ENSG00000242110"	"m1017"
"137"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000169710"	"m1018"
"138"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000023839"	"m1018"
"139"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000103222"	"m1018"
"140"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000108846"	"m1018"
"141"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000105398"	"m1018"
"142"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000134538"	"m1018"
"144"	"ENSG00000138413"	"ENSG00000169710"	"m1018"
"145"	"ENSG00000138413"	"ENSG00000023839"	"m1018"
"146"	"ENSG00000138413"	"ENSG00000103222"	"m1018"
"147"	"ENSG00000138413"	"ENSG00000108846"	"m1018"
"148"	"ENSG00000138413"	"ENSG00000105398"	"m1018"
"149"	"ENSG00000138413"	"ENSG00000134538"	"m1018"
"151"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000169710"	"m1018"
"152"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000023839"	"m1018"
"153"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000103222"	"m1018"
"154"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000108846"	"m1018"
"155"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000105398"	"m1018"
"156"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000134538"	"m1018"
"158"	"ENSG00000113161"	"ENSG00000169710"	"m1018"
"159"	"ENSG00000113161"	"ENSG00000023839"	"m1018"
"160"	"ENSG00000113161"	"ENSG00000103222"	"m1018"
