"from"	"to"	"Metabolite"
"11"	"ENSG00000136881"	"ENSG00000073756"	"m1"
"12"	"ENSG00000136881"	"ENSG00000095303"	"m1"
"13"	"ENSG00000136881"	"ENSG00000167910"	"m1"
"20"	"ENSG00000169710"	"ENSG00000073756"	"m1"
"21"	"ENSG00000169710"	"ENSG00000095303"	"m1"
"22"	"ENSG00000169710"	"ENSG00000167910"	"m1"
"29"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000073756"	"m1"
"30"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000095303"	"m1"
"31"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000167910"	"m1"
"76"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000160282"	"m1011"
"77"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"m1012"
"78"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848"	"m1012"
"107"	"ENSG00000107798"	"ENSG00000104808"	"m1019"
"108"	"ENSG00000107798"	"ENSG00000151632"	"m1019"
"109"	"ENSG00000107798"	"ENSG00000187134"	"m1019"
"110"	"ENSG00000107798"	"ENSG00000196139"	"m1019"
"111"	"ENSG00000107798"	"ENSG00000198610"	"m1019"
"112"	"ENSG00000107798"	"ENSG00000113273"	"m1019"
"113"	"ENSG00000107798"	"ENSG00000033100"	"m1019"
"114"	"ENSG00000107798"	"ENSG00000123989"	"m1019"
"115"	"ENSG00000107798"	"ENSG00000131873"	"m1019"
"116"	"ENSG00000107798"	"ENSG00000198108"	"m1019"
"117"	"ENSG00000107798"	"ENSG00000111817"	"m1019"
"118"	"ENSG00000107798"	"ENSG00000111962"	"m1019"
"119"	"ENSG00000107798"	"ENSG00000171298"	"m1019"
"120"	"ENSG00000107798"	"ENSG00000002726"	"m1019"
"121"	"ENSG00000107798"	"ENSG00000131471"	"m1019"
"122"	"ENSG00000107798"	"ENSG00000131480"	"m1019"
"123"	"ENSG00000107798"	"ENSG00000006534"	"m1019"
"124"	"ENSG00000107798"	"ENSG00000108602"	"m1019"
"125"	"ENSG00000107798"	"ENSG00000132746"	"m1019"
"126"	"ENSG00000107798"	"ENSG00000184254"	"m1019"
"128"	"ENSG00000107798"	"ENSG00000128951"	"m1019"
"130"	"ENSG00000156510"	"ENSG00000104808"	"m1019"
"131"	"ENSG00000156510"	"ENSG00000151632"	"m1019"
"132"	"ENSG00000156510"	"ENSG00000187134"	"m1019"
"133"	"ENSG00000156510"	"ENSG00000196139"	"m1019"
"134"	"ENSG00000156510"	"ENSG00000198610"	"m1019"
"135"	"ENSG00000156510"	"ENSG00000113273"	"m1019"
"136"	"ENSG00000156510"	"ENSG00000033100"	"m1019"
"137"	"ENSG00000156510"	"ENSG00000123989"	"m1019"
"138"	"ENSG00000156510"	"ENSG00000131873"	"m1019"
"139"	"ENSG00000156510"	"ENSG00000198108"	"m1019"
"140"	"ENSG00000156510"	"ENSG00000111817"	"m1019"
"141"	"ENSG00000156510"	"ENSG00000111962"	"m1019"
"142"	"ENSG00000156510"	"ENSG00000171298"	"m1019"
"143"	"ENSG00000156510"	"ENSG00000002726"	"m1019"
"144"	"ENSG00000156510"	"ENSG00000131471"	"m1019"
"145"	"ENSG00000156510"	"ENSG00000131480"	"m1019"
"146"	"ENSG00000156510"	"ENSG00000006534"	"m1019"
"147"	"ENSG00000156510"	"ENSG00000108602"	"m1019"
"148"	"ENSG00000156510"	"ENSG00000132746"	"m1019"
"149"	"ENSG00000156510"	"ENSG00000184254"	"m1019"
"151"	"ENSG00000156510"	"ENSG00000128951"	"m1019"
"153"	"ENSG00000110090"	"ENSG00000104808"	"m1019"
"154"	"ENSG00000110090"	"ENSG00000151632"	"m1019"
"155"	"ENSG00000110090"	"ENSG00000187134"	"m1019"
"156"	"ENSG00000110090"	"ENSG00000196139"	"m1019"
"157"	"ENSG00000110090"	"ENSG00000198610"	"m1019"
"158"	"ENSG00000110090"	"ENSG00000113273"	"m1019"
"159"	"ENSG00000110090"	"ENSG00000033100"	"m1019"
"160"	"ENSG00000110090"	"ENSG00000123989"	"m1019"
"161"	"ENSG00000110090"	"ENSG00000131873"	"m1019"
"162"	"ENSG00000110090"	"ENSG00000198108"	"m1019"
"163"	"ENSG00000110090"	"ENSG00000111817"	"m1019"
"164"	"ENSG00000110090"	"ENSG00000111962"	"m1019"
"165"	"ENSG00000110090"	"ENSG00000171298"	"m1019"
"166"	"ENSG00000110090"	"ENSG00000002726"	"m1019"
"167"	"ENSG00000110090"	"ENSG00000131471"	"m1019"
"168"	"ENSG00000110090"	"ENSG00000131480"	"m1019"
"169"	"ENSG00000110090"	"ENSG00000006534"	"m1019"
"170"	"ENSG00000110090"	"ENSG00000108602"	"m1019"
