"from"	"to"	"Metabolite"
"9"	"ENSG00000025423"	"ENSG00000008513"	"m100"
"10"	"ENSG00000025423"	"ENSG00000110080"	"m100"
"11"	"ENSG00000025423"	"ENSG00000157350"	"m100"
"12"	"ENSG00000025423"	"ENSG00000104331"	"m100"
"13"	"ENSG00000025423"	"ENSG00000133731"	"m100"
"14"	"ENSG00000025423"	"ENSG00000141401"	"m100"
"33"	"ENSG00000057252"	"ENSG00000057252"	"m1014"
"34"	"ENSG00000057252"	"ENSG00000167780"	"m1014"
"35"	"ENSG00000132155 and ENSG00000157764"	"ENSG00000145217"	"m1015"
"36"	"ENSG00000132155 and ENSG00000157764"	"ENSG00000155850"	"m1015"
"48"	"ENSG00000001630"	"ENSG00000087008"	"m1019"
"49"	"ENSG00000001630"	"ENSG00000161533"	"m1019"
"52"	"ENSG00000143815"	"ENSG00000087008"	"m1019"
"53"	"ENSG00000143815"	"ENSG00000161533"	"m1019"
"54"	"ENSG00000073756"	"ENSG00000161653"	"m1020"
"55"	"ENSG00000073756"	"ENSG00000203857"	"m1020"
"56"	"ENSG00000073756"	"ENSG00000203859"	"m1020"
"68"	"ENSG00000120915"	"ENSG00000112499"	"m1022"
"69"	"ENSG00000120915"	"ENSG00000146477"	"m1022"
"70"	"ENSG00000120915"	"ENSG00000175003"	"m1022"
"71"	"ENSG00000125454"	"ENSG00000174640"	"m1023"
"73"	"ENSG00000068366"	"ENSG00000174640"	"m1023"
"111"	"ENSG00000083807"	"ENSG00000155380"	"m1028"
"118"	"ENSG00000117308"	"ENSG00000073756"	"m1035"
"119"	"ENSG00000117308"	"ENSG00000095303"	"m1035"
"122"	"ENSG00000117308"	"ENSG00000160200"	"m1035"
"124"	"ENSG00000012779"	"ENSG00000012779"	"m104"
"125"	"ENSG00000231852"	"ENSG00000140459"	"m1040"
"126"	"ENSG00000231852"	"ENSG00000176387"	"m1040"
"127"	"ENSG00000231852"	"ENSG00000137563"	"m1040"
"128"	"ENSG00000231852"	"ENSG00000103222"	"m1040"
"129"	"ENSG00000231852"	"ENSG00000135226"	"m1040"
"130"	"ENSG00000231852"	"ENSG00000171234"	"m1040"
"131"	"ENSG00000231852"	"ENSG00000197888"	"m1040"
"132"	"ENSG00000231852"	"ENSG00000241635"	"m1040"
"133"	"ENSG00000231852"	"ENSG00000242366"	"m1040"
"134"	"ENSG00000231852"	"ENSG00000242515"	"m1040"
"135"	"ENSG00000231852"	"ENSG00000136877"	"m1040"
"158"	"ENSG00000203857"	"ENSG00000140459"	"m1040"
"159"	"ENSG00000203857"	"ENSG00000176387"	"m1040"
"160"	"ENSG00000203857"	"ENSG00000137563"	"m1040"
"161"	"ENSG00000203857"	"ENSG00000103222"	"m1040"
"162"	"ENSG00000203857"	"ENSG00000135226"	"m1040"
"163"	"ENSG00000203857"	"ENSG00000171234"	"m1040"
"164"	"ENSG00000203857"	"ENSG00000197888"	"m1040"
"165"	"ENSG00000203857"	"ENSG00000241635"	"m1040"
"166"	"ENSG00000203857"	"ENSG00000242366"	"m1040"
"167"	"ENSG00000203857"	"ENSG00000242515"	"m1040"
"168"	"ENSG00000203857"	"ENSG00000136877"	"m1040"
"180"	"ENSG00000137563"	"ENSG00000140459"	"m1040"
"181"	"ENSG00000137563"	"ENSG00000176387"	"m1040"
"182"	"ENSG00000137563"	"ENSG00000137563"	"m1040"
"183"	"ENSG00000137563"	"ENSG00000103222"	"m1040"
"184"	"ENSG00000137563"	"ENSG00000135226"	"m1040"
"185"	"ENSG00000137563"	"ENSG00000171234"	"m1040"
"186"	"ENSG00000137563"	"ENSG00000197888"	"m1040"
"187"	"ENSG00000137563"	"ENSG00000241635"	"m1040"
"188"	"ENSG00000137563"	"ENSG00000242366"	"m1040"
"189"	"ENSG00000137563"	"ENSG00000242515"	"m1040"
"190"	"ENSG00000137563"	"ENSG00000136877"	"m1040"
"191"	"ENSG00000021488"	"ENSG00000169710"	"m1042"
"198"	"ENSG00000057252"	"ENSG00000021488"	"m1048"
"199"	"ENSG00000057252"	"ENSG00000084453"	"m1048"
"200"	"ENSG00000057252"	"ENSG00000111700"	"m1048"
"201"	"ENSG00000169710"	"ENSG00000057252"	"m1048"
"202"	"ENSG00000169710"	"ENSG00000167780"	"m1048"
"203"	"ENSG00000169710"	"ENSG00000021488"	"m1048"
"204"	"ENSG00000169710"	"ENSG00000084453"	"m1048"
"205"	"ENSG00000169710"	"ENSG00000111700"	"m1048"
"209"	"ENSG00000057252"	"ENSG00000107798"	"m1049"
"210"	"ENSG00000057252"	"ENSG00000170835"	"m1049"
"213"	"ENSG00000021488"	"ENSG00000021488"	"m1049"
"214"	"ENSG00000021488"	"ENSG00000084453"	"m1049"
"215"	"ENSG00000021488"	"ENSG00000111700"	"m1049"
"216"	"ENSG00000021488"	"ENSG00000107798"	"m1049"
"217"	"ENSG00000021488"	"ENSG00000170835"	"m1049"
"218"	"ENSG00000021488"	"ENSG00000057252"	"m1049"
"219"	"ENSG00000021488"	"ENSG00000167780"	"m1049"
"220"	"ENSG00000007350"	"ENSG00000107798"	"m1051"
"221"	"ENSG00000007350"	"ENSG00000170835"	"m1051"
"222"	"ENSG00000007350"	"ENSG00000103064"	"m1051"
"223"	"ENSG00000007350"	"ENSG00000103257"	"m1051"
"224"	"ENSG00000103064"	"ENSG00000107798"	"m1052"
"225"	"ENSG00000103064"	"ENSG00000170835"	"m1052"
"226"	"ENSG00000140459"	"ENSG00000140459"	"m1053"
"228"	"ENSG00000148795"	"ENSG00000108381"	"m1054"
"229"	"ENSG00000148795"	"ENSG00000132744"	"m1054"
"230"	"ENSG00000148795"	"ENSG00000107798"	"m1054"
"231"	"ENSG00000148795"	"ENSG00000170835"	"m1054"
"249"	"ENSG00000108381"	"ENSG00000148795"	"m1068"
"250"	"ENSG00000108381"	"ENSG00000197580"	"m1068"
"275"	"ENSG00000069764"	"ENSG00000110090"	"m1077"
"276"	"ENSG00000069764"	"ENSG00000169169"	"m1077"
