"from"	"to"	"Metabolite"
"15"	"ENSG00000093010"	"ENSG00000002726"	"m100"
"16"	"ENSG00000093010"	"ENSG00000131471"	"m100"
"17"	"ENSG00000093010"	"ENSG00000131480"	"m100"
"29"	"ENSG00000142494"	"ENSG00000145217"	"m1013"
"30"	"ENSG00000142494"	"ENSG00000155850"	"m1013"
"42"	"ENSG00000001630"	"ENSG00000087008"	"m1017"
"43"	"ENSG00000001630"	"ENSG00000161533"	"m1017"
"46"	"ENSG00000143815"	"ENSG00000087008"	"m1017"
"47"	"ENSG00000143815"	"ENSG00000161533"	"m1017"
"48"	"ENSG00000073756"	"ENSG00000203857"	"m1018"
"49"	"ENSG00000073756"	"ENSG00000203859"	"m1018"
"50"	"ENSG00000073756"	"ENSG00000161653"	"m1018"
"94"	"ENSG00000083807"	"ENSG00000155380"	"m1026"
"96"	"ENSG00000117308"	"ENSG00000160200"	"m1034"
"97"	"ENSG00000117308"	"ENSG00000073756"	"m1034"
"98"	"ENSG00000117308"	"ENSG00000095303"	"m1034"
"107"	"ENSG00000203857"	"ENSG00000140459"	"m1039"
"108"	"ENSG00000203857"	"ENSG00000176387"	"m1039"
"109"	"ENSG00000203857"	"ENSG00000137563"	"m1039"
"110"	"ENSG00000203857"	"ENSG00000135226"	"m1039"
"111"	"ENSG00000203857"	"ENSG00000171234"	"m1039"
"112"	"ENSG00000203857"	"ENSG00000197888"	"m1039"
"113"	"ENSG00000203857"	"ENSG00000241635"	"m1039"
"114"	"ENSG00000203857"	"ENSG00000242366"	"m1039"
"115"	"ENSG00000203857"	"ENSG00000242515"	"m1039"
"116"	"ENSG00000203857"	"ENSG00000136877"	"m1039"
"117"	"ENSG00000203857"	"ENSG00000103222"	"m1039"
"118"	"ENSG00000137563"	"ENSG00000140459"	"m1039"
"119"	"ENSG00000137563"	"ENSG00000176387"	"m1039"
"120"	"ENSG00000137563"	"ENSG00000137563"	"m1039"
"121"	"ENSG00000137563"	"ENSG00000135226"	"m1039"
"122"	"ENSG00000137563"	"ENSG00000171234"	"m1039"
"123"	"ENSG00000137563"	"ENSG00000197888"	"m1039"
"124"	"ENSG00000137563"	"ENSG00000241635"	"m1039"
"125"	"ENSG00000137563"	"ENSG00000242366"	"m1039"
"126"	"ENSG00000137563"	"ENSG00000242515"	"m1039"
"127"	"ENSG00000137563"	"ENSG00000136877"	"m1039"
"128"	"ENSG00000137563"	"ENSG00000103222"	"m1039"
"140"	"ENSG00000231852"	"ENSG00000140459"	"m1039"
"141"	"ENSG00000231852"	"ENSG00000176387"	"m1039"
"142"	"ENSG00000231852"	"ENSG00000137563"	"m1039"
"143"	"ENSG00000231852"	"ENSG00000135226"	"m1039"
"144"	"ENSG00000231852"	"ENSG00000171234"	"m1039"
"145"	"ENSG00000231852"	"ENSG00000197888"	"m1039"
"146"	"ENSG00000231852"	"ENSG00000241635"	"m1039"
"147"	"ENSG00000231852"	"ENSG00000242366"	"m1039"
"148"	"ENSG00000231852"	"ENSG00000242515"	"m1039"
"149"	"ENSG00000231852"	"ENSG00000136877"	"m1039"
"150"	"ENSG00000231852"	"ENSG00000103222"	"m1039"
"174"	"ENSG00000021488"	"ENSG00000169710"	"m1041"
"179"	"ENSG00000057252"	"ENSG00000021488"	"m1047"
"180"	"ENSG00000057252"	"ENSG00000084453"	"m1047"
"181"	"ENSG00000057252"	"ENSG00000111700"	"m1047"
"182"	"ENSG00000057252"	"ENSG00000057252"	"m1047"
"183"	"ENSG00000057252"	"ENSG00000167780"	"m1047"
"184"	"ENSG00000169710"	"ENSG00000021488"	"m1047"
"185"	"ENSG00000169710"	"ENSG00000084453"	"m1047"
"186"	"ENSG00000169710"	"ENSG00000111700"	"m1047"
"187"	"ENSG00000169710"	"ENSG00000057252"	"m1047"
"188"	"ENSG00000169710"	"ENSG00000167780"	"m1047"
"194"	"ENSG00000057252"	"ENSG00000107798"	"m1048"
"195"	"ENSG00000057252"	"ENSG00000170835"	"m1048"
"196"	"ENSG00000021488"	"ENSG00000057252"	"m1048"
"197"	"ENSG00000021488"	"ENSG00000167780"	"m1048"
"198"	"ENSG00000021488"	"ENSG00000021488"	"m1048"
"199"	"ENSG00000021488"	"ENSG00000084453"	"m1048"
"200"	"ENSG00000021488"	"ENSG00000111700"	"m1048"
"201"	"ENSG00000021488"	"ENSG00000107798"	"m1048"
"202"	"ENSG00000021488"	"ENSG00000170835"	"m1048"
"203"	"ENSG00000007350"	"ENSG00000103064"	"m1050"
"204"	"ENSG00000007350"	"ENSG00000103257"	"m1050"
"205"	"ENSG00000007350"	"ENSG00000107798"	"m1050"
"206"	"ENSG00000007350"	"ENSG00000170835"	"m1050"
"207"	"ENSG00000103064"	"ENSG00000107798"	"m1051"
"208"	"ENSG00000103064"	"ENSG00000170835"	"m1051"
"209"	"ENSG00000140459"	"ENSG00000140459"	"m1052"
"210"	"ENSG00000148795"	"ENSG00000107798"	"m1053"
"211"	"ENSG00000148795"	"ENSG00000170835"	"m1053"
"212"	"ENSG00000148795"	"ENSG00000108381"	"m1053"
"213"	"ENSG00000148795"	"ENSG00000132744"	"m1053"
"232"	"ENSG00000108381"	"ENSG00000148795"	"m1066"
"233"	"ENSG00000108381"	"ENSG00000197580"	"m1066"
"275"	"ENSG00000108839"	"ENSG00000108839"	"m108"
"276"	"ENSG00000108839"	"ENSG00000068366"	"m108"
"277"	"ENSG00000108839"	"ENSG00000103740"	"m108"
"278"	"ENSG00000108839"	"ENSG00000123983"	"m108"
"279"	"ENSG00000108839"	"ENSG00000130377"	"m108"
"280"	"ENSG00000108839"	"ENSG00000140284"	"m108"
"281"	"ENSG00000108839"	"ENSG00000151726"	"m108"
"282"	"ENSG00000108839"	"ENSG00000164398"	"m108"
"283"	"ENSG00000108839"	"ENSG00000197142"	"m108"
"284"	"ENSG00000108839"	"ENSG00000239642"	"m108"
"350"	"ENSG00000076555"	"ENSG00000131979"	"m1083"
"351"	"ENSG00000131473"	"ENSG00000117308"	"m1084"
"352"	"ENSG00000117143"	"ENSG00000076555"	"m1087"
"353"	"ENSG00000117143"	"ENSG00000278540"	"m1087"
"354"	"ENSG00000131979"	"ENSG00000131473"	"m1088"
"355"	"ENSG00000162365"	"ENSG00000197838"	"m1094"
"356"	"ENSG00000162365"	"ENSG00000198077"	"m1094"
"357"	"ENSG00000162365"	"ENSG00000255974"	"m1094"
"360"	"ENSG00000152463"	"ENSG00000149742"	"m1098"
"361"	"ENSG00000152463"	"ENSG00000175003"	"m1098"
"362"	"ENSG00000152463"	"ENSG00000178537"	"m1098"
"363"	"ENSG00000152463"	"ENSG00000197119"	"m1098"
"364"	"ENSG00000152463"	"ENSG00000197208"	"m1098"
"365"	"ENSG00000169710"	"ENSG00000149742"	"m1098"
"366"	"ENSG00000169710"	"ENSG00000175003"	"m1098"
"367"	"ENSG00000169710"	"ENSG00000178537"	"m1098"
