"from"	"to"	"Metabolite"
"1"	"ENSG00000169710"	"ENSG00000167910"	"m1"
"6"	"ENSG00000169710"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"m1"
"7"	"ENSG00000169710"	"ENSG00000136881"	"m1"
"9"	"ENSG00000169710"	"ENSG00000073756"	"m1"
"10"	"ENSG00000169710"	"ENSG00000095303"	"m1"
"23"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000167910"	"m1"
"28"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"m1"
"29"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000136881"	"m1"
"31"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000073756"	"m1"
"32"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000095303"	"m1"
"7672"	"ENSG00000198743"	"ENSG00000112759"	"m1014"
"7705"	"ENSG00000057252"	"ENSG00000063854"	"m1015"
"7706"	"ENSG00000057252"	"ENSG00000103253"	"m1015"
"7707"	"ENSG00000057252"	"ENSG00000099624 and ENSG00000110955 and ENSG00000116459 and ENSG00000124172 and ENSG00000135390 and ENSG00000152234 and ENSG00000154518 and ENSG00000154723 and ENSG00000156411 and ENSG00000159199 and ENSG00000165629 and ENSG00000167283 and ENSG00000167863 and ENSG00000169020 and ENSG00000173915 and ENSG00000198899 and ENSG00000228253 and ENSG00000241468 and ENSG00000241837"	"m1015"
"7708"	"ENSG00000057252"	"ENSG00000021461"	"m1015"
"7709"	"ENSG00000057252"	"ENSG00000100197"	"m1015"
"7710"	"ENSG00000057252"	"ENSG00000106258"	"m1015"
"7711"	"ENSG00000057252"	"ENSG00000108242"	"m1015"
"7712"	"ENSG00000057252"	"ENSG00000130649"	"m1015"
"7713"	"ENSG00000057252"	"ENSG00000134716"	"m1015"
"7714"	"ENSG00000057252"	"ENSG00000137869"	"m1015"
"7715"	"ENSG00000057252"	"ENSG00000138061"	"m1015"
"7716"	"ENSG00000057252"	"ENSG00000138109"	"m1015"
