"from"	"to"	"Metabolite"
"32"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000160282"	"m1010"
"33"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"m1011"
"34"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848"	"m1011"
"41"	"ENSG00000110090"	"ENSG00000006534"	"m1019"
"42"	"ENSG00000110090"	"ENSG00000108602"	"m1019"
"43"	"ENSG00000110090"	"ENSG00000132746"	"m1019"
"44"	"ENSG00000110090"	"ENSG00000184254"	"m1019"
"45"	"ENSG00000110090"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"m1019"
"46"	"ENSG00000110090"	"ENSG00000111962"	"m1019"
"47"	"ENSG00000110090"	"ENSG00000134538"	"m1019"
"48"	"ENSG00000110090"	"ENSG00000002726"	"m1019"
"49"	"ENSG00000110090"	"ENSG00000131471"	"m1019"
"50"	"ENSG00000110090"	"ENSG00000131480"	"m1019"
"51"	"ENSG00000110090"	"ENSG00000171298"	"m1019"
"52"	"ENSG00000110090"	"ENSG00000111817"	"m1019"
"55"	"ENSG00000110090"	"ENSG00000113273"	"m1019"
"56"	"ENSG00000110090"	"ENSG00000033100"	"m1019"
"57"	"ENSG00000110090"	"ENSG00000123989"	"m1019"
"58"	"ENSG00000110090"	"ENSG00000131873"	"m1019"
"59"	"ENSG00000110090"	"ENSG00000198108"	"m1019"
"60"	"ENSG00000110090"	"ENSG00000128951"	"m1019"
"61"	"ENSG00000110090"	"ENSG00000036565"	"m1019"
"62"	"ENSG00000110090"	"ENSG00000165646"	"m1019"
"65"	"ENSG00000140505"	"ENSG00000006534"	"m1019"
"66"	"ENSG00000140505"	"ENSG00000108602"	"m1019"
"67"	"ENSG00000140505"	"ENSG00000132746"	"m1019"
"68"	"ENSG00000140505"	"ENSG00000184254"	"m1019"
"69"	"ENSG00000140505"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"m1019"
"70"	"ENSG00000140505"	"ENSG00000111962"	"m1019"
"71"	"ENSG00000140505"	"ENSG00000134538"	"m1019"
"72"	"ENSG00000140505"	"ENSG00000002726"	"m1019"
"73"	"ENSG00000140505"	"ENSG00000131471"	"m1019"
"74"	"ENSG00000140505"	"ENSG00000131480"	"m1019"
"75"	"ENSG00000140505"	"ENSG00000171298"	"m1019"
"76"	"ENSG00000140505"	"ENSG00000111817"	"m1019"
"79"	"ENSG00000140505"	"ENSG00000113273"	"m1019"
"80"	"ENSG00000140505"	"ENSG00000033100"	"m1019"
"81"	"ENSG00000140505"	"ENSG00000123989"	"m1019"
"82"	"ENSG00000140505"	"ENSG00000131873"	"m1019"
"83"	"ENSG00000140505"	"ENSG00000198108"	"m1019"
"84"	"ENSG00000140505"	"ENSG00000128951"	"m1019"
"85"	"ENSG00000140505"	"ENSG00000036565"	"m1019"
"86"	"ENSG00000140505"	"ENSG00000165646"	"m1019"
"113"	"ENSG00000107798"	"ENSG00000006534"	"m1019"
"114"	"ENSG00000107798"	"ENSG00000108602"	"m1019"
"115"	"ENSG00000107798"	"ENSG00000132746"	"m1019"
"116"	"ENSG00000107798"	"ENSG00000184254"	"m1019"
"117"	"ENSG00000107798"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"m1019"
"118"	"ENSG00000107798"	"ENSG00000111962"	"m1019"
"119"	"ENSG00000107798"	"ENSG00000134538"	"m1019"
"120"	"ENSG00000107798"	"ENSG00000002726"	"m1019"
"121"	"ENSG00000107798"	"ENSG00000131471"	"m1019"
"122"	"ENSG00000107798"	"ENSG00000131480"	"m1019"
"123"	"ENSG00000107798"	"ENSG00000171298"	"m1019"
"124"	"ENSG00000107798"	"ENSG00000111817"	"m1019"
"127"	"ENSG00000107798"	"ENSG00000113273"	"m1019"
"128"	"ENSG00000107798"	"ENSG00000033100"	"m1019"
"129"	"ENSG00000107798"	"ENSG00000123989"	"m1019"
"130"	"ENSG00000107798"	"ENSG00000131873"	"m1019"
"131"	"ENSG00000107798"	"ENSG00000198108"	"m1019"
"132"	"ENSG00000107798"	"ENSG00000128951"	"m1019"
"133"	"ENSG00000107798"	"ENSG00000036565"	"m1019"
"134"	"ENSG00000107798"	"ENSG00000165646"	"m1019"
"135"	"ENSG00000134538"	"ENSG00000197375"	"m1020"
"136"	"ENSG00000134538"	"ENSG00000060971"	"m1020"
"137"	"ENSG00000134538"	"ENSG00000072506"	"m1020"
"138"	"ENSG00000134538"	"ENSG00000084754"	"m1020"
"139"	"ENSG00000134538"	"ENSG00000087008"	"m1020"
"140"	"ENSG00000134538"	"ENSG00000097021"	"m1020"
"141"	"ENSG00000134538"	"ENSG00000101473"	"m1020"
"142"	"ENSG00000134538"	"ENSG00000119673"	"m1020"
"143"	"ENSG00000134538"	"ENSG00000127884"	"m1020"
"144"	"ENSG00000134538"	"ENSG00000130304"	"m1020"
"145"	"ENSG00000134538"	"ENSG00000133835"	"m1020"
"146"	"ENSG00000134538"	"ENSG00000136881"	"m1020"
"147"	"ENSG00000134538"	"ENSG00000138029"	"m1020"
"148"	"ENSG00000134538"	"ENSG00000138796"	"m1020"
"149"	"ENSG00000134538"	"ENSG00000140284"	"m1020"
"150"	"ENSG00000134538"	"ENSG00000143554"	"m1020"
"151"	"ENSG00000134538"	"ENSG00000157426"	"m1020"
"152"	"ENSG00000134538"	"ENSG00000161533"	"m1020"
"153"	"ENSG00000134538"	"ENSG00000167107"	"m1020"
"154"	"ENSG00000134538"	"ENSG00000167114"	"m1020"
"155"	"ENSG00000134538"	"ENSG00000167315"	"m1020"
"156"	"ENSG00000134538"	"ENSG00000176715"	"m1020"
"157"	"ENSG00000134538"	"ENSG00000177465"	"m1020"
"158"	"ENSG00000134538"	"ENSG00000184227"	"m1020"
"159"	"ENSG00000134538"	"ENSG00000242110"	"m1020"
"160"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000169710"	"m1021"
"161"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000134538"	"m1021"
"162"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000023839"	"m1021"
"163"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000103222"	"m1021"
"164"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000108846"	"m1021"
"166"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000105398"	"m1021"
"167"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000169710"	"m1021"
"168"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000134538"	"m1021"
"169"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000023839"	"m1021"
"170"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000103222"	"m1021"
"171"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000108846"	"m1021"
"173"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000105398"	"m1021"
"174"	"ENSG00000100714"	"ENSG00000169710"	"m1021"
"175"	"ENSG00000100714"	"ENSG00000134538"	"m1021"
"176"	"ENSG00000100714"	"ENSG00000023839"	"m1021"
"177"	"ENSG00000100714"	"ENSG00000103222"	"m1021"
"178"	"ENSG00000100714"	"ENSG00000108846"	"m1021"
"180"	"ENSG00000100714"	"ENSG00000105398"	"m1021"
"188"	"ENSG00000138413"	"ENSG00000169710"	"m1021"
"189"	"ENSG00000138413"	"ENSG00000134538"	"m1021"
"190"	"ENSG00000138413"	"ENSG00000023839"	"m1021"
"191"	"ENSG00000138413"	"ENSG00000103222"	"m1021"
"192"	"ENSG00000138413"	"ENSG00000108846"	"m1021"
"194"	"ENSG00000138413"	"ENSG00000105398"	"m1021"
"195"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000169710"	"m1021"
"196"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000134538"	"m1021"
"197"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000023839"	"m1021"
"198"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000103222"	"m1021"
"199"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000108846"	"m1021"
"201"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000105398"	"m1021"
"216"	"ENSG00000113161"	"ENSG00000169710"	"m1021"
"217"	"ENSG00000113161"	"ENSG00000134538"	"m1021"
"218"	"ENSG00000113161"	"ENSG00000023839"	"m1021"
"219"	"ENSG00000113161"	"ENSG00000103222"	"m1021"
"220"	"ENSG00000113161"	"ENSG00000108846"	"m1021"
"222"	"ENSG00000113161"	"ENSG00000105398"	"m1021"
"223"	"ENSG00000072210"	"ENSG00000169710"	"m1021"
"224"	"ENSG00000072210"	"ENSG00000134538"	"m1021"
"225"	"ENSG00000072210"	"ENSG00000023839"	"m1021"
"226"	"ENSG00000072210"	"ENSG00000103222"	"m1021"
"227"	"ENSG00000072210"	"ENSG00000108846"	"m1021"
"229"	"ENSG00000072210"	"ENSG00000105398"	"m1021"
"230"	"ENSG00000161267"	"ENSG00000169710"	"m1021"
"231"	"ENSG00000161267"	"ENSG00000134538"	"m1021"
"232"	"ENSG00000161267"	"ENSG00000023839"	"m1021"
"233"	"ENSG00000161267"	"ENSG00000103222"	"m1021"
"234"	"ENSG00000161267"	"ENSG00000108846"	"m1021"
"236"	"ENSG00000161267"	"ENSG00000105398"	"m1021"
"251"	"ENSG00000178700"	"ENSG00000169710"	"m1021"
"252"	"ENSG00000178700"	"ENSG00000134538"	"m1021"
"253"	"ENSG00000178700"	"ENSG00000023839"	"m1021"
"254"	"ENSG00000178700"	"ENSG00000103222"	"m1021"
"255"	"ENSG00000178700"	"ENSG00000108846"	"m1021"
"257"	"ENSG00000178700"	"ENSG00000105398"	"m1021"
"265"	"ENSG00000059573"	"ENSG00000169710"	"m1021"
"266"	"ENSG00000059573"	"ENSG00000134538"	"m1021"
"267"	"ENSG00000059573"	"ENSG00000023839"	"m1021"
"268"	"ENSG00000059573"	"ENSG00000103222"	"m1021"
"269"	"ENSG00000059573"	"ENSG00000108846"	"m1021"
"271"	"ENSG00000059573"	"ENSG00000105398"	"m1021"
"279"	"ENSG00000117054"	"ENSG00000169710"	"m1022"
"303"	"ENSG00000147119"	"ENSG00000169710"	"m1022"
"311"	"ENSG00000153574"	"ENSG00000169710"	"m1022"
"319"	"ENSG00000111058"	"ENSG00000169710"	"m1022"
"327"	"ENSG00000176974"	"ENSG00000169710"	"m1022"
"343"	"ENSG00000104522"	"ENSG00000169710"	"m1022"
"351"	"ENSG00000110195"	"ENSG00000169710"	"m1022"
"367"	"ENSG00000162551"	"ENSG00000169710"	"m1022"
"375"	"ENSG00000100116"	"ENSG00000169710"	"m1022"
"391"	"ENSG00000157353"	"ENSG00000169710"	"m1022"
"399"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000169710"	"m1022"
"423"	"ENSG00000117308"	"ENSG00000169710"	"m1022"
"439"	"ENSG00000107798"	"ENSG00000169710"	"m1022"
"447"	"ENSG00000106633"	"ENSG00000169710"	"m1022"
"455"	"ENSG00000162066"	"ENSG00000169710"	"m1022"
"471"	"ENSG00000196177"	"ENSG00000169710"	"m1022"
"514"	"ENSG00000107798"	"ENSG00000107798"	"m1037"
"515"	"ENSG00000107798"	"ENSG00000170835"	"m1037"
"528"	"ENSG00000006534"	"ENSG00000116199"	"m1042"
"529"	"ENSG00000006534"	"ENSG00000141560"	"m1042"
"530"	"ENSG00000006534"	"ENSG00000162408"	"m1042"
"531"	"ENSG00000006534"	"ENSG00000167363"	"m1042"
"532"	"ENSG00000006534"	"ENSG00000172456"	"m1042"
"533"	"ENSG00000006534"	"ENSG00000130717"	"m1042"
"534"	"ENSG00000006534"	"ENSG00000143179"	"m1042"
"535"	"ENSG00000006534"	"ENSG00000198276"	"m1042"
"536"	"ENSG00000006534"	"ENSG00000131069"	"m1042"
"538"	"ENSG00000006534"	"ENSG00000139531"	"m1042"
"539"	"ENSG00000006534"	"ENSG00000134538"	"m1042"
"540"	"ENSG00000006534"	"ENSG00000146701"	"m1042"
"541"	"ENSG00000006534"	"ENSG00000068366"	"m1042"
"542"	"ENSG00000006534"	"ENSG00000103740"	"m1042"
"543"	"ENSG00000006534"	"ENSG00000123983"	"m1042"
"544"	"ENSG00000006534"	"ENSG00000130377"	"m1042"
"545"	"ENSG00000006534"	"ENSG00000140284"	"m1042"
"546"	"ENSG00000006534"	"ENSG00000151726"	"m1042"
"547"	"ENSG00000006534"	"ENSG00000164398"	"m1042"
"548"	"ENSG00000006534"	"ENSG00000197142"	"m1042"
"549"	"ENSG00000006534"	"ENSG00000239642"	"m1042"
"550"	"ENSG00000006534"	"ENSG00000086159"	"m1042"
"551"	"ENSG00000006534"	"ENSG00000100170"	"m1042"
"552"	"ENSG00000006534"	"ENSG00000103375"	"m1042"
"553"	"ENSG00000006534"	"ENSG00000143595"	"m1042"
"554"	"ENSG00000006534"	"ENSG00000161798"	"m1042"
"555"	"ENSG00000006534"	"ENSG00000165269"	"m1042"
"556"	"ENSG00000006534"	"ENSG00000165272"	"m1042"
"557"	"ENSG00000006534"	"ENSG00000167580"	"m1042"
"558"	"ENSG00000006534"	"ENSG00000171885"	"m1042"
"559"	"ENSG00000006534"	"ENSG00000240583"	"m1042"
"560"	"ENSG00000006534"	"ENSG00000259916"	"m1042"
"561"	"ENSG00000006534"	"ENSG00000172497"	"m1042"
"563"	"ENSG00000086159"	"ENSG00000138801"	"m1043"
"564"	"ENSG00000086159"	"ENSG00000198682"	"m1043"
"567"	"ENSG00000086159"	"ENSG00000068366"	"m1043"
"568"	"ENSG00000086159"	"ENSG00000103740"	"m1043"
"569"	"ENSG00000086159"	"ENSG00000123983"	"m1043"
"570"	"ENSG00000086159"	"ENSG00000130377"	"m1043"
"571"	"ENSG00000086159"	"ENSG00000140284"	"m1043"
"572"	"ENSG00000086159"	"ENSG00000151726"	"m1043"
"573"	"ENSG00000086159"	"ENSG00000164398"	"m1043"
"574"	"ENSG00000086159"	"ENSG00000197142"	"m1043"
"575"	"ENSG00000086159"	"ENSG00000239642"	"m1043"
"578"	"ENSG00000086159"	"ENSG00000054179"	"m1043"
"579"	"ENSG00000086159"	"ENSG00000138185"	"m1043"
"580"	"ENSG00000086159"	"ENSG00000168032"	"m1043"
"581"	"ENSG00000086159"	"ENSG00000171302"	"m1043"
"582"	"ENSG00000086159"	"ENSG00000187097"	"m1043"
"583"	"ENSG00000086159"	"ENSG00000188833"	"m1043"
"584"	"ENSG00000086159"	"ENSG00000197217"	"m1043"
"585"	"ENSG00000086159"	"ENSG00000197586"	"m1043"
"589"	"ENSG00000086159"	"ENSG00000116157"	"m1043"
"590"	"ENSG00000086159"	"ENSG00000117450"	"m1043"
"591"	"ENSG00000086159"	"ENSG00000117592"	"m1043"
"592"	"ENSG00000086159"	"ENSG00000126432"	"m1043"
