"from"	"to"	"Metabolite"
"12"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000073756"	"m1"
"13"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000095303"	"m1"
"14"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000167910"	"m1"
"21"	"ENSG00000169710"	"ENSG00000073756"	"m1"
"22"	"ENSG00000169710"	"ENSG00000095303"	"m1"
"23"	"ENSG00000169710"	"ENSG00000167910"	"m1"
"30"	"ENSG00000136881"	"ENSG00000073756"	"m1"
"31"	"ENSG00000136881"	"ENSG00000095303"	"m1"
"32"	"ENSG00000136881"	"ENSG00000167910"	"m1"
"54"	"ENSG00000025423"	"ENSG00000104331"	"m100"
"55"	"ENSG00000025423"	"ENSG00000133731"	"m100"
"56"	"ENSG00000025423"	"ENSG00000141401"	"m100"
"57"	"ENSG00000025423"	"ENSG00000008513"	"m100"
"58"	"ENSG00000025423"	"ENSG00000110080"	"m100"
"59"	"ENSG00000025423"	"ENSG00000157350"	"m100"
"60"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"m1000"
"61"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848"	"m1000"
"92"	"ENSG00000107798"	"ENSG00000113273"	"m1008"
"93"	"ENSG00000107798"	"ENSG00000006534"	"m1008"
"94"	"ENSG00000107798"	"ENSG00000108602"	"m1008"
"95"	"ENSG00000107798"	"ENSG00000132746"	"m1008"
"96"	"ENSG00000107798"	"ENSG00000184254"	"m1008"
"97"	"ENSG00000107798"	"ENSG00000134538"	"m1008"
"98"	"ENSG00000107798"	"ENSG00000111817"	"m1008"
"99"	"ENSG00000107798"	"ENSG00000111962"	"m1008"
"100"	"ENSG00000107798"	"ENSG00000104808"	"m1008"
"101"	"ENSG00000107798"	"ENSG00000151632"	"m1008"
"102"	"ENSG00000107798"	"ENSG00000187134"	"m1008"
"103"	"ENSG00000107798"	"ENSG00000196139"	"m1008"
"104"	"ENSG00000107798"	"ENSG00000198610"	"m1008"
"105"	"ENSG00000107798"	"ENSG00000002726"	"m1008"
"106"	"ENSG00000107798"	"ENSG00000131471"	"m1008"
"107"	"ENSG00000107798"	"ENSG00000131480"	"m1008"
"108"	"ENSG00000107798"	"ENSG00000033100"	"m1008"
"109"	"ENSG00000107798"	"ENSG00000123989"	"m1008"
"110"	"ENSG00000107798"	"ENSG00000131873"	"m1008"
"111"	"ENSG00000107798"	"ENSG00000198108"	"m1008"
"112"	"ENSG00000107798"	"ENSG00000036565"	"m1008"
"113"	"ENSG00000107798"	"ENSG00000165646"	"m1008"
"114"	"ENSG00000107798"	"ENSG00000128951"	"m1008"
"116"	"ENSG00000107798"	"ENSG00000171298"	"m1008"
"118"	"ENSG00000110090"	"ENSG00000113273"	"m1008"
"119"	"ENSG00000110090"	"ENSG00000006534"	"m1008"
"120"	"ENSG00000110090"	"ENSG00000108602"	"m1008"
"121"	"ENSG00000110090"	"ENSG00000132746"	"m1008"
"122"	"ENSG00000110090"	"ENSG00000184254"	"m1008"
"123"	"ENSG00000110090"	"ENSG00000134538"	"m1008"
"124"	"ENSG00000110090"	"ENSG00000111817"	"m1008"
"125"	"ENSG00000110090"	"ENSG00000111962"	"m1008"
"126"	"ENSG00000110090"	"ENSG00000104808"	"m1008"
"127"	"ENSG00000110090"	"ENSG00000151632"	"m1008"
"128"	"ENSG00000110090"	"ENSG00000187134"	"m1008"
"129"	"ENSG00000110090"	"ENSG00000196139"	"m1008"
"130"	"ENSG00000110090"	"ENSG00000198610"	"m1008"
"131"	"ENSG00000110090"	"ENSG00000002726"	"m1008"
"132"	"ENSG00000110090"	"ENSG00000131471"	"m1008"
"133"	"ENSG00000110090"	"ENSG00000131480"	"m1008"
"134"	"ENSG00000110090"	"ENSG00000033100"	"m1008"
"135"	"ENSG00000110090"	"ENSG00000123989"	"m1008"
"136"	"ENSG00000110090"	"ENSG00000131873"	"m1008"
"137"	"ENSG00000110090"	"ENSG00000198108"	"m1008"
"138"	"ENSG00000110090"	"ENSG00000036565"	"m1008"
"139"	"ENSG00000110090"	"ENSG00000165646"	"m1008"
"140"	"ENSG00000110090"	"ENSG00000128951"	"m1008"
"142"	"ENSG00000110090"	"ENSG00000171298"	"m1008"
"144"	"ENSG00000134538"	"ENSG00000197375"	"m1009"
"146"	"ENSG00000113161"	"ENSG00000023839"	"m1010"
"147"	"ENSG00000113161"	"ENSG00000103222"	"m1010"
"148"	"ENSG00000113161"	"ENSG00000108846"	"m1010"
"149"	"ENSG00000113161"	"ENSG00000169710"	"m1010"
"150"	"ENSG00000113161"	"ENSG00000105398"	"m1010"
"151"	"ENSG00000113161"	"ENSG00000134538"	"m1010"
"153"	"ENSG00000178700"	"ENSG00000023839"	"m1010"
"154"	"ENSG00000178700"	"ENSG00000103222"	"m1010"
"155"	"ENSG00000178700"	"ENSG00000108846"	"m1010"
"156"	"ENSG00000178700"	"ENSG00000169710"	"m1010"
"157"	"ENSG00000178700"	"ENSG00000105398"	"m1010"
"158"	"ENSG00000178700"	"ENSG00000134538"	"m1010"
"160"	"ENSG00000100714"	"ENSG00000023839"	"m1010"
"161"	"ENSG00000100714"	"ENSG00000103222"	"m1010"
"162"	"ENSG00000100714"	"ENSG00000108846"	"m1010"
"163"	"ENSG00000100714"	"ENSG00000169710"	"m1010"
"164"	"ENSG00000100714"	"ENSG00000105398"	"m1010"
"165"	"ENSG00000100714"	"ENSG00000134538"	"m1010"
"181"	"ENSG00000072210"	"ENSG00000023839"	"m1010"
"182"	"ENSG00000072210"	"ENSG00000103222"	"m1010"
"183"	"ENSG00000072210"	"ENSG00000108846"	"m1010"
"184"	"ENSG00000072210"	"ENSG00000169710"	"m1010"
"185"	"ENSG00000072210"	"ENSG00000105398"	"m1010"
"186"	"ENSG00000072210"	"ENSG00000134538"	"m1010"
"195"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000023839"	"m1010"
"196"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000103222"	"m1010"
"197"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000108846"	"m1010"
"198"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000169710"	"m1010"
"199"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000105398"	"m1010"
"200"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000134538"	"m1010"
"202"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000023839"	"m1010"
"203"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000103222"	"m1010"
"204"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000108846"	"m1010"
