"from"	"to"	"Metabolite"
"15"	"ENSG00000169710"	"ENSG00000167910"	"m1"
"19"	"ENSG00000169710"	"ENSG00000073756"	"m1"
"20"	"ENSG00000169710"	"ENSG00000095303"	"m1"
"21"	"ENSG00000169710"	"ENSG00000136881"	"m1"
"27"	"ENSG00000107798"	"ENSG00000111962"	"m1006"
"29"	"ENSG00000107798"	"ENSG00000033100"	"m1006"
"30"	"ENSG00000107798"	"ENSG00000123989"	"m1006"
"31"	"ENSG00000107798"	"ENSG00000131873"	"m1006"
"32"	"ENSG00000107798"	"ENSG00000198108"	"m1006"
"34"	"ENSG00000107798"	"ENSG00000111817"	"m1006"
"36"	"ENSG00000107798"	"ENSG00000171298"	"m1006"
"37"	"ENSG00000107798"	"ENSG00000128951"	"m1006"
"39"	"ENSG00000107798"	"ENSG00000113273"	"m1006"
"40"	"ENSG00000107798"	"ENSG00000002726"	"m1006"
"41"	"ENSG00000107798"	"ENSG00000131471"	"m1006"
"42"	"ENSG00000107798"	"ENSG00000131480"	"m1006"
"43"	"ENSG00000107798"	"ENSG00000036565"	"m1006"
"44"	"ENSG00000107798"	"ENSG00000165646"	"m1006"
"45"	"ENSG00000107798"	"ENSG00000134538"	"m1006"
"46"	"ENSG00000107798"	"ENSG00000006534"	"m1006"
"47"	"ENSG00000107798"	"ENSG00000108602"	"m1006"
"48"	"ENSG00000107798"	"ENSG00000132746"	"m1006"
"49"	"ENSG00000107798"	"ENSG00000184254"	"m1006"
"50"	"ENSG00000107798"	"ENSG00000104808"	"m1006"
"51"	"ENSG00000107798"	"ENSG00000151632"	"m1006"
"52"	"ENSG00000107798"	"ENSG00000187134"	"m1006"
"53"	"ENSG00000107798"	"ENSG00000196139"	"m1006"
"54"	"ENSG00000107798"	"ENSG00000198610"	"m1006"
"83"	"ENSG00000140505"	"ENSG00000111962"	"m1006"
"85"	"ENSG00000140505"	"ENSG00000033100"	"m1006"
"86"	"ENSG00000140505"	"ENSG00000123989"	"m1006"
