"from"	"to"	"Metabolite"
"3"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000167910"	"m1"
"6"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000136881"	"m1"
"17"	"ENSG00000169710"	"ENSG00000167910"	"m1"
"20"	"ENSG00000169710"	"ENSG00000136881"	"m1"
"30"	"ENSG00000025423"	"ENSG00000104331"	"m100"
"31"	"ENSG00000025423"	"ENSG00000133731"	"m100"
"32"	"ENSG00000025423"	"ENSG00000141401"	"m100"
"33"	"ENSG00000025423"	"ENSG00000008513"	"m100"
"34"	"ENSG00000025423"	"ENSG00000110080"	"m100"
"35"	"ENSG00000025423"	"ENSG00000157350"	"m100"
"37"	"ENSG00000021488 and ENSG00000103064 and ENSG00000138079"	"ENSG00000104331"	"m100"
"38"	"ENSG00000021488 and ENSG00000103064 and ENSG00000138079"	"ENSG00000133731"	"m100"
"39"	"ENSG00000021488 and ENSG00000103064 and ENSG00000138079"	"ENSG00000141401"	"m100"
"40"	"ENSG00000021488 and ENSG00000103064 and ENSG00000138079"	"ENSG00000008513"	"m100"
"41"	"ENSG00000021488 and ENSG00000103064 and ENSG00000138079"	"ENSG00000110080"	"m100"
"42"	"ENSG00000021488 and ENSG00000103064 and ENSG00000138079"	"ENSG00000157350"	"m100"
"5579"	"ENSG00000198743"	"ENSG00000112759"	"m1014"
"5627"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000160282"	"m1027"
"5628"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"m1028"
"5629"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848"	"m1028"
"5634"	"ENSG00000110090"	"ENSG00000128951"	"m1036"
"5636"	"ENSG00000110090"	"ENSG00000171298"	"m1036"
"5637"	"ENSG00000110090"	"ENSG00000113273"	"m1036"
"5638"	"ENSG00000110090"	"ENSG00000134538"	"m1036"
"5639"	"ENSG00000110090"	"ENSG00000111817"	"m1036"
"5640"	"ENSG00000110090"	"ENSG00000111962"	"m1036"
"5641"	"ENSG00000110090"	"ENSG00000006534"	"m1036"
"5642"	"ENSG00000110090"	"ENSG00000108602"	"m1036"
"5643"	"ENSG00000110090"	"ENSG00000132746"	"m1036"
"5644"	"ENSG00000110090"	"ENSG00000184254"	"m1036"
"5645"	"ENSG00000110090"	"ENSG00000104808"	"m1036"
"5646"	"ENSG00000110090"	"ENSG00000151632"	"m1036"
"5647"	"ENSG00000110090"	"ENSG00000187134"	"m1036"
"5648"	"ENSG00000110090"	"ENSG00000196139"	"m1036"
"5649"	"ENSG00000110090"	"ENSG00000198610"	"m1036"
"5650"	"ENSG00000110090"	"ENSG00000033100"	"m1036"
"5651"	"ENSG00000110090"	"ENSG00000123989"	"m1036"
"5652"	"ENSG00000110090"	"ENSG00000131873"	"m1036"
"5653"	"ENSG00000110090"	"ENSG00000198108"	"m1036"
"5656"	"ENSG00000110090"	"ENSG00000002726"	"m1036"
"5657"	"ENSG00000110090"	"ENSG00000131471"	"m1036"
