"from"	"to"	"Metabolite"
"1"	"ENSG00000169710"	"ENSG00000167910"	"m1"
"2"	"ENSG00000169710"	"ENSG00000136881"	"m1"
"7"	"ENSG00000169710"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"m1"
"22"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000160282"	"m1002"
"23"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"m1003"
"24"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848"	"m1003"
"29"	"ENSG00000107798"	"ENSG00000171298"	"m1008"
"30"	"ENSG00000107798"	"ENSG00000111962"	"m1008"
"31"	"ENSG00000107798"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"m1008"
"33"	"ENSG00000107798"	"ENSG00000104808"	"m1008"
"34"	"ENSG00000107798"	"ENSG00000151632"	"m1008"
"35"	"ENSG00000107798"	"ENSG00000187134"	"m1008"
"36"	"ENSG00000107798"	"ENSG00000196139"	"m1008"
"37"	"ENSG00000107798"	"ENSG00000198610"	"m1008"
"38"	"ENSG00000107798"	"ENSG00000134538"	"m1008"
"40"	"ENSG00000107798"	"ENSG00000033100"	"m1008"
"41"	"ENSG00000107798"	"ENSG00000123989"	"m1008"
"42"	"ENSG00000107798"	"ENSG00000131873"	"m1008"
"43"	"ENSG00000107798"	"ENSG00000198108"	"m1008"
"44"	"ENSG00000107798"	"ENSG00000128951"	"m1008"
"45"	"ENSG00000107798"	"ENSG00000111817"	"m1008"
"47"	"ENSG00000107798"	"ENSG00000006534"	"m1008"
"48"	"ENSG00000107798"	"ENSG00000108602"	"m1008"
"49"	"ENSG00000107798"	"ENSG00000132746"	"m1008"
"50"	"ENSG00000107798"	"ENSG00000184254"	"m1008"
"51"	"ENSG00000107798"	"ENSG00000036565"	"m1008"
"52"	"ENSG00000107798"	"ENSG00000165646"	"m1008"
"53"	"ENSG00000107798"	"ENSG00000113273"	"m1008"
"54"	"ENSG00000107798"	"ENSG00000002726"	"m1008"
"55"	"ENSG00000107798"	"ENSG00000131471"	"m1008"
"56"	"ENSG00000107798"	"ENSG00000131480"	"m1008"
"58"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000171298"	"m1008"
"59"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000111962"	"m1008"
"60"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"m1008"
"62"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000104808"	"m1008"
"63"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000151632"	"m1008"
"64"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000187134"	"m1008"
"65"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000196139"	"m1008"
"66"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000198610"	"m1008"
"67"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000134538"	"m1008"
"69"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000033100"	"m1008"
"70"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000123989"	"m1008"
"71"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000131873"	"m1008"
"72"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000198108"	"m1008"
