"from"	"to"	"Metabolite"
"1"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000136881"	"m1"
"3"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000167910"	"m1"
"7"	"ENSG00000169710"	"ENSG00000136881"	"m1"
"9"	"ENSG00000169710"	"ENSG00000167910"	"m1"
"5285"	"ENSG00000198743"	"ENSG00000112759"	"m1013"
"5331"	"ENSG00000103257"	"ENSG00000060971"	"m1023"
"5332"	"ENSG00000103257"	"ENSG00000072506"	"m1023"
"5333"	"ENSG00000103257"	"ENSG00000072778"	"m1023"
"5334"	"ENSG00000103257"	"ENSG00000084754"	"m1023"
"5335"	"ENSG00000103257"	"ENSG00000115361"	"m1023"
"5336"	"ENSG00000103257"	"ENSG00000117054"	"m1023"
"5337"	"ENSG00000103257"	"ENSG00000127884"	"m1023"
"5338"	"ENSG00000103257"	"ENSG00000138029"	"m1023"
"5339"	"ENSG00000103257"	"ENSG00000138796"	"m1023"
"5340"	"ENSG00000103257"	"ENSG00000167315"	"m1023"
"5341"	"ENSG00000103257"	"ENSG00000177646"	"m1023"
"5342"	"ENSG00000060971"	"ENSG00000103257"	"m1024"
"5343"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000160282"	"m1025"
"5344"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"m1026"
"5345"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848"	"m1026"
"5350"	"ENSG00000006534"	"ENSG00000033100"	"m1031"
"5351"	"ENSG00000006534"	"ENSG00000123989"	"m1031"
"5352"	"ENSG00000006534"	"ENSG00000131873"	"m1031"
"5353"	"ENSG00000006534"	"ENSG00000198108"	"m1031"
"5354"	"ENSG00000006534"	"ENSG00000171298"	"m1031"
"5355"	"ENSG00000006534"	"ENSG00000006534"	"m1031"
"5356"	"ENSG00000006534"	"ENSG00000108602"	"m1031"
"5357"	"ENSG00000006534"	"ENSG00000132746"	"m1031"
"5358"	"ENSG00000006534"	"ENSG00000184254"	"m1031"
"5359"	"ENSG00000006534"	"ENSG00000002726"	"m1031"
"5360"	"ENSG00000006534"	"ENSG00000131471"	"m1031"
"5361"	"ENSG00000006534"	"ENSG00000131480"	"m1031"
"5362"	"ENSG00000006534"	"ENSG00000111962"	"m1031"
"5363"	"ENSG00000006534"	"ENSG00000128951"	"m1031"
"5365"	"ENSG00000006534"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"m1031"
"5367"	"ENSG00000006534"	"ENSG00000104808"	"m1031"
"5368"	"ENSG00000006534"	"ENSG00000151632"	"m1031"
"5369"	"ENSG00000006534"	"ENSG00000187134"	"m1031"
"5370"	"ENSG00000006534"	"ENSG00000196139"	"m1031"
"5371"	"ENSG00000006534"	"ENSG00000198610"	"m1031"
"5372"	"ENSG00000107798"	"ENSG00000033100"	"m1031"
