"from"	"to"	"Metabolite"
"1"	"ENSG00000169710"	"ENSG00000136881"	"m1"
"7"	"ENSG00000169710"	"ENSG00000167910"	"m1"
"8"	"ENSG00000169710"	"ENSG00000073756"	"m1"
"9"	"ENSG00000169710"	"ENSG00000095303"	"m1"
"11"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000087076"	"m1000"
"12"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000099377"	"m1000"
"13"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000100867"	"m1000"
"14"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000109854"	"m1000"
"15"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000121039"	"m1000"
"16"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000138400"	"m1000"
"17"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000139988"	"m1000"
"18"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000145439"	"m1000"
"19"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000159692"	"m1000"
"20"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000160439"	"m1000"
"21"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000164039"	"m1000"
"22"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000167733"	"m1000"
"23"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000170426"	"m1000"
"24"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000170786"	"m1000"
"25"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000176387"	"m1000"
"26"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000183921"	"m1000"
"27"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000184860"	"m1000"
"28"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000186153"	"m1000"
"29"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000187134"	"m1000"
"30"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000197894"	"m1000"
"31"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000198074"	"m1000"
"32"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000198189"	"m1000"
"33"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000198610"	"m1000"
"34"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000204228"	"m1000"
"35"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000227471"	"m1000"
"36"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000240857"	"m1000"
"37"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000134538"	"m1000"
"38"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000057252"	"m1000"
"39"	"ENSG00000130876 and ENSG00000168003"	"ENSG00000167780"	"m1000"
"40"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000087076"	"m1000"
"41"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000099377"	"m1000"
"42"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000100867"	"m1000"
"43"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000109854"	"m1000"
"44"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000121039"	"m1000"
"45"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000138400"	"m1000"
"46"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000139988"	"m1000"
"47"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000145439"	"m1000"
"48"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000159692"	"m1000"
"49"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000160439"	"m1000"
"50"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000164039"	"m1000"
"51"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000167733"	"m1000"
"52"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000170426"	"m1000"
"53"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000170786"	"m1000"
"54"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000176387"	"m1000"
"55"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000183921"	"m1000"
"56"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000184860"	"m1000"
"57"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000186153"	"m1000"
"58"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000187134"	"m1000"
"59"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000197894"	"m1000"
"60"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000198074"	"m1000"
"61"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000198189"	"m1000"
"62"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000198610"	"m1000"
"63"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000204228"	"m1000"
"64"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000227471"	"m1000"
"65"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000240857"	"m1000"
"66"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000134538"	"m1000"
"67"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000057252"	"m1000"
"68"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000167780"	"m1000"
"80"	"ENSG00000107798"	"ENSG00000057252"	"m1001"
"81"	"ENSG00000107798"	"ENSG00000167780"	"m1001"
"84"	"ENSG00000107798"	"ENSG00000025423"	"m1001"
"85"	"ENSG00000107798"	"ENSG00000086696"	"m1001"
"86"	"ENSG00000107798"	"ENSG00000108786"	"m1001"
"87"	"ENSG00000107798"	"ENSG00000132196"	"m1001"
"88"	"ENSG00000107798"	"ENSG00000149084"	"m1001"
"89"	"ENSG00000107798"	"ENSG00000198189"	"m1001"
"90"	"ENSG00000107798"	"ENSG00000204228"	"m1001"
"102"	"ENSG00000117143"	"ENSG00000057252"	"m1001"
"103"	"ENSG00000117143"	"ENSG00000167780"	"m1001"
"106"	"ENSG00000117143"	"ENSG00000025423"	"m1001"
"107"	"ENSG00000117143"	"ENSG00000086696"	"m1001"
"108"	"ENSG00000117143"	"ENSG00000108786"	"m1001"
"109"	"ENSG00000117143"	"ENSG00000132196"	"m1001"
"110"	"ENSG00000117143"	"ENSG00000149084"	"m1001"
"111"	"ENSG00000117143"	"ENSG00000198189"	"m1001"
"112"	"ENSG00000117143"	"ENSG00000204228"	"m1001"
"113"	"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000057252"	"m1001"
"114"	"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000167780"	"m1001"
"117"	"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000025423"	"m1001"
"118"	"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000086696"	"m1001"
"119"	"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000108786"	"m1001"
"120"	"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000132196"	"m1001"
"121"	"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000149084"	"m1001"
"122"	"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000198189"	"m1001"
"123"	"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000204228"	"m1001"
"127"	"ENSG00000060971 and ENSG00000167306"	"ENSG00000003989"	"m1010"
"128"	"ENSG00000060971 and ENSG00000167306"	"ENSG00000139209"	"m1010"
"129"	"ENSG00000060971 and ENSG00000167306"	"ENSG00000139514"	"m1010"
"130"	"ENSG00000060971 and ENSG00000167306"	"ENSG00000165349"	"m1010"
"132"	"ENSG00000021488 and ENSG00000103064 and ENSG00000138079"	"ENSG00000003989"	"m1010"
"133"	"ENSG00000021488 and ENSG00000103064 and ENSG00000138079"	"ENSG00000139209"	"m1010"
"134"	"ENSG00000021488 and ENSG00000103064 and ENSG00000138079"	"ENSG00000139514"	"m1010"
"135"	"ENSG00000021488 and ENSG00000103064 and ENSG00000138079"	"ENSG00000165349"	"m1010"
"137"	"ENSG00000003989"	"ENSG00000090402"	"m1011"
"145"	"ENSG00000137204"	"ENSG00000145217"	"m1023"
"146"	"ENSG00000137204"	"ENSG00000155850"	"m1023"
"156"	"ENSG00000097021"	"ENSG00000087008"	"m1027"
"157"	"ENSG00000097021"	"ENSG00000161533"	"m1027"
"158"	"ENSG00000143815"	"ENSG00000087008"	"m1027"
"159"	"ENSG00000143815"	"ENSG00000161533"	"m1027"
"164"	"ENSG00000001630"	"ENSG00000087008"	"m1027"
"165"	"ENSG00000001630"	"ENSG00000161533"	"m1027"
"166"	"ENSG00000073756"	"ENSG00000087008"	"m1027"
"167"	"ENSG00000073756"	"ENSG00000161533"	"m1027"
"168"	"ENSG00000073756"	"ENSG00000161653"	"m1028"
"169"	"ENSG00000073756"	"ENSG00000203857"	"m1028"
"170"	"ENSG00000073756"	"ENSG00000203859"	"m1028"
"211"	"ENSG00000083807"	"ENSG00000155380"	"m1036"
"213"	"ENSG00000117308"	"ENSG00000073756"	"m1043"
"214"	"ENSG00000117308"	"ENSG00000095303"	"m1043"
"215"	"ENSG00000117308"	"ENSG00000107798"	"m1043"
"216"	"ENSG00000117308"	"ENSG00000170835"	"m1043"
"217"	"ENSG00000117308"	"ENSG00000160200"	"m1043"
"227"	"ENSG00000231852"	"ENSG00000136877"	"m1048"
"228"	"ENSG00000231852"	"ENSG00000137563"	"m1048"
"229"	"ENSG00000231852"	"ENSG00000140459"	"m1048"
"230"	"ENSG00000231852"	"ENSG00000135226"	"m1048"
"231"	"ENSG00000231852"	"ENSG00000171234"	"m1048"
"232"	"ENSG00000231852"	"ENSG00000197888"	"m1048"
"233"	"ENSG00000231852"	"ENSG00000241635"	"m1048"
"234"	"ENSG00000231852"	"ENSG00000242366"	"m1048"
"235"	"ENSG00000231852"	"ENSG00000242515"	"m1048"
"236"	"ENSG00000231852"	"ENSG00000176387"	"m1048"
"237"	"ENSG00000231852"	"ENSG00000103222"	"m1048"
"260"	"ENSG00000137563"	"ENSG00000136877"	"m1048"
"261"	"ENSG00000137563"	"ENSG00000137563"	"m1048"
"262"	"ENSG00000137563"	"ENSG00000140459"	"m1048"
"263"	"ENSG00000137563"	"ENSG00000135226"	"m1048"
"264"	"ENSG00000137563"	"ENSG00000171234"	"m1048"
"265"	"ENSG00000137563"	"ENSG00000197888"	"m1048"
"266"	"ENSG00000137563"	"ENSG00000241635"	"m1048"
"267"	"ENSG00000137563"	"ENSG00000242366"	"m1048"
"268"	"ENSG00000137563"	"ENSG00000242515"	"m1048"
"269"	"ENSG00000137563"	"ENSG00000176387"	"m1048"
"270"	"ENSG00000137563"	"ENSG00000103222"	"m1048"
"271"	"ENSG00000203857"	"ENSG00000136877"	"m1048"
"272"	"ENSG00000203857"	"ENSG00000137563"	"m1048"
"273"	"ENSG00000203857"	"ENSG00000140459"	"m1048"
"274"	"ENSG00000203857"	"ENSG00000135226"	"m1048"
"275"	"ENSG00000203857"	"ENSG00000171234"	"m1048"
"276"	"ENSG00000203857"	"ENSG00000197888"	"m1048"
"277"	"ENSG00000203857"	"ENSG00000241635"	"m1048"
"278"	"ENSG00000203857"	"ENSG00000242366"	"m1048"
"279"	"ENSG00000203857"	"ENSG00000242515"	"m1048"
"280"	"ENSG00000203857"	"ENSG00000176387"	"m1048"
"281"	"ENSG00000203857"	"ENSG00000103222"	"m1048"
"296"	"ENSG00000021488"	"ENSG00000169710"	"m1050"
"301"	"ENSG00000057252"	"ENSG00000021488"	"m1055"
"302"	"ENSG00000057252"	"ENSG00000084453"	"m1055"
"303"	"ENSG00000057252"	"ENSG00000111700"	"m1055"
"304"	"ENSG00000057252"	"ENSG00000057252"	"m1055"
"305"	"ENSG00000057252"	"ENSG00000167780"	"m1055"
"306"	"ENSG00000169710"	"ENSG00000021488"	"m1055"
"307"	"ENSG00000169710"	"ENSG00000084453"	"m1055"
"308"	"ENSG00000169710"	"ENSG00000111700"	"m1055"
"309"	"ENSG00000169710"	"ENSG00000057252"	"m1055"
"310"	"ENSG00000169710"	"ENSG00000167780"	"m1055"
"313"	"ENSG00000057252"	"ENSG00000107798"	"m1056"
"314"	"ENSG00000057252"	"ENSG00000170835"	"m1056"
"315"	"ENSG00000021488"	"ENSG00000057252"	"m1056"
"316"	"ENSG00000021488"	"ENSG00000167780"	"m1056"
"317"	"ENSG00000021488"	"ENSG00000107798"	"m1056"
"318"	"ENSG00000021488"	"ENSG00000170835"	"m1056"
"319"	"ENSG00000007350"	"ENSG00000107798"	"m1058"
"320"	"ENSG00000007350"	"ENSG00000170835"	"m1058"
"321"	"ENSG00000007350"	"ENSG00000103064"	"m1058"
"322"	"ENSG00000007350"	"ENSG00000103257"	"m1058"
"323"	"ENSG00000103064"	"ENSG00000107798"	"m1059"
"324"	"ENSG00000103064"	"ENSG00000170835"	"m1059"
"325"	"ENSG00000140459"	"ENSG00000060971"	"m1060"
"326"	"ENSG00000140459"	"ENSG00000072506"	"m1060"
"327"	"ENSG00000140459"	"ENSG00000072778"	"m1060"
"328"	"ENSG00000140459"	"ENSG00000084754"	"m1060"
"329"	"ENSG00000140459"	"ENSG00000115361"	"m1060"
"330"	"ENSG00000140459"	"ENSG00000117054"	"m1060"
"331"	"ENSG00000140459"	"ENSG00000127884"	"m1060"
"332"	"ENSG00000140459"	"ENSG00000138029"	"m1060"
"333"	"ENSG00000140459"	"ENSG00000138796"	"m1060"
"334"	"ENSG00000140459"	"ENSG00000167315"	"m1060"
"335"	"ENSG00000140459"	"ENSG00000177646"	"m1060"
"336"	"ENSG00000140459"	"ENSG00000140459"	"m1060"
"351"	"ENSG00000148795"	"ENSG00000108381"	"m1061"
