"from"	"to"	"Metabolite"
"2"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000073756"	"m1"
"3"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000095303"	"m1"
"8"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000167910"	"m1"
"18"	"ENSG00000169710"	"ENSG00000073756"	"m1"
"19"	"ENSG00000169710"	"ENSG00000095303"	"m1"
"24"	"ENSG00000169710"	"ENSG00000167910"	"m1"
"26"	"ENSG00000136881"	"ENSG00000073756"	"m1"
"27"	"ENSG00000136881"	"ENSG00000095303"	"m1"
"32"	"ENSG00000136881"	"ENSG00000167910"	"m1"
"44"	"ENSG00000110090"	"ENSG00000111817"	"m1005"
"45"	"ENSG00000110090"	"ENSG00000111962"	"m1005"
"47"	"ENSG00000110090"	"ENSG00000113273"	"m1005"
"49"	"ENSG00000110090"	"ENSG00000002726"	"m1005"
"50"	"ENSG00000110090"	"ENSG00000131471"	"m1005"
"51"	"ENSG00000110090"	"ENSG00000131480"	"m1005"
"52"	"ENSG00000110090"	"ENSG00000134538"	"m1005"
"53"	"ENSG00000110090"	"ENSG00000036565"	"m1005"
"54"	"ENSG00000110090"	"ENSG00000165646"	"m1005"
"56"	"ENSG00000110090"	"ENSG00000006534"	"m1005"
"57"	"ENSG00000110090"	"ENSG00000108602"	"m1005"
"58"	"ENSG00000110090"	"ENSG00000132746"	"m1005"
"59"	"ENSG00000110090"	"ENSG00000184254"	"m1005"
"60"	"ENSG00000110090"	"ENSG00000171298"	"m1005"
"61"	"ENSG00000073756"	"ENSG00000111817"	"m1005"
"62"	"ENSG00000073756"	"ENSG00000111962"	"m1005"
"64"	"ENSG00000073756"	"ENSG00000113273"	"m1005"
"66"	"ENSG00000073756"	"ENSG00000002726"	"m1005"
"67"	"ENSG00000073756"	"ENSG00000131471"	"m1005"
"68"	"ENSG00000073756"	"ENSG00000131480"	"m1005"
"69"	"ENSG00000073756"	"ENSG00000134538"	"m1005"
"70"	"ENSG00000073756"	"ENSG00000036565"	"m1005"
"71"	"ENSG00000073756"	"ENSG00000165646"	"m1005"
"73"	"ENSG00000073756"	"ENSG00000006534"	"m1005"
"74"	"ENSG00000073756"	"ENSG00000108602"	"m1005"
"75"	"ENSG00000073756"	"ENSG00000132746"	"m1005"
"76"	"ENSG00000073756"	"ENSG00000184254"	"m1005"
"77"	"ENSG00000073756"	"ENSG00000171298"	"m1005"
"78"	"ENSG00000140505"	"ENSG00000111817"	"m1005"
"79"	"ENSG00000140505"	"ENSG00000111962"	"m1005"
"81"	"ENSG00000140505"	"ENSG00000113273"	"m1005"
"83"	"ENSG00000140505"	"ENSG00000002726"	"m1005"
"84"	"ENSG00000140505"	"ENSG00000131471"	"m1005"
"85"	"ENSG00000140505"	"ENSG00000131480"	"m1005"
"86"	"ENSG00000140505"	"ENSG00000134538"	"m1005"
"87"	"ENSG00000140505"	"ENSG00000036565"	"m1005"
"88"	"ENSG00000140505"	"ENSG00000165646"	"m1005"
"90"	"ENSG00000140505"	"ENSG00000006534"	"m1005"
"91"	"ENSG00000140505"	"ENSG00000108602"	"m1005"
"92"	"ENSG00000140505"	"ENSG00000132746"	"m1005"
"93"	"ENSG00000140505"	"ENSG00000184254"	"m1005"
"94"	"ENSG00000140505"	"ENSG00000171298"	"m1005"
"112"	"ENSG00000107798"	"ENSG00000111817"	"m1005"
"113"	"ENSG00000107798"	"ENSG00000111962"	"m1005"
"115"	"ENSG00000107798"	"ENSG00000113273"	"m1005"
"117"	"ENSG00000107798"	"ENSG00000002726"	"m1005"
"118"	"ENSG00000107798"	"ENSG00000131471"	"m1005"
"119"	"ENSG00000107798"	"ENSG00000131480"	"m1005"
"120"	"ENSG00000107798"	"ENSG00000134538"	"m1005"
"121"	"ENSG00000107798"	"ENSG00000036565"	"m1005"
"122"	"ENSG00000107798"	"ENSG00000165646"	"m1005"
"124"	"ENSG00000107798"	"ENSG00000006534"	"m1005"
"125"	"ENSG00000107798"	"ENSG00000108602"	"m1005"
"126"	"ENSG00000107798"	"ENSG00000132746"	"m1005"
"127"	"ENSG00000107798"	"ENSG00000184254"	"m1005"
"128"	"ENSG00000107798"	"ENSG00000171298"	"m1005"
"129"	"ENSG00000134538"	"ENSG00000060971"	"m1006"
"130"	"ENSG00000134538"	"ENSG00000072506"	"m1006"
"131"	"ENSG00000134538"	"ENSG00000084754"	"m1006"
"132"	"ENSG00000134538"	"ENSG00000087008"	"m1006"
"133"	"ENSG00000134538"	"ENSG00000097021"	"m1006"
"134"	"ENSG00000134538"	"ENSG00000101473"	"m1006"
"135"	"ENSG00000134538"	"ENSG00000119673"	"m1006"
"136"	"ENSG00000134538"	"ENSG00000127884"	"m1006"
"137"	"ENSG00000134538"	"ENSG00000130304"	"m1006"
"138"	"ENSG00000134538"	"ENSG00000133835"	"m1006"
"139"	"ENSG00000134538"	"ENSG00000136881"	"m1006"
"140"	"ENSG00000134538"	"ENSG00000138029"	"m1006"
"141"	"ENSG00000134538"	"ENSG00000138796"	"m1006"
"142"	"ENSG00000134538"	"ENSG00000140284"	"m1006"
"143"	"ENSG00000134538"	"ENSG00000143554"	"m1006"
"144"	"ENSG00000134538"	"ENSG00000157426"	"m1006"
"145"	"ENSG00000134538"	"ENSG00000161533"	"m1006"
"146"	"ENSG00000134538"	"ENSG00000167107"	"m1006"
"147"	"ENSG00000134538"	"ENSG00000167114"	"m1006"
"148"	"ENSG00000134538"	"ENSG00000167315"	"m1006"
"149"	"ENSG00000134538"	"ENSG00000176715"	"m1006"
"150"	"ENSG00000134538"	"ENSG00000177465"	"m1006"
"151"	"ENSG00000134538"	"ENSG00000184227"	"m1006"
"152"	"ENSG00000134538"	"ENSG00000242110"	"m1006"
"153"	"ENSG00000134538"	"ENSG00000197375"	"m1006"
"168"	"ENSG00000100714"	"ENSG00000169710"	"m1007"
"170"	"ENSG00000100714"	"ENSG00000134538"	"m1007"
"171"	"ENSG00000100714"	"ENSG00000023839"	"m1007"
"172"	"ENSG00000100714"	"ENSG00000103222"	"m1007"
"173"	"ENSG00000100714"	"ENSG00000108846"	"m1007"
"174"	"ENSG00000100714"	"ENSG00000105398"	"m1007"
"175"	"ENSG00000113161"	"ENSG00000169710"	"m1007"
"177"	"ENSG00000113161"	"ENSG00000134538"	"m1007"
"178"	"ENSG00000113161"	"ENSG00000023839"	"m1007"
"179"	"ENSG00000113161"	"ENSG00000103222"	"m1007"
"180"	"ENSG00000113161"	"ENSG00000108846"	"m1007"
"181"	"ENSG00000113161"	"ENSG00000105398"	"m1007"
"182"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000169710"	"m1007"
"184"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000134538"	"m1007"
"185"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000023839"	"m1007"
"186"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000103222"	"m1007"
"187"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000108846"	"m1007"
"188"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000105398"	"m1007"
"189"	"ENSG00000059573"	"ENSG00000169710"	"m1007"
"191"	"ENSG00000059573"	"ENSG00000134538"	"m1007"
"192"	"ENSG00000059573"	"ENSG00000023839"	"m1007"
"193"	"ENSG00000059573"	"ENSG00000103222"	"m1007"
"194"	"ENSG00000059573"	"ENSG00000108846"	"m1007"
"195"	"ENSG00000059573"	"ENSG00000105398"	"m1007"
"196"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000169710"	"m1007"
"198"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000134538"	"m1007"
"199"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000023839"	"m1007"
"200"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000103222"	"m1007"
"201"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000108846"	"m1007"
"202"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000105398"	"m1007"
"217"	"ENSG00000178700"	"ENSG00000169710"	"m1007"
"219"	"ENSG00000178700"	"ENSG00000134538"	"m1007"
"220"	"ENSG00000178700"	"ENSG00000023839"	"m1007"
"221"	"ENSG00000178700"	"ENSG00000103222"	"m1007"
"222"	"ENSG00000178700"	"ENSG00000108846"	"m1007"
"223"	"ENSG00000178700"	"ENSG00000105398"	"m1007"
"224"	"ENSG00000138413"	"ENSG00000169710"	"m1007"
"226"	"ENSG00000138413"	"ENSG00000134538"	"m1007"
"227"	"ENSG00000138413"	"ENSG00000023839"	"m1007"
"228"	"ENSG00000138413"	"ENSG00000103222"	"m1007"
"229"	"ENSG00000138413"	"ENSG00000108846"	"m1007"
"230"	"ENSG00000138413"	"ENSG00000105398"	"m1007"
"231"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000169710"	"m1007"
"233"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000134538"	"m1007"
"234"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000023839"	"m1007"
"235"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000103222"	"m1007"
"236"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000108846"	"m1007"
"237"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000105398"	"m1007"
"252"	"ENSG00000072210"	"ENSG00000169710"	"m1007"
"254"	"ENSG00000072210"	"ENSG00000134538"	"m1007"
"255"	"ENSG00000072210"	"ENSG00000023839"	"m1007"
"256"	"ENSG00000072210"	"ENSG00000103222"	"m1007"
"257"	"ENSG00000072210"	"ENSG00000108846"	"m1007"
"258"	"ENSG00000072210"	"ENSG00000105398"	"m1007"
"259"	"ENSG00000161267"	"ENSG00000169710"	"m1007"
"261"	"ENSG00000161267"	"ENSG00000134538"	"m1007"
"262"	"ENSG00000161267"	"ENSG00000023839"	"m1007"
"263"	"ENSG00000161267"	"ENSG00000103222"	"m1007"
"264"	"ENSG00000161267"	"ENSG00000108846"	"m1007"
"265"	"ENSG00000161267"	"ENSG00000105398"	"m1007"
"283"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000087008"	"m1008"
"284"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000161533"	"m1008"
"288"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000169710"	"m1008"
"293"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000100372"	"m1008"
"298"	"ENSG00000104522"	"ENSG00000087008"	"m1008"
"299"	"ENSG00000104522"	"ENSG00000161533"	"m1008"
"303"	"ENSG00000104522"	"ENSG00000169710"	"m1008"
"308"	"ENSG00000104522"	"ENSG00000100372"	"m1008"
"313"	"ENSG00000153574"	"ENSG00000087008"	"m1008"
"314"	"ENSG00000153574"	"ENSG00000161533"	"m1008"
"318"	"ENSG00000153574"	"ENSG00000169710"	"m1008"
"323"	"ENSG00000153574"	"ENSG00000100372"	"m1008"
"328"	"ENSG00000157353"	"ENSG00000087008"	"m1008"
"329"	"ENSG00000157353"	"ENSG00000161533"	"m1008"
"333"	"ENSG00000157353"	"ENSG00000169710"	"m1008"
"338"	"ENSG00000157353"	"ENSG00000100372"	"m1008"
"343"	"ENSG00000106633"	"ENSG00000087008"	"m1008"
"344"	"ENSG00000106633"	"ENSG00000161533"	"m1008"
"348"	"ENSG00000106633"	"ENSG00000169710"	"m1008"
"353"	"ENSG00000106633"	"ENSG00000100372"	"m1008"
"358"	"ENSG00000162551"	"ENSG00000087008"	"m1008"
"359"	"ENSG00000162551"	"ENSG00000161533"	"m1008"
"363"	"ENSG00000162551"	"ENSG00000169710"	"m1008"
"368"	"ENSG00000162551"	"ENSG00000100372"	"m1008"
"373"	"ENSG00000107798"	"ENSG00000087008"	"m1008"
"374"	"ENSG00000107798"	"ENSG00000161533"	"m1008"
"378"	"ENSG00000107798"	"ENSG00000169710"	"m1008"
"383"	"ENSG00000107798"	"ENSG00000100372"	"m1008"
"388"	"ENSG00000196177"	"ENSG00000087008"	"m1008"
"389"	"ENSG00000196177"	"ENSG00000161533"	"m1008"
"393"	"ENSG00000196177"	"ENSG00000169710"	"m1008"
"398"	"ENSG00000196177"	"ENSG00000100372"	"m1008"
"403"	"ENSG00000100714"	"ENSG00000087008"	"m1008"
"404"	"ENSG00000100714"	"ENSG00000161533"	"m1008"
"413"	"ENSG00000100714"	"ENSG00000100372"	"m1008"
"418"	"ENSG00000117054"	"ENSG00000087008"	"m1008"
"419"	"ENSG00000117054"	"ENSG00000161533"	"m1008"
"423"	"ENSG00000117054"	"ENSG00000169710"	"m1008"
"428"	"ENSG00000117054"	"ENSG00000100372"	"m1008"
"433"	"ENSG00000110195"	"ENSG00000087008"	"m1008"
"434"	"ENSG00000110195"	"ENSG00000161533"	"m1008"
"438"	"ENSG00000110195"	"ENSG00000169710"	"m1008"
"443"	"ENSG00000110195"	"ENSG00000100372"	"m1008"
"463"	"ENSG00000162066"	"ENSG00000087008"	"m1008"
"464"	"ENSG00000162066"	"ENSG00000161533"	"m1008"
"468"	"ENSG00000162066"	"ENSG00000169710"	"m1008"
"473"	"ENSG00000162066"	"ENSG00000100372"	"m1008"
"523"	"ENSG00000147119"	"ENSG00000087008"	"m1008"
"524"	"ENSG00000147119"	"ENSG00000161533"	"m1008"
"528"	"ENSG00000147119"	"ENSG00000169710"	"m1008"
"533"	"ENSG00000147119"	"ENSG00000100372"	"m1008"
"538"	"ENSG00000117308"	"ENSG00000087008"	"m1008"
"539"	"ENSG00000117308"	"ENSG00000161533"	"m1008"
"543"	"ENSG00000117308"	"ENSG00000169710"	"m1008"
"548"	"ENSG00000117308"	"ENSG00000100372"	"m1008"
"553"	"ENSG00000176974"	"ENSG00000087008"	"m1008"
"554"	"ENSG00000176974"	"ENSG00000161533"	"m1008"
"558"	"ENSG00000176974"	"ENSG00000169710"	"m1008"
"563"	"ENSG00000176974"	"ENSG00000100372"	"m1008"
"598"	"ENSG00000111058"	"ENSG00000087008"	"m1008"
"599"	"ENSG00000111058"	"ENSG00000161533"	"m1008"
"603"	"ENSG00000111058"	"ENSG00000169710"	"m1008"
