"from"	"to"	"Metabolite"
"3"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000167910"	"m1"
"4"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000073756"	"m1"
"5"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000095303"	"m1"
"10"	"ENSG00000136881"	"ENSG00000167910"	"m1"
"11"	"ENSG00000136881"	"ENSG00000073756"	"m1"
"12"	"ENSG00000136881"	"ENSG00000095303"	"m1"
"24"	"ENSG00000169710"	"ENSG00000167910"	"m1"
"25"	"ENSG00000169710"	"ENSG00000073756"	"m1"
"26"	"ENSG00000169710"	"ENSG00000095303"	"m1"
"34"	"ENSG00000057252"	"ENSG00000057252"	"m1005"
"35"	"ENSG00000057252"	"ENSG00000167780"	"m1005"
"36"	"ENSG00000133065"	"ENSG00000145217"	"m1006"
"37"	"ENSG00000133065"	"ENSG00000155850"	"m1006"
"48"	"ENSG00000073756"	"ENSG00000087008"	"m1012"
"49"	"ENSG00000073756"	"ENSG00000161533"	"m1012"
"50"	"ENSG00000097021"	"ENSG00000087008"	"m1012"
"51"	"ENSG00000097021"	"ENSG00000161533"	"m1012"
"52"	"ENSG00000143815"	"ENSG00000087008"	"m1012"
"53"	"ENSG00000143815"	"ENSG00000161533"	"m1012"
"58"	"ENSG00000001630"	"ENSG00000087008"	"m1012"
"59"	"ENSG00000001630"	"ENSG00000161533"	"m1012"
"60"	"ENSG00000073756"	"ENSG00000161653"	"m1013"
"61"	"ENSG00000073756"	"ENSG00000203857"	"m1013"
"62"	"ENSG00000073756"	"ENSG00000203859"	"m1013"
"63"	"ENSG00000162368"	"ENSG00000161653"	"m1013"
"64"	"ENSG00000162368"	"ENSG00000203857"	"m1013"
"65"	"ENSG00000162368"	"ENSG00000203859"	"m1013"
"109"	"ENSG00000083807"	"ENSG00000155380"	"m1021"
"118"	"ENSG00000117308"	"ENSG00000073756"	"m1029"
