"from"	"to"	"Metabolite"
"6"	"ENSG00000169710"	"ENSG00000167910"	"m1"
"13"	"ENSG00000136881"	"ENSG00000167910"	"m1"
"22256"	"ENSG00000060971 and ENSG00000167306"	"ENSG00000115665"	"m1012"
"22257"	"ENSG00000060971 and ENSG00000167306"	"ENSG00000137204"	"m1012"
"22258"	"ENSG00000060971 and ENSG00000167306"	"ENSG00000168065"	"m1012"
"22259"	"ENSG00000060971 and ENSG00000167306"	"ENSG00000104325"	"m1012"
"22260"	"ENSG00000060971 and ENSG00000167306"	"ENSG00000242612"	"m1012"
"22261"	"ENSG00000103546"	"ENSG00000112499"	"m1015"
"22262"	"ENSG00000103546"	"ENSG00000175003"	"m1015"
"22266"	"ENSG00000087008"	"ENSG00000242110"	"m1017"
"22270"	"ENSG00000087008"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"m1018"
"22271"	"ENSG00000137204"	"ENSG00000137204"	"m1019"
"22272"	"ENSG00000137204"	"ENSG00000168065"	"m1019"
"22273"	"ENSG00000169710"	"ENSG00000136881"	"m1023"
"22274"	"ENSG00000136881"	"ENSG00000180432"	"m1025"
"22275"	"ENSG00000136881"	"ENSG00000136881"	"m1025"
"22277"	"ENSG00000242110"	"ENSG00000169710"	"m1028"
"22299"	"ENSG00000103257"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"m1043"
"22300"	"ENSG00000103257"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"m1044"
"22301"	"ENSG00000103257"	"ENSG00000087008"	"m1048"
"22302"	"ENSG00000103257"	"ENSG00000161533"	"m1048"
"22303"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000060971 and ENSG00000167306"	"m1049"
"22304"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000196517"	"m1049"
"22305"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000268104"	"m1049"
"22306"	"ENSG00000073734"	"ENSG00000060971 and ENSG00000167306"	"m1049"
"22307"	"ENSG00000073734"	"ENSG00000196517"	"m1049"
"22308"	"ENSG00000073734"	"ENSG00000268104"	"m1049"
"22316"	"ENSG00000025423"	"ENSG00000008513"	"m105"
"22317"	"ENSG00000025423"	"ENSG00000110080"	"m105"
"22318"	"ENSG00000025423"	"ENSG00000157350"	"m105"
"22320"	"ENSG00000025423"	"ENSG00000104331"	"m105"
"22321"	"ENSG00000025423"	"ENSG00000133731"	"m105"
"22322"	"ENSG00000025423"	"ENSG00000141401"	"m105"
"22323"	"ENSG00000072778"	"ENSG00000097021"	"m1050"
"22324"	"ENSG00000072778"	"ENSG00000119673"	"m1050"
"22325"	"ENSG00000072778"	"ENSG00000136881"	"m1050"
"22326"	"ENSG00000072778"	"ENSG00000177465"	"m1050"
"22327"	"ENSG00000072778"	"ENSG00000184227"	"m1050"
"22328"	"ENSG00000072778"	"ENSG00000205669"	"m1050"
"22330"	"ENSG00000072778"	"ENSG00000103546"	"m1050"
