"from"	"to"	"Metabolite"
"7"	"ENSG00000169710"	"ENSG00000167910"	"m1"
"13"	"ENSG00000136881"	"ENSG00000167910"	"m1"
"19"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000167910"	"m1"
"29"	"ENSG00000104888"	"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"m1003"
"31"	"ENSG00000196517"	"ENSG00000196517"	"m1009"
"32"	"ENSG00000196517"	"ENSG00000268104"	"m1009"
"6511"	"ENSG00000198743"	"ENSG00000112759"	"m1035"
"6556"	"ENSG00000025423"	"ENSG00000104331"	"m104"
"6557"	"ENSG00000025423"	"ENSG00000133731"	"m104"
"6558"	"ENSG00000025423"	"ENSG00000141401"	"m104"
"6559"	"ENSG00000025423"	"ENSG00000008513"	"m104"
"6560"	"ENSG00000025423"	"ENSG00000110080"	"m104"
"6561"	"ENSG00000025423"	"ENSG00000157350"	"m104"
"6574"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000160282"	"m1048"
"6575"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"m1049"
"6576"	"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848"	"ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848"	"m1049"
"6608"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000111817"	"m1057"
"6609"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000111962"	"m1057"
"6610"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000104808"	"m1057"
"6611"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000151632"	"m1057"
"6612"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000187134"	"m1057"
"6613"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000196139"	"m1057"
"6614"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000198610"	"m1057"
"6615"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000002726"	"m1057"
"6616"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000131471"	"m1057"
"6617"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000131480"	"m1057"
"6618"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000113273"	"m1057"
"6619"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000171298"	"m1057"
"6621"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000036565"	"m1057"
"6622"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000165646"	"m1057"
"6625"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000006534"	"m1057"
"6626"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000108602"	"m1057"
"6627"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000132746"	"m1057"
"6628"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000184254"	"m1057"
"6629"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000033100"	"m1057"
"6630"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000123989"	"m1057"
"6631"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000131873"	"m1057"
"6632"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000198108"	"m1057"
"6634"	"ENSG00000107798"	"ENSG00000111817"	"m1057"
"6635"	"ENSG00000107798"	"ENSG00000111962"	"m1057"
"6636"	"ENSG00000107798"	"ENSG00000104808"	"m1057"
"6637"	"ENSG00000107798"	"ENSG00000151632"	"m1057"
"6638"	"ENSG00000107798"	"ENSG00000187134"	"m1057"
"6639"	"ENSG00000107798"	"ENSG00000196139"	"m1057"
"6640"	"ENSG00000107798"	"ENSG00000198610"	"m1057"
"6641"	"ENSG00000107798"	"ENSG00000002726"	"m1057"
"6642"	"ENSG00000107798"	"ENSG00000131471"	"m1057"
"6643"	"ENSG00000107798"	"ENSG00000131480"	"m1057"
"6644"	"ENSG00000107798"	"ENSG00000113273"	"m1057"
"6645"	"ENSG00000107798"	"ENSG00000171298"	"m1057"
"6646"	"ENSG00000107798"	"ENSG00000134538"	"m1057"
"6647"	"ENSG00000107798"	"ENSG00000036565"	"m1057"
"6648"	"ENSG00000107798"	"ENSG00000165646"	"m1057"
"6651"	"ENSG00000107798"	"ENSG00000006534"	"m1057"
"6652"	"ENSG00000107798"	"ENSG00000108602"	"m1057"
"6653"	"ENSG00000107798"	"ENSG00000132746"	"m1057"
"6654"	"ENSG00000107798"	"ENSG00000184254"	"m1057"
"6655"	"ENSG00000107798"	"ENSG00000033100"	"m1057"
"6656"	"ENSG00000107798"	"ENSG00000123989"	"m1057"
"6657"	"ENSG00000107798"	"ENSG00000131873"	"m1057"
"6658"	"ENSG00000107798"	"ENSG00000198108"	"m1057"
"6686"	"ENSG00000110090"	"ENSG00000111817"	"m1057"
"6687"	"ENSG00000110090"	"ENSG00000111962"	"m1057"
"6688"	"ENSG00000110090"	"ENSG00000104808"	"m1057"
"6689"	"ENSG00000110090"	"ENSG00000151632"	"m1057"
"6690"	"ENSG00000110090"	"ENSG00000187134"	"m1057"
"6691"	"ENSG00000110090"	"ENSG00000196139"	"m1057"
"6692"	"ENSG00000110090"	"ENSG00000198610"	"m1057"
"6693"	"ENSG00000110090"	"ENSG00000002726"	"m1057"
"6694"	"ENSG00000110090"	"ENSG00000131471"	"m1057"
"6695"	"ENSG00000110090"	"ENSG00000131480"	"m1057"
"6696"	"ENSG00000110090"	"ENSG00000113273"	"m1057"
"6697"	"ENSG00000110090"	"ENSG00000171298"	"m1057"
"6698"	"ENSG00000110090"	"ENSG00000134538"	"m1057"
"6699"	"ENSG00000110090"	"ENSG00000036565"	"m1057"
"6700"	"ENSG00000110090"	"ENSG00000165646"	"m1057"
"6703"	"ENSG00000110090"	"ENSG00000006534"	"m1057"
"6704"	"ENSG00000110090"	"ENSG00000108602"	"m1057"
"6705"	"ENSG00000110090"	"ENSG00000132746"	"m1057"
"6706"	"ENSG00000110090"	"ENSG00000184254"	"m1057"
"6707"	"ENSG00000110090"	"ENSG00000033100"	"m1057"
"6708"	"ENSG00000110090"	"ENSG00000123989"	"m1057"
"6709"	"ENSG00000110090"	"ENSG00000131873"	"m1057"
"6710"	"ENSG00000110090"	"ENSG00000198108"	"m1057"
"6711"	"ENSG00000134538"	"ENSG00000060971"	"m1058"
"6712"	"ENSG00000134538"	"ENSG00000072506"	"m1058"
"6713"	"ENSG00000134538"	"ENSG00000084754"	"m1058"
"6714"	"ENSG00000134538"	"ENSG00000087008"	"m1058"
"6715"	"ENSG00000134538"	"ENSG00000097021"	"m1058"
"6716"	"ENSG00000134538"	"ENSG00000101473"	"m1058"
"6717"	"ENSG00000134538"	"ENSG00000119673"	"m1058"
"6718"	"ENSG00000134538"	"ENSG00000127884"	"m1058"
"6719"	"ENSG00000134538"	"ENSG00000130304"	"m1058"
"6720"	"ENSG00000134538"	"ENSG00000133835"	"m1058"
"6721"	"ENSG00000134538"	"ENSG00000136881"	"m1058"
"6722"	"ENSG00000134538"	"ENSG00000138029"	"m1058"
"6723"	"ENSG00000134538"	"ENSG00000138796"	"m1058"
"6725"	"ENSG00000134538"	"ENSG00000143554"	"m1058"
"6726"	"ENSG00000134538"	"ENSG00000157426"	"m1058"
"6727"	"ENSG00000134538"	"ENSG00000161533"	"m1058"
"6728"	"ENSG00000134538"	"ENSG00000167107"	"m1058"
"6729"	"ENSG00000134538"	"ENSG00000167114"	"m1058"
"6730"	"ENSG00000134538"	"ENSG00000167315"	"m1058"
"6731"	"ENSG00000134538"	"ENSG00000176715"	"m1058"
"6732"	"ENSG00000134538"	"ENSG00000177465"	"m1058"
"6733"	"ENSG00000134538"	"ENSG00000184227"	"m1058"
"6734"	"ENSG00000134538"	"ENSG00000242110"	"m1058"
"6735"	"ENSG00000134538"	"ENSG00000197375"	"m1058"
"6736"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000105398"	"m1059"
"6737"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000023839"	"m1059"
"6738"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000103222"	"m1059"
"6739"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000108846"	"m1059"
"6740"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000169710"	"m1059"
"6742"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000134538"	"m1059"
"6743"	"ENSG00000138413"	"ENSG00000105398"	"m1059"
"6744"	"ENSG00000138413"	"ENSG00000023839"	"m1059"
"6745"	"ENSG00000138413"	"ENSG00000103222"	"m1059"
"6746"	"ENSG00000138413"	"ENSG00000108846"	"m1059"
"6747"	"ENSG00000138413"	"ENSG00000169710"	"m1059"
"6749"	"ENSG00000138413"	"ENSG00000134538"	"m1059"
"6750"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000105398"	"m1059"
"6751"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000023839"	"m1059"
"6752"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000103222"	"m1059"
"6753"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000108846"	"m1059"
"6754"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000169710"	"m1059"
"6756"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000134538"	"m1059"
"6757"	"ENSG00000178700"	"ENSG00000105398"	"m1059"
"6758"	"ENSG00000178700"	"ENSG00000023839"	"m1059"
"6759"	"ENSG00000178700"	"ENSG00000103222"	"m1059"
"6760"	"ENSG00000178700"	"ENSG00000108846"	"m1059"
"6761"	"ENSG00000178700"	"ENSG00000169710"	"m1059"
"6771"	"ENSG00000161267"	"ENSG00000105398"	"m1059"
"6772"	"ENSG00000161267"	"ENSG00000023839"	"m1059"
"6773"	"ENSG00000161267"	"ENSG00000103222"	"m1059"
"6774"	"ENSG00000161267"	"ENSG00000108846"	"m1059"
"6775"	"ENSG00000161267"	"ENSG00000169710"	"m1059"
"6777"	"ENSG00000161267"	"ENSG00000134538"	"m1059"
"6778"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000105398"	"m1059"
"6779"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000023839"	"m1059"
"6780"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000103222"	"m1059"
"6781"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000108846"	"m1059"
"6782"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000169710"	"m1059"
"6784"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000134538"	"m1059"
"6799"	"ENSG00000113161"	"ENSG00000105398"	"m1059"
"6800"	"ENSG00000113161"	"ENSG00000023839"	"m1059"
"6801"	"ENSG00000113161"	"ENSG00000103222"	"m1059"
"6802"	"ENSG00000113161"	"ENSG00000108846"	"m1059"
"6803"	"ENSG00000113161"	"ENSG00000169710"	"m1059"
"6805"	"ENSG00000113161"	"ENSG00000134538"	"m1059"
"6806"	"ENSG00000072210"	"ENSG00000105398"	"m1059"
"6807"	"ENSG00000072210"	"ENSG00000023839"	"m1059"
"6808"	"ENSG00000072210"	"ENSG00000103222"	"m1059"
"6809"	"ENSG00000072210"	"ENSG00000108846"	"m1059"
"6810"	"ENSG00000072210"	"ENSG00000169710"	"m1059"
"6812"	"ENSG00000072210"	"ENSG00000134538"	"m1059"
"6827"	"ENSG00000100714"	"ENSG00000105398"	"m1059"
"6828"	"ENSG00000100714"	"ENSG00000023839"	"m1059"
"6829"	"ENSG00000100714"	"ENSG00000103222"	"m1059"
"6830"	"ENSG00000100714"	"ENSG00000108846"	"m1059"
"6831"	"ENSG00000100714"	"ENSG00000169710"	"m1059"
"6833"	"ENSG00000100714"	"ENSG00000134538"	"m1059"
"6834"	"ENSG00000059573"	"ENSG00000105398"	"m1059"
"6835"	"ENSG00000059573"	"ENSG00000023839"	"m1059"
"6836"	"ENSG00000059573"	"ENSG00000103222"	"m1059"
"6837"	"ENSG00000059573"	"ENSG00000108846"	"m1059"
"6838"	"ENSG00000059573"	"ENSG00000169710"	"m1059"
"6840"	"ENSG00000059573"	"ENSG00000134538"	"m1059"
"6852"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000100372"	"m1060"
"6859"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000169710"	"m1060"
"6862"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000087008"	"m1060"
"6863"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000161533"	"m1060"
"6882"	"ENSG00000120915"	"ENSG00000100372"	"m1060"
"6889"	"ENSG00000120915"	"ENSG00000169710"	"m1060"
"6892"	"ENSG00000120915"	"ENSG00000087008"	"m1060"
"6893"	"ENSG00000120915"	"ENSG00000161533"	"m1060"
"6897"	"ENSG00000147119"	"ENSG00000100372"	"m1060"
"6904"	"ENSG00000147119"	"ENSG00000169710"	"m1060"
"6907"	"ENSG00000147119"	"ENSG00000087008"	"m1060"
"6908"	"ENSG00000147119"	"ENSG00000161533"	"m1060"
"6912"	"ENSG00000117308"	"ENSG00000100372"	"m1060"
"6919"	"ENSG00000117308"	"ENSG00000169710"	"m1060"
"6922"	"ENSG00000117308"	"ENSG00000087008"	"m1060"
"6923"	"ENSG00000117308"	"ENSG00000161533"	"m1060"
"6927"	"ENSG00000100116"	"ENSG00000100372"	"m1060"
"6934"	"ENSG00000100116"	"ENSG00000169710"	"m1060"
"6937"	"ENSG00000100116"	"ENSG00000087008"	"m1060"
"6938"	"ENSG00000100116"	"ENSG00000161533"	"m1060"
"6942"	"ENSG00000107798"	"ENSG00000100372"	"m1060"
"6949"	"ENSG00000107798"	"ENSG00000169710"	"m1060"
"6952"	"ENSG00000107798"	"ENSG00000087008"	"m1060"
"6953"	"ENSG00000107798"	"ENSG00000161533"	"m1060"
"6972"	"ENSG00000157353"	"ENSG00000100372"	"m1060"
"6979"	"ENSG00000157353"	"ENSG00000169710"	"m1060"
"6982"	"ENSG00000157353"	"ENSG00000087008"	"m1060"
"6983"	"ENSG00000157353"	"ENSG00000161533"	"m1060"
"7002"	"ENSG00000196177"	"ENSG00000100372"	"m1060"
"7009"	"ENSG00000196177"	"ENSG00000169710"	"m1060"
"7012"	"ENSG00000196177"	"ENSG00000087008"	"m1060"
"7013"	"ENSG00000196177"	"ENSG00000161533"	"m1060"
"7032"	"ENSG00000117054"	"ENSG00000100372"	"m1060"
"7039"	"ENSG00000117054"	"ENSG00000169710"	"m1060"
"7042"	"ENSG00000117054"	"ENSG00000087008"	"m1060"
"7043"	"ENSG00000117054"	"ENSG00000161533"	"m1060"
"7047"	"ENSG00000176974"	"ENSG00000100372"	"m1060"
"7054"	"ENSG00000176974"	"ENSG00000169710"	"m1060"
"7057"	"ENSG00000176974"	"ENSG00000087008"	"m1060"
"7058"	"ENSG00000176974"	"ENSG00000161533"	"m1060"
"7077"	"ENSG00000106633"	"ENSG00000100372"	"m1060"
"7084"	"ENSG00000106633"	"ENSG00000169710"	"m1060"
"7087"	"ENSG00000106633"	"ENSG00000087008"	"m1060"
"7088"	"ENSG00000106633"	"ENSG00000161533"	"m1060"
"7092"	"ENSG00000162066"	"ENSG00000100372"	"m1060"
"7099"	"ENSG00000162066"	"ENSG00000169710"	"m1060"
"7102"	"ENSG00000162066"	"ENSG00000087008"	"m1060"
"7103"	"ENSG00000162066"	"ENSG00000161533"	"m1060"
"7122"	"ENSG00000153574"	"ENSG00000100372"	"m1060"
"7129"	"ENSG00000153574"	"ENSG00000169710"	"m1060"
"7132"	"ENSG00000153574"	"ENSG00000087008"	"m1060"
"7133"	"ENSG00000153574"	"ENSG00000161533"	"m1060"
"7167"	"ENSG00000162551"	"ENSG00000100372"	"m1060"
"7174"	"ENSG00000162551"	"ENSG00000169710"	"m1060"
"7177"	"ENSG00000162551"	"ENSG00000087008"	"m1060"
"7178"	"ENSG00000162551"	"ENSG00000161533"	"m1060"
"7182"	"ENSG00000111058"	"ENSG00000100372"	"m1060"
