cell,cell_index
ACH-000001,0
ACH-000004,1
ACH-000005,2
ACH-000007,3
ACH-000009,4
ACH-000011,5
ACH-000012,6
ACH-000013,7
ACH-000015,8
ACH-000017,9
ACH-000018,10
ACH-000019,11
ACH-000021,12
ACH-000022,13
ACH-000023,14
ACH-000025,15
ACH-000028,16
ACH-000029,17
ACH-000030,18
ACH-000035,19
ACH-000036,20
ACH-000040,21
ACH-000042,22
ACH-000045,23
ACH-000048,24
ACH-000055,25
ACH-000060,26
ACH-000067,27
ACH-000074,28
ACH-000076,29
ACH-000085,30
ACH-000090,31
ACH-000094,32
ACH-000097,33
ACH-000098,34
ACH-000103,35
ACH-000108,36
ACH-000111,37
ACH-000113,38
ACH-000114,39
ACH-000115,40
ACH-000118,41
ACH-000123,42
ACH-000127,43
ACH-000128,44
ACH-000132,45
ACH-000137,46
ACH-000138,47
ACH-000139,48
ACH-000142,49
ACH-000143,50
ACH-000146,51
ACH-000147,52
ACH-000148,53
ACH-000150,54
ACH-000152,55
ACH-000155,56
ACH-000159,57
ACH-000160,58
ACH-000161,59
ACH-000163,60
ACH-000164,61
ACH-000168,62
ACH-000176,63
ACH-000178,64
ACH-000181,65
ACH-000187,66
ACH-000188,67
ACH-000189,68
ACH-000190,69
ACH-000192,70
ACH-000195,71
ACH-000198,72
ACH-000200,73
ACH-000202,74
ACH-000207,75
ACH-000212,76
ACH-000213,77
ACH-000215,78
ACH-000216,79
ACH-000221,80
ACH-000222,81
ACH-000223,82
ACH-000228,83
ACH-000231,84
ACH-000232,85
ACH-000237,86
ACH-000238,87
ACH-000243,88
ACH-000244,89
ACH-000246,90
ACH-000247,91
ACH-000248,92
ACH-000249,93
ACH-000250,94
ACH-000251,95
ACH-000252,96
ACH-000253,97
ACH-000255,98
ACH-000256,99
ACH-000257,100
ACH-000258,101
ACH-000261,102
ACH-000262,103
ACH-000263,104
ACH-000264,105
ACH-000265,106
ACH-000266,107
ACH-000269,108
ACH-000272,109
ACH-000273,110
ACH-000274,111
ACH-000277,112
ACH-000278,113
ACH-000280,114
ACH-000281,115
ACH-000286,116
ACH-000288,117
ACH-000290,118
ACH-000291,119
ACH-000292,120
ACH-000293,121
ACH-000294,122
ACH-000295,123
ACH-000296,124
ACH-000303,125
ACH-000304,126
ACH-000305,127
ACH-000307,128
ACH-000308,129
ACH-000311,130
ACH-000313,131
ACH-000316,132
ACH-000318,133
ACH-000320,134
ACH-000322,135
ACH-000323,136
ACH-000324,137
ACH-000325,138
ACH-000326,139
ACH-000329,140
ACH-000332,141
ACH-000336,142
ACH-000339,143
ACH-000343,144
ACH-000344,145
ACH-000348,146
ACH-000352,147
ACH-000354,148
ACH-000355,149
ACH-000356,150
ACH-000361,151
ACH-000362,152
ACH-000368,153
ACH-000370,154
ACH-000374,155
ACH-000375,156
ACH-000376,157
ACH-000378,158
ACH-000381,159
ACH-000383,160
ACH-000385,161
ACH-000387,162
ACH-000389,163
ACH-000393,164
ACH-000396,165
ACH-000397,166
ACH-000401,167
ACH-000403,168
ACH-000404,169
ACH-000406,170
ACH-000407,171
ACH-000408,172
ACH-000411,173
ACH-000414,174
ACH-000415,175
ACH-000416,176
ACH-000417,177
ACH-000420,178
ACH-000421,179
ACH-000425,180
ACH-000427,181
ACH-000430,182
ACH-000431,183
ACH-000434,184
ACH-000435,185
ACH-000437,186
ACH-000438,187
ACH-000441,188
ACH-000442,189
ACH-000444,190
ACH-000445,191
ACH-000448,192
ACH-000450,193
ACH-000452,194
ACH-000455,195
ACH-000456,196
ACH-000458,197
ACH-000459,198
ACH-000460,199
ACH-000464,200
ACH-000466,201
ACH-000467,202
ACH-000468,203
ACH-000469,204
ACH-000470,205
ACH-000471,206
ACH-000472,207
ACH-000473,208
ACH-000475,209
ACH-000476,210
ACH-000477,211
ACH-000478,212
ACH-000479,213
ACH-000480,214
ACH-000481,215
ACH-000483,216
ACH-000484,217
ACH-000485,218
ACH-000486,219
ACH-000487,220
ACH-000488,221
ACH-000489,222
