cell,cell_index
TCGA-G3-A3CH-11,0
TCGA-E2-A153-11,1
TCGA-CZ-5468-11,2
TCGA-BH-A0BQ-11,3
TCGA-CZ-4863-11,4
TCGA-DD-A3A6-11,5
TCGA-BH-A204-11,6
TCGA-44-2657-11,7
TCGA-DD-A3A5-11,8
TCGA-33-4587-11,9
TCGA-AA-3516-11,10
TCGA-HU-A4GP-11,11
TCGA-44-6146-11,12
TCGA-E9-A1RF-11,13
TCGA-DD-A116-11,14
TCGA-BJ-A28X-11,15
TCGA-CV-7091-11,16
TCGA-B0-4700-11,17
TCGA-34-7107-11,18
TCGA-BJ-A290-11,19
TCGA-A7-A13F-11,20
TCGA-ET-A2MX-11,21
TCGA-KS-A41I-11,22
TCGA-CV-7440-11,23
TCGA-KL-8324-11,24
TCGA-V5-AASX-11,25
TCGA-EL-A3ZK-11,26
TCGA-CV-6960-11,27
TCGA-AC-A23H-11,28
TCGA-38-4627-11,29
TCGA-BH-A0HA-11,30
TCGA-A7-A0CE-11,31
TCGA-BH-A0HK-11,32
TCGA-77-7337-11,33
TCGA-CZ-5987-11,34
TCGA-EJ-7794-11,35
TCGA-EJ-7315-11,36
TCGA-AJ-A3NE-11,37
TCGA-BH-A0B7-11,38
TCGA-DD-A114-11,39
TCGA-DD-A1EG-11,40
TCGA-E2-A158-11,41
TCGA-B0-4712-11,42
TCGA-CV-7424-11,43
TCGA-AX-A2HD-11,44
TCGA-91-6847-11,45
TCGA-58-8386-11,46
TCGA-22-4593-11,47
TCGA-EL-A3H1-11,48
TCGA-33-6737-11,49
TCGA-A6-2686-11,50
TCGA-CV-7416-11,51
TCGA-BT-A20N-11,52
TCGA-DZ-6132-11,53
TCGA-BH-A0DV-11,54
TCGA-A6-2682-11,55
TCGA-KN-8419-11,56
TCGA-BH-A1ET-11,57
TCGA-A6-2684-11,58
TCGA-BR-7851-11,59
TCGA-EL-A3ZR-11,60
TCGA-22-5491-11,61
TCGA-EL-A3ZS-11,62
TCGA-G9-6363-11,63
TCGA-CJ-5676-11,64
TCGA-MY-A5BF-11,65
TCGA-E9-A1ND-11,66
TCGA-CZ-5465-11,67
TCGA-Y8-A8RY-11,68
TCGA-BH-A18M-11,69
TCGA-CV-7245-11,70
TCGA-CV-7406-11,71
TCGA-CZ-5461-11,72
TCGA-CV-7434-11,73
TCGA-BH-A1EO-11,74
TCGA-CZ-4864-11,75
TCGA-AA-3518-11,76
TCGA-DD-A1EJ-11,77
TCGA-CG-5722-11,78
TCGA-K4-A54R-11,79
TCGA-43-3394-11,80
TCGA-KN-8428-11,81
TCGA-77-8008-11,82
TCGA-DD-A11B-11,83
TCGA-AC-A2FB-11,84
TCGA-AA-3531-11,85
TCGA-EJ-7125-11,86
TCGA-ES-A2HT-11,87
TCGA-EJ-7797-11,88
TCGA-KN-8424-11,89
TCGA-B9-4115-11,90
TCGA-EJ-7786-11,91
TCGA-BC-A216-11,92
TCGA-GL-7966-11,93
TCGA-B0-5705-11,94
TCGA-IN-8462-11,95
TCGA-EL-A3N2-11,96
TCGA-DD-A39Z-11,97
TCGA-E9-A1RH-11,98
TCGA-HU-A4GH-11,99
TCGA-AG-3731-11,100
TCGA-HV-A5A3-11,101
TCGA-44-6147-11,102
TCGA-BH-A0DP-11,103
TCGA-06-AABW-11,104
TCGA-HD-8635-11,105
TCGA-CV-7103-11,106
TCGA-BH-A0H9-11,107
TCGA-KL-8326-11,108
TCGA-22-4609-11,109
TCGA-49-6742-11,110
TCGA-CZ-5454-11,111
TCGA-CV-7178-11,112
TCGA-GC-A3BM-11,113
TCGA-GL-6846-11,114
TCGA-BR-8060-11,115
TCGA-K4-A5RI-11,116
TCGA-55-6980-11,117
TCGA-ET-A2N5-11,118
TCGA-EP-A3RK-11,119
TCGA-EJ-7123-11,120
TCGA-FP-7735-11,121
TCGA-77-7335-11,122
TCGA-BH-A0C3-11,123
TCGA-B0-5711-11,124
TCGA-49-6744-11,125
TCGA-BH-A1FU-11,126
TCGA-G9-6499-11,127
TCGA-G9-6365-11,128
TCGA-BR-7716-11,129
TCGA-GN-A4U8-11,130
TCGA-AG-3725-11,131
TCGA-B0-5701-11,132
TCGA-49-4512-11,133
TCGA-DD-A113-11,134
TCGA-A4-A4ZT-11,135
TCGA-B2-5641-11,136
TCGA-BQ-5878-11,137
TCGA-IG-A3I8-11,138
TCGA-91-6835-11,139
TCGA-ET-A3DW-11,140
TCGA-38-4625-11,141
TCGA-BG-A3PP-11,142
TCGA-EM-A1YC-11,143
TCGA-HC-7737-11,144
TCGA-50-5936-11,145
TCGA-HD-A6HZ-11,146
TCGA-BQ-5891-11,147
TCGA-50-5932-11,148
TCGA-DZ-6133-11,149
TCGA-KL-8339-11,150
TCGA-77-7138-11,151
TCGA-E9-A1N4-11,152
TCGA-CZ-5470-11,153
TCGA-AA-3712-11,154
TCGA-FL-A1YU-11,155
TCGA-EJ-7785-11,156
TCGA-BH-A18S-11,157
TCGA-44-2665-11,158
TCGA-CU-A0YR-11,159
TCGA-EJ-7328-11,160
TCGA-FL-A1YQ-11,161
TCGA-EJ-7317-11,162
TCGA-GI-A2C9-11,163
TCGA-E2-A1L7-11,164
TCGA-HC-7738-11,165
TCGA-KN-8422-11,166
TCGA-AX-A05Y-11,167
TCGA-E9-A1NA-11,168
TCGA-DD-A3A8-11,169
TCGA-56-8623-11,170
TCGA-CJ-5677-11,171
TCGA-BH-A0E0-11,172
TCGA-BJ-A2N8-11,173
TCGA-EM-A1CT-11,174
TCGA-A4-A57E-11,175
TCGA-CV-6939-11,176
TCGA-HU-A4GN-11,177
TCGA-HC-7745-11,178
TCGA-CV-6935-11,179
TCGA-KN-8434-11,180
TCGA-91-6828-11,181
TCGA-E9-A1R7-11,182
TCGA-B2-5636-11,183
TCGA-56-7823-11,184
TCGA-CV-7101-11,185
TCGA-A3-3358-11,186
TCGA-L5-A4OG-11,187
TCGA-EL-A3ZT-11,188
TCGA-DD-A1EC-11,189
TCGA-BC-A10U-11,190
TCGA-CZ-5452-11,191
TCGA-BH-A1FD-11,192
TCGA-A3-3387-11,193
TCGA-55-6986-11,194
TCGA-BL-A13J-11,195
TCGA-56-7582-11,196
TCGA-BH-A0DD-11,197
TCGA-BQ-5879-11,198
TCGA-DD-A3A2-11,199
TCGA-51-4081-11,200
TCGA-EL-A3T6-11,201
TCGA-EJ-7792-11,202
TCGA-CV-6934-11,203
TCGA-BQ-5875-11,204
TCGA-BC-A10Y-11,205
TCGA-CH-5769-11,206
TCGA-BH-A208-11,207
TCGA-BH-A0BA-11,208
TCGA-CW-5591-11,209
TCGA-CV-7235-11,210
TCGA-CZ-5988-11,211
TCGA-77-7338-11,212
TCGA-CV-6959-11,213
TCGA-AF-5654-11,214
TCGA-KL-8336-11,215
TCGA-KN-8431-11,216
TCGA-BQ-7045-11,217
TCGA-BR-7717-11,218
TCGA-55-6975-11,219
TCGA-E9-A1N6-11,220
TCGA-BJ-A3PU-11,221
TCGA-55-6971-11,222
TCGA-F4-6704-11,223
TCGA-CZ-5984-11,224
TCGA-BH-A1F6-11,225
TCGA-CW-5581-11,226
TCGA-A7-A0DB-11,227
TCGA-22-5481-11,228
TCGA-BT-A20R-11,229
TCGA-FL-A1YG-11,230
TCGA-BH-A1F2-11,231
TCGA-CW-5585-11,232
TCGA-CG-5730-11,233
TCGA-43-7658-11,234
TCGA-G9-6333-11,235
TCGA-DD-A39X-11,236
TCGA-KN-8435-11,237
TCGA-AZ-6598-11,238
TCGA-22-5489-11,239
TCGA-06-0678-11,240
TCGA-BR-6453-11,241
TCGA-A6-5659-11,242
TCGA-BR-6454-11,243
TCGA-BR-6457-11,244
TCGA-CZ-5467-11,245
TCGA-DD-A11A-11,246
TCGA-BR-6852-11,247
TCGA-B8-5552-11,248
TCGA-AF-2691-11,249
TCGA-KS-A41J-11,250
TCGA-55-6979-11,251
TCGA-CZ-4865-11,252
TCGA-E2-A15I-11,253
TCGA-EL-A3N3-11,254
TCGA-B8-4619-11,255
TCGA-91-6829-11,256
TCGA-DD-A39W-11,257
TCGA-IN-8663-11,258
TCGA-A7-A13E-11,259
TCGA-CV-6961-11,260
TCGA-E2-A1LS-11,261
TCGA-38-4626-11,262
TCGA-CG-5734-11,263
TCGA-BH-A0BW-11,264
TCGA-DD-A3A4-11,265
TCGA-BT-A20Q-11,266
TCGA-AZ-6603-11,267
TCGA-KL-8329-11,268
TCGA-44-6144-11,269
TCGA-BC-A110-11,270
TCGA-CV-7097-11,271
TCGA-44-6148-11,272
TCGA-06-0681-11,273
TCGA-BT-A20U-11,274
TCGA-51-4080-11,275
TCGA-CJ-6033-11,276
TCGA-CV-7177-11,277
TCGA-BH-A1EW-11,278
TCGA-K4-A3WV-11,279
TCGA-IP-7968-11,280
TCGA-BH-A0DH-11,281
TCGA-BJ-A28R-11,282
TCGA-CU-A0YN-11,283
TCGA-49-6745-11,284
TCGA-CZ-5462-11,285
TCGA-EM-A1CV-11,286
TCGA-E9-A1RD-11,287
TCGA-A6-5665-11,288
TCGA-EL-A3H7-11,289
TCGA-CH-5761-11,290
TCGA-43-6647-11,291
TCGA-P4-A5ED-11,292
TCGA-HU-8238-11,293
TCGA-BH-A0B5-11,294
TCGA-IN-AB1V-11,295
TCGA-B0-5709-11,296
TCGA-GC-A6I3-11,297
TCGA-B8-5549-11,298
TCGA-BH-A18N-11,299
TCGA-G9-6362-11,300
TCGA-BH-A209-11,301
TCGA-50-5939-11,302
TCGA-AA-3517-11,303
TCGA-E2-A1LB-11,304
TCGA-44-3398-11,305
TCGA-HC-7747-11,306
TCGA-EL-A3GZ-11,307
TCGA-BT-A2LA-11,308
TCGA-AC-A2FM-11,309
TCGA-KS-A41L-11,310
TCGA-CW-6087-11,311
TCGA-E9-A1NF-11,312
TCGA-39-5040-11,313
TCGA-92-7340-11,314
TCGA-43-6773-11,315
TCGA-A6-2678-11,316
