cell,cell_index
ACH-000001,0
ACH-000004,1
ACH-000005,2
ACH-000007,3
ACH-000009,4
ACH-000011,5
ACH-000012,6
ACH-000013,7
ACH-000014,8
ACH-000015,9
ACH-000017,10
ACH-000018,11
ACH-000019,12
ACH-000021,13
ACH-000022,14
ACH-000023,15
ACH-000025,16
ACH-000028,17
ACH-000029,18
ACH-000030,19
ACH-000035,20
ACH-000036,21
ACH-000040,22
ACH-000042,23
ACH-000045,24
ACH-000048,25
ACH-000055,26
ACH-000060,27
ACH-000067,28
ACH-000074,29
ACH-000076,30
ACH-000085,31
ACH-000090,32
ACH-000094,33
ACH-000097,34
ACH-000098,35
ACH-000103,36
ACH-000108,37
ACH-000111,38
ACH-000113,39
ACH-000114,40
ACH-000115,41
ACH-000118,42
ACH-000123,43
ACH-000127,44
ACH-000128,45
ACH-000132,46
ACH-000137,47
ACH-000138,48
ACH-000139,49
ACH-000142,50
ACH-000143,51
ACH-000146,52
ACH-000147,53
ACH-000148,54
ACH-000150,55
ACH-000152,56
ACH-000155,57
ACH-000159,58
ACH-000160,59
ACH-000161,60
ACH-000163,61
ACH-000164,62
ACH-000168,63
ACH-000176,64
ACH-000178,65
ACH-000181,66
ACH-000187,67
ACH-000188,68
ACH-000189,69
ACH-000190,70
ACH-000192,71
ACH-000195,72
ACH-000198,73
ACH-000200,74
ACH-000202,75
ACH-000207,76
ACH-000212,77
ACH-000213,78
ACH-000215,79
ACH-000216,80
ACH-000221,81
ACH-000222,82
ACH-000223,83
ACH-000228,84
ACH-000231,85
ACH-000232,86
ACH-000237,87
ACH-000238,88
ACH-000243,89
ACH-000244,90
ACH-000246,91
ACH-000247,92
ACH-000248,93
ACH-000249,94
ACH-000250,95
ACH-000251,96
ACH-000252,97
ACH-000253,98
ACH-000255,99
ACH-000256,100
ACH-000257,101
ACH-000258,102
ACH-000261,103
ACH-000262,104
ACH-000263,105
ACH-000264,106
ACH-000265,107
ACH-000266,108
ACH-000269,109
ACH-000272,110
ACH-000273,111
ACH-000274,112
ACH-000277,113
ACH-000278,114
ACH-000280,115
ACH-000281,116
ACH-000282,117
ACH-000286,118
ACH-000288,119
ACH-000290,120
ACH-000291,121
ACH-000292,122
ACH-000293,123
ACH-000294,124
ACH-000295,125
ACH-000296,126
ACH-000303,127
ACH-000304,128
ACH-000305,129
ACH-000307,130
ACH-000308,131
ACH-000311,132
ACH-000313,133
ACH-000316,134
ACH-000318,135
ACH-000320,136
ACH-000322,137
ACH-000323,138
ACH-000324,139
ACH-000325,140
ACH-000326,141
ACH-000329,142
ACH-000332,143
ACH-000336,144
ACH-000339,145
ACH-000343,146
ACH-000344,147
ACH-000348,148
ACH-000352,149
ACH-000354,150
ACH-000355,151
ACH-000356,152
ACH-000361,153
ACH-000362,154
ACH-000368,155
ACH-000370,156
ACH-000374,157
ACH-000375,158
ACH-000376,159
ACH-000378,160
ACH-000381,161
ACH-000383,162
ACH-000385,163
ACH-000387,164
ACH-000389,165
ACH-000393,166
ACH-000396,167
ACH-000397,168
ACH-000401,169
ACH-000403,170
ACH-000404,171
ACH-000406,172
ACH-000407,173
ACH-000408,174
ACH-000411,175
ACH-000414,176
ACH-000415,177
ACH-000416,178
ACH-000417,179
ACH-000420,180
ACH-000421,181
ACH-000425,182
ACH-000427,183
ACH-000430,184
ACH-000431,185
ACH-000434,186
ACH-000435,187
ACH-000437,188
ACH-000438,189
ACH-000441,190
ACH-000442,191
ACH-000444,192
ACH-000445,193
ACH-000448,194
ACH-000450,195
ACH-000452,196
ACH-000455,197
ACH-000456,198
ACH-000458,199
ACH-000459,200
ACH-000460,201
ACH-000464,202
ACH-000466,203
ACH-000467,204
ACH-000468,205
ACH-000469,206
ACH-000470,207
ACH-000471,208
ACH-000472,209
ACH-000473,210
ACH-000475,211
ACH-000476,212
ACH-000477,213
ACH-000478,214
ACH-000479,215
ACH-000480,216
ACH-000481,217
ACH-000483,218
ACH-000484,219
ACH-000485,220
ACH-000486,221
ACH-000487,222
